System,Planet,Sign,Avg_Births,Days_Count,Deviance_Pct
Tropical,Moon,Aquarius,10432.030432136336,1643,-0.031103079083418975
Tropical,Moon,Aries,10433.96511627907,1634,-0.012563232895498001
Tropical,Moon,Cancer,10437.254083484573,1653,0.018954545516103868
Tropical,Moon,Capricorn,10432.15,1640,-0.029957274581087722
Tropical,Moon,Gemini,10433.276829268292,1640,-0.01915900480012593
Tropical,Moon,Leo,10436.781630170317,1644,0.014427082048653915
Tropical,Moon,Libra,10446.063145112326,1647,0.10337072696454296
Tropical,Moon,Pisces,10420.520807833538,1634,-0.14139842887270201
Tropical,Moon,Sagittarius,10435.859137826352,1647,0.005586948515291559
Tropical,Moon,Scorpio,10443.327261687917,1647,0.0771530841171917
Tropical,Moon,Taurus,10431.46037507562,1653,-0.03656586755135622
Tropical,Moon,Virgo,10440.496648385131,1641,0.05002765620265847
Vedic,Moon,Aquarius,10428.269792935445,1642,-0.06714083367743533
Vedic,Moon,Aries,10434.864520048603,1646,-0.0039443544028079135
Vedic,Moon,Cancer,10436.627808136005,1647,0.012953023935775642
Vedic,Moon,Capricorn,10436.956257594167,1646,0.01610051571509341
Vedic,Moon,Gemini,10435.43359611886,1649,0.0015090333511765608
Vedic,Moon,Leo,10444.082166768107,1643,0.08438724899406012
Vedic,Moon,Libra,10444.946886446887,1638,0.09267375400340215
Vedic,Moon,Pisces,10424.400245549417,1629,-0.10422224235246887
Vedic,Moon,Sagittarius,10432.688875305623,1636,-0.024793297133790707
Vedic,Moon,Scorpio,10439.530624620982,1649,0.040770366288712945
Vedic,Moon,Taurus,10429.777239709443,1652,-0.05269515197204814
Vedic,Moon,Virgo,10435.664641555286,1646,0.0037231140680884438
Tropical,Mars,Aquarius,10219.025089605735,1395,-2.072307739055401
Tropical,Mars,Aries,10232.888888888889,1548,-1.9394526126745975
Tropical,Mars,Cancer,10525.99339570721,1817,0.8693327354694004
Tropical,Mars,Capricorn,10272.991195891416,1363,-1.5551570125892316
Tropical,Mars,Gemini,10354.018062397372,1827,-0.7786862652833353
Tropical,Mars,Leo,10586.83062401678,1907,1.4523286005023828
Tropical,Mars,Libra,10580.562101910828,1884,1.3922581047026354
Tropical,Mars,Pisces,10357.377928949358,1323,-0.7464890669346035
Tropical,Mars,Sagittarius,10396.55526141628,1511,-0.37105738692748796
Tropical,Mars,Scorpio,10479.2059347181,1685,0.4209741062227774
Tropical,Mars,Taurus,10372.042866282789,1563,-0.6059567306675147
Tropical,Mars,Virgo,10668.660526315789,1900,2.236494743536057
