System,Planet,Sign,Avg_Births,Days_Count,Deviance_Pct
Vedic,Jupiter,Virgo,10766.618204804046,791,3.3013927544610633
Vedic,Jupiter,Libra,10755.512430939227,1448,3.1948372988826286
Tropical,Jupiter,Scorpio,10720.082054703136,1499,2.854897018528894
Tropical,Saturn,Pisces,10717.392991239049,799,2.82909653078415
Vedic,Saturn,Aquarius,10697.305084745763,708,2.636361107385201
Tropical,Jupiter,Libra,10680.373333333333,900,2.473907728858604
Vedic,Saturn,Sagittarius,10675.61942257218,381,2.428295857673418
Vedic,Saturn,Pisces,10674.888242142026,859,2.4212804740726552
Tropical,Saturn,Virgo,10672.086176980914,1729,2.394395780269507
Tropical,Saturn,Aries,10643.771490750816,919,2.122727697744801
Vedic,Jupiter,Leo,10620.40557667934,789,1.8985411035282937
Tropical,Jupiter,Virgo,10618.989860583017,789,1.8849578741694282
Vedic,Jupiter,Scorpio,10611.44785668586,1563,1.8125953651702462
Vedic,Saturn,Aries,10594.656645569621,1264,1.651490414539817
Tropical,Saturn,Taurus,10586.076869322153,1431,1.5691708951674592
Vedic,Mars,Libra,10584.214285714286,1316,1.5513001508767061
Vedic,Mars,Gemini,10579.79766536965,1285,1.508924446250617
Tropical,Jupiter,Sagittarius,10564.17793827971,1523,1.3590594160115628
Tropical,Jupiter,Leo,10564.122494432071,898,1.35852745448271
Tropical,Mars,Libra,10563.52680344143,1511,1.352812037829678
Vedic,Saturn,Leo,10551.746629213483,1780,1.2397859806695877
Tropical,Saturn,Libra,10543.425066666667,1875,1.159943918414985
Vedic,Jupiter,Taurus,10542.188150520416,1249,1.1480762030193452
Vedic,Mars,Virgo,10541.544822793607,1439,1.141903730947534
Tropical,Jupiter,Gemini,10538.277637130801,1185,1.1105563920770378
Vedic,Saturn,Virgo,10537.632393587617,1809,1.1043655385138482
Tropical,Mars,Virgo,10523.097625329816,1516,0.9649102540565382
Tropical,Mars,Cancer,10521.993553585819,1241,0.9543171275347042
Vedic,Saturn,Libra,10513.619593538302,1919,0.8739723322309493
Tropical,Mars,Sagittarius,10502.519105312209,1073,0.7674675902407238
Tropical,Mars,Scorpio,10500.432584269663,1246,0.7474482558864826
Tropical,Mars,Leo,10489.27788778878,1515,0.6404234073862867
Vedic,Jupiter,Cancer,10483.886270491803,976,0.5886929972071451
Vedic,Mars,Leo,10481.765338393421,1581,0.5683435025438431
Vedic,Mars,Cancer,10479.600682593857,1465,0.5475744964664041
Tropical,Saturn,Scorpio,10477.455156950673,1784,0.5269890365833381
Tropical,Saturn,Sagittarius,10470.47250509165,982,0.45999328653112576
Vedic,Mars,Scorpio,10466.511152416357,1076,0.42198569298919386
Vedic,Moon,Libra,10463.235294117647,1207,0.39055514364808375
Tropical,Jupiter,Cancer,10460.769581056466,1098,0.3668976136319045
Tropical,Saturn,Aquarius,10459.142857142857,28,0.3512898487138746
Tropical,Moon,Libra,10453.019656019656,1221,0.292540184510118
Vedic,Moon,Cancer,10445.522412387938,1227,0.22060713234426152
Vedic,Moon,Aries,10444.904333605888,1223,0.21467691379250733
Tropical,Moon,Leo,10444.892508143323,1228,0.21456345321187853
Tropical,Moon,Taurus,10439.035044824775,1227,0.15836343689253865
Vedic,Moon,Leo,10433.245298446443,1223,0.10281313751348903
Tropical,Moon,Gemini,10428.590016366612,1222,0.05814756905329183
Tropical,Moon,Scorpio,10428.20987654321,1215,0.054500279583937966
Vedic,Moon,Capricorn,10424.535861500412,1213,0.019249575630072832
Tropical,Moon,Capricorn,10423.917978458989,1207,0.013321235131302239
Tropical,Moon,Cancer,10422.39268292683,1230,-0.001313365059490598
Vedic,Moon,Gemini,10422.157038242474,1229,-0.0035742814982477654
Vedic,Moon,Taurus,10417.12672623883,1231,-0.0518381119862713
Tropical,Moon,Aries,10417.020644095788,1211,-0.05285592769350236
Vedic,Moon,Pisces,10414.751037344398,1205,-0.07463189615116361
Vedic,Moon,Sagittarius,10414.236076475478,1203,-0.07957273959537761
Tropical,Moon,Aquarius,10408.887417218542,1208,-0.13089098457260848
Tropical,Moon,Sagittarius,10408.276630883567,1211,-0.1367512350131958
Tropical,Saturn,Capricorn,10405.497005988023,167,-0.16342062344906713
Tropical,Moon,Virgo,10404.800819672131,1220,-0.17010025252852787
Vedic,Moon,Virgo,10401.566858080394,1219,-0.20112881973376423
Vedic,Moon,Scorpio,10398.250616269515,1217,-0.23294683271220196
Vedic,Jupiter,Aries,10394.919719407639,1283,-0.26490545503985113
Vedic,Moon,Aquarius,10390.63561417972,1213,-0.306009730155054
Tropical,Moon,Pisces,10390.532231404959,1210,-0.30700164650395145
Tropical,Mars,Pisces,10388.267182962245,1033,-0.3287338798141547
Vedic,Mars,Sagittarius,10377.92466367713,1115,-0.42796621316331956
Vedic,Mars,Aquarius,10374.91699604743,1012,-0.45682358036817017
Tropical,Mars,Taurus,10365.142237640937,1153,-0.5506084753111832
Tropical,Jupiter,Capricorn,10363.531929347826,1472,-0.5660587389202552
Vedic,Saturn,Cancer,10359.746905940594,1616,-0.6023745237040833
Tropical,Saturn,Leo,10358.57939914163,1631,-0.6135762841909024
Tropical,Mars,Gemini,10350.611979166666,1152,-0.6900204902003885
Vedic,Jupiter,Gemini,10347.860121633363,1151,-0.716423461908371
Vedic,Saturn,Scorpio,10343.952015355086,1042,-0.7539201775807384
Vedic,Mars,Pisces,10331.542857142857,1050,-0.8729810843436211
Vedic,Jupiter,Sagittarius,10322.406107862249,1539,-0.9606445370621303
Tropical,Mars,Capricorn,10303.988625592418,1055,-1.1373529085594372
Tropical,Jupiter,Taurus,10292.538253825383,1111,-1.2472146430976974
Vedic,Mars,Taurus,10270.898843930636,1038,-1.4548361207047205
Vedic,Mars,Aries,10266.766722408027,1196,-1.4944821729930544
Tropical,Jupiter,Aquarius,10247.19708994709,1512,-1.6822449644706603
Tropical,Mars,Aries,10231.46875,1088,-1.8331520916060065
Tropical,Mars,Aquarius,10173.63193768257,1027,-2.3880731588546786
Vedic,Jupiter,Capricorn,10161.326774420239,1423,-2.506136275693236
Vedic,Mars,Capricorn,10158.715525554484,1037,-2.531190163509244
Tropical,Jupiter,Pisces,10149.468571428572,1400,-2.619910987613246
Vedic,Jupiter,Pisces,10140.128660159717,1127,-2.7095236983012954
Vedic,Saturn,Taurus,10110.07434491164,1641,-2.997882825034579
Vedic,Jupiter,Aquarius,10068.745869394177,1271,-3.3944130075079944
Tropical,Jupiter,Aries,10032.934587080948,1223,-3.738007929229012
Vedic,Saturn,Gemini,10018.840980515399,1591,-3.873230443806995
Tropical,Saturn,Gemini,10012.601553166069,1674,-3.9330952521354337
Tropical,Saturn,Cancer,9992.710873664362,1591,-4.123938361482626
