Category,Value,Avg_Births,Days_Count,Deviance_Pct
Sun Sign (Tropical),Virgo,11033.152226720647,1235,5.85868002486391
Sun Sign (Tropical),Leo,10938.288906624102,1253,4.948504433895816
Sun Sign (Tropical),Libra,10724.7986852917,1217,2.9001512013780215
Sun Sign (Tropical),Cancer,10717.645186953063,1257,2.8315162477285805
Tithi (Lunar Day),Shukla 11,10480.797131147541,488,0.5590539415069584
Tithi (Lunar Day),Krishna 12,10475.648979591837,490,0.5096594876776207
Tithi (Lunar Day),Shukla 01,10467.729338842975,484,0.4336737042208104
Moon Sign (Vedic),Libra,10463.235294117647,1207,0.39055514364808375
Tithi (Lunar Day),Krishna 01,10457.723270440252,477,0.3376694824368072
Moon Sign (Tropical),Libra,10453.019656019656,1221,0.292540184510118
Tithi (Lunar Day),Shukla 05,10448.51024590164,488,0.2492741991439496
Tithi (Lunar Day),Shukla 13,10445.715498938429,471,0.2224597205208325
Moon Sign (Vedic),Cancer,10445.522412387938,1227,0.22060713234426152
Moon Sign (Vedic),Aries,10444.904333605888,1223,0.21467691379250733
Moon Sign (Tropical),Leo,10444.892508143323,1228,0.21456345321187853
Tithi (Lunar Day),Purnima (Full),10439.525862068966,464,0.16307263192000993
Tithi (Lunar Day),Krishna 02,10439.444219066938,493,0.1622892999899937
Moon Sign (Tropical),Taurus,10439.035044824775,1227,0.15836343689253865
Tithi (Lunar Day),Shukla 03,10438.902083333332,480,0.15708772459481438
Tithi (Lunar Day),Shukla 08,10438.810865191146,497,0.1562125230270539
Tithi (Lunar Day),Krishna 10,10433.418891170431,487,0.10447869022640949
Moon Sign (Vedic),Leo,10433.245298446443,1223,0.10281313751348903
Tithi (Lunar Day),Krishna 07,10431.449799196787,498,0.08558604079185468
Moon Sign (Tropical),Gemini,10428.590016366612,1222,0.05814756905329183
Moon Sign (Tropical),Scorpio,10428.20987654321,1215,0.054500279583937966
Tithi (Lunar Day),Krishna 06,10426.650505050506,495,0.03953873418930269
Tithi (Lunar Day),Krishna 05,10424.622950819672,488,0.020085162794260734
Moon Sign (Vedic),Capricorn,10424.535861500412,1213,0.019249575630072832
Moon Sign (Tropical),Capricorn,10423.917978458989,1207,0.013321235131302239
Moon Sign (Tropical),Cancer,10422.39268292683,1230,-0.001313365059490598
Moon Sign (Vedic),Gemini,10422.157038242474,1229,-0.0035742814982477654
Moon Sign (Vedic),Taurus,10417.12672623883,1231,-0.0518381119862713
Moon Sign (Tropical),Aries,10417.020644095788,1211,-0.05285592769350236
Tithi (Lunar Day),Krishna 13,10416.61733615222,473,-0.056725506003707016
Tithi (Lunar Day),Shukla 14,10415.262096774193,496,-0.0697284854539633
Tithi (Lunar Day),Shukla 04,10414.969008264463,484,-0.0725405524075365
Tithi (Lunar Day),Shukla 09,10414.773737373738,495,-0.07441409845445274
Moon Sign (Vedic),Pisces,10414.751037344398,1205,-0.07463189615116361
Tithi (Lunar Day),Krishna 11,10414.310975609756,492,-0.07885411237744015
Moon Sign (Vedic),Sagittarius,10414.236076475478,1203,-0.07957273959537761
Tithi (Lunar Day),Amavasya (New),10414.082802547771,471,-0.08104334158978518
Tithi (Lunar Day),Krishna 09,10409.584677419354,496,-0.12420105199712483
Moon Sign (Tropical),Aquarius,10408.887417218542,1208,-0.13089098457260848
Moon Sign (Tropical),Sagittarius,10408.276630883567,1211,-0.1367512350131958
Tithi (Lunar Day),Shukla 12,10407.975359342916,487,-0.139641814873515
Tithi (Lunar Day),Krishna 08,10405.598,500,-0.1624516263230813
Moon Sign (Tropical),Virgo,10404.800819672131,1220,-0.17010025252852787
Tithi (Lunar Day),Shukla 07,10403.374749498998,499,-0.1837828251105553
Moon Sign (Vedic),Virgo,10401.566858080394,1219,-0.20112881973376423
Tithi (Lunar Day),Shukla 06,10398.37322515213,493,-0.2317704495529511
Moon Sign (Vedic),Scorpio,10398.250616269515,1217,-0.23294683271220196
Tithi (Lunar Day),Shukla 02,10397.607802874743,487,-0.23911436997395272
Tithi (Lunar Day),Krishna 04,10392.702083333334,480,-0.2861827856501292
Moon Sign (Vedic),Aquarius,10390.63561417972,1213,-0.306009730155054
Moon Sign (Tropical),Pisces,10390.532231404959,1210,-0.30700164650395145
Tithi (Lunar Day),Shukla 10,10387.063136456212,491,-0.3402862241667036
Tithi (Lunar Day),Krishna 14,10372.064646464647,495,-0.4841907330728721
Tithi (Lunar Day),Krishna 03,10364.148619957537,471,-0.5601418393265309
Sun Sign (Tropical),Scorpio,10358.978224455612,1194,-0.6097497149175873
Sun Sign (Tropical),Gemini,10339.988844621514,1255,-0.7919452146642525
Sun Sign (Tropical),Pisces,10248.413879598662,1196,-1.6705703547366186
Sun Sign (Tropical),Sagittarius,10244.261200338124,1183,-1.710413650292948
Sun Sign (Tropical),Aquarius,10211.533726812817,1186,-2.02442066086851
Sun Sign (Tropical),Taurus,10150.17057396928,1237,-2.613175554184384
Sun Sign (Tropical),Aries,10138.881967213114,1220,-2.7214852181835325
Sun Sign (Tropical),Capricorn,9906.484282073066,1177,-4.951247998957885
