Name,Birthdate,Country,Net Worth
Rob Walton,1944-10-27,Mexico,8.5
Sergey Brin,1973-08-21,USA,44.76
Steve Ballmer,1956-03-24,USA,13.43
Mukesh Ambani,1957-04-19,USA,120.44
Jim Walton,1948-06-07,USA,122.39
Michael Bloomberg,1942-02-14,USA,117.96
Warren Buffett,1930-08-30,France,36.62
Carlos Slim,1940-01-28,USA,97.35
Larry Page,1973-03-26,USA,88.05
Rob Walton,1944-10-27,France,29.31
Alice Walton,1949-10-07,USA,167.09
Larry Ellison,1944-08-17,USA,71.13
Bernard Arnault,1949-03-05,USA,10.82
Rob Walton,1944-10-27,USA,6.94
Mukesh Ambani,1957-04-19,France,17.46
Jeff Bezos,1964-01-12,USA,117.13
Amancio Ortega,1936-03-28,USA,197.26
Mark Zuckerberg,1984-05-14,USA,175.15
Charles Koch,1935-11-01,Spain,30.55
Bill Gates,1955-10-28,France,167.65
Francoise Bettencourt Meyers,1953-07-10,USA,29.77
Larry Page,1973-03-26,Mexico,49.35
Warren Buffett,1930-08-30,USA,52.33
Bill Gates,1955-10-28,USA,104.75
Elon Musk,1971-06-28,USA,76.65
Charles Koch,1935-11-01,USA,109.62
Jeff Bezos,1964-01-12,Mexico,167.46
David Koch,1940-05-03,Spain,112.09
Amancio Ortega,1936-03-28,India,109.61
Jeff Bezos,1964-01-12,France,106.39
David Koch,1940-05-03,USA,186.37
Larry Ellison,1944-08-17,France,36.0
Alice Walton,1949-10-07,France,44.35
Michael Bloomberg,1942-02-14,France,57.85
Mukesh Ambani,1957-04-19,Spain,59.33
Michael Bloomberg,1942-02-14,India,194.72
Bernard Arnault,1949-03-05,France,145.87
Carlos Slim,1940-01-28,France,87.52
Amancio Ortega,1936-03-28,France,82.74
Bill Gates,1955-10-28,India,48.59
Alice Walton,1949-10-07,India,138.61
Francoise Bettencourt Meyers,1953-07-10,Mexico,176.38
Rob Walton,1944-10-27,Spain,90.74
Jim Walton,1948-06-07,France,141.84
David Koch,1940-05-03,Mexico,11.51
Larry Ellison,1944-08-17,India,77.0
Steve Ballmer,1956-03-24,India,4.6
Alice Walton,1949-10-07,Spain,80.54
Bernard Arnault,1949-03-05,Spain,135.05
Charles Koch,1935-11-01,Mexico,36.22
Warren Buffett,1930-08-30,Mexico,51.37
Michael Bloomberg,1942-02-14,Spain,41.38
David Koch,1940-05-03,France,138.94
Larry Page,1973-03-26,France,149.14
Charles Koch,1935-11-01,India,123.48
Michael Bloomberg,1942-02-14,Mexico,187.64
Elon Musk,1971-06-28,France,150.71
Larry Ellison,1944-08-17,Mexico,91.65
Steve Ballmer,1956-03-24,France,178.74
Warren Buffett,1930-08-30,India,130.61
Sergey Brin,1973-08-21,Mexico,183.31
Sergey Brin,1973-08-21,France,168.37
Mark Zuckerberg,1984-05-14,Mexico,138.77
Mark Zuckerberg,1984-05-14,France,125.75
Rob Walton,1944-10-27,India,32.61
Alice Walton,1949-10-07,Mexico,19.44
Mark Zuckerberg,1984-05-14,Spain,172.82
Amancio Ortega,1936-03-28,Mexico,143.27
Bernard Arnault,1949-03-05,India,114.4
Larry Ellison,1944-08-17,Spain,29.4
Warren Buffett,1930-08-30,Spain,32.49
Mukesh Ambani,1957-04-19,Mexico,66.02
Elon Musk,1971-06-28,India,29.29
Sergey Brin,1973-08-21,India,198.05
Carlos Slim,1940-01-28,Mexico,87.79
Jim Walton,1948-06-07,Mexico,32.44
Francoise Bettencourt Meyers,1953-07-10,India,82.28
Jim Walton,1948-06-07,Spain,61.95
Bill Gates,1955-10-28,Spain,39.64
Carlos Slim,1940-01-28,Spain,47.9
Elon Musk,1971-06-28,Mexico,88.13
David Koch,1940-05-03,India,102.72
Larry Page,1973-03-26,India,82.68
Steve Ballmer,1956-03-24,Mexico,158.26
Jeff Bezos,1964-01-12,India,9.17
Jim Walton,1948-06-07,India,158.31
Mukesh Ambani,1957-04-19,India,198.77
Amancio Ortega,1936-03-28,Spain,80.29
Bill Gates,1955-10-28,Mexico,121.14
Elon Musk,1971-06-28,Spain,73.93
Carlos Slim,1940-01-28,India,109.18
Charles Koch,1935-11-01,France,4.18
Francoise Bettencourt Meyers,1953-07-10,Spain,144.14
Steve Ballmer,1956-03-24,Spain,89.19
Larry Page,1973-03-26,Spain,12.37
Sergey Brin,1973-08-21,Spain,76.77
