Name,Birthdate,Moon_Tropical,Moon_Vedic,Tithi
Rob Walton,1944-10-27,Pisces,Aquarius,Shukla 11
Sergey Brin,1973-08-21,Taurus,Taurus,Krishna 08
Steve Ballmer,1956-03-24,Virgo,Leo,Shukla 13
Mukesh Ambani,1957-04-19,Capricorn,Sagittarius,Krishna 06
Jim Walton,1948-06-07,Gemini,Taurus,Amavasya (New)
Michael Bloomberg,1942-02-14,Aquarius,Capricorn,Amavasya (New)
Warren Buffett,1930-08-30,Sagittarius,Scorpio,Shukla 08
Carlos Slim,1940-01-28,Virgo,Virgo,Krishna 05
Larry Page,1973-03-26,Capricorn,Sagittarius,Krishna 08
Rob Walton,1944-10-27,Pisces,Aquarius,Shukla 11
Alice Walton,1949-10-07,Aries,Pisces,Krishna 01
Larry Ellison,1944-08-17,Leo,Cancer,Krishna 14
Bernard Arnault,1949-03-05,Taurus,Aries,Shukla 06
Rob Walton,1944-10-27,Pisces,Aquarius,Shukla 11
Mukesh Ambani,1957-04-19,Capricorn,Sagittarius,Krishna 06
Jeff Bezos,1964-01-12,Sagittarius,Sagittarius,Krishna 13
Amancio Ortega,1936-03-28,Gemini,Taurus,Shukla 07
Mark Zuckerberg,1984-05-14,Scorpio,Libra,Purnima (Full)
Charles Koch,1935-11-01,Capricorn,Sagittarius,Shukla 05
Bill Gates,1955-10-28,Pisces,Pisces,Shukla 12
Francoise Bettencourt Meyers,1953-07-10,Cancer,Gemini,Amavasya (New)
Larry Page,1973-03-26,Capricorn,Sagittarius,Krishna 08
Warren Buffett,1930-08-30,Sagittarius,Scorpio,Shukla 08
Bill Gates,1955-10-28,Pisces,Pisces,Shukla 12
Elon Musk,1971-06-28,Virgo,Leo,Shukla 06
Charles Koch,1935-11-01,Capricorn,Sagittarius,Shukla 05
Jeff Bezos,1964-01-12,Sagittarius,Sagittarius,Krishna 13
David Koch,1940-05-03,Pisces,Pisces,Krishna 12
Amancio Ortega,1936-03-28,Gemini,Taurus,Shukla 07
Jeff Bezos,1964-01-12,Sagittarius,Sagittarius,Krishna 13
David Koch,1940-05-03,Pisces,Pisces,Krishna 12
Larry Ellison,1944-08-17,Leo,Cancer,Krishna 14
Alice Walton,1949-10-07,Aries,Pisces,Krishna 01
Michael Bloomberg,1942-02-14,Aquarius,Capricorn,Amavasya (New)
Mukesh Ambani,1957-04-19,Capricorn,Sagittarius,Krishna 06
Michael Bloomberg,1942-02-14,Aquarius,Capricorn,Amavasya (New)
Bernard Arnault,1949-03-05,Taurus,Aries,Shukla 06
Carlos Slim,1940-01-28,Virgo,Virgo,Krishna 05
Amancio Ortega,1936-03-28,Gemini,Taurus,Shukla 07
Bill Gates,1955-10-28,Pisces,Pisces,Shukla 12
Alice Walton,1949-10-07,Aries,Pisces,Krishna 01
Francoise Bettencourt Meyers,1953-07-10,Cancer,Gemini,Amavasya (New)
Rob Walton,1944-10-27,Pisces,Aquarius,Shukla 11
Jim Walton,1948-06-07,Gemini,Taurus,Amavasya (New)
David Koch,1940-05-03,Pisces,Pisces,Krishna 12
Larry Ellison,1944-08-17,Leo,Cancer,Krishna 14
Steve Ballmer,1956-03-24,Virgo,Leo,Shukla 13
Alice Walton,1949-10-07,Aries,Pisces,Krishna 01
Bernard Arnault,1949-03-05,Taurus,Aries,Shukla 06
Charles Koch,1935-11-01,Capricorn,Sagittarius,Shukla 05
Warren Buffett,1930-08-30,Sagittarius,Scorpio,Shukla 08
Michael Bloomberg,1942-02-14,Aquarius,Capricorn,Amavasya (New)
David Koch,1940-05-03,Pisces,Pisces,Krishna 12
Larry Page,1973-03-26,Capricorn,Sagittarius,Krishna 08
Charles Koch,1935-11-01,Capricorn,Sagittarius,Shukla 05
