date,total_ed_visits
2020-03-01,9071
2020-03-02,11882
2020-03-03,11083
2020-03-04,11038
2020-03-05,10731
2020-03-06,10518
2020-03-07,9099
2020-03-08,8807
2020-03-09,11975
2020-03-10,11631
2020-03-11,11692
2020-03-12,12140
2020-03-13,11180
2020-03-14,9476
2020-03-15,9576
2020-03-16,10806
2020-03-17,10416
2020-03-18,10186
2020-03-19,10139
2020-03-20,10349
2020-03-21,8903
2020-03-22,8184
2020-03-23,9162
2020-03-24,9795
2020-03-25,9857
2020-03-26,9205
2020-03-27,8605
2020-03-28,7262
2020-03-29,7288
2020-03-30,8638
2020-03-31,7611
2020-04-01,7056
2020-04-02,6532
2020-04-03,6206
2020-04-04,5493
2020-04-05,5373
2020-04-06,6446
2020-04-07,5959
2020-04-08,5758
2020-04-09,5263
2020-04-10,5237
2020-04-11,4678
2020-04-12,4368
2020-04-13,4961
2020-04-14,5028
2020-04-15,4598
2020-04-16,4347
2020-04-17,4600
2020-04-18,4030
2020-04-19,3931
2020-04-20,4717
2020-04-21,4349
2020-04-22,4334
2020-04-23,4394
2020-04-24,4439
2020-04-25,4234
2020-04-26,3850
2020-04-27,4810
2020-04-28,4605
2020-04-29,4427
2020-04-30,4240
2020-05-01,4777
2020-05-02,4454
2020-05-03,4237
2020-05-04,5385
2020-05-05,4881
2020-05-06,4950
2020-05-07,5093
2020-05-08,4989
2020-05-09,4388
2020-05-10,4152
2020-05-11,5302
2020-05-12,5017
2020-05-13,5097
2020-05-14,5133
2020-05-15,5377
2020-05-16,4870
2020-05-17,4770
2020-05-18,5600
2020-05-19,5203
2020-05-20,5425
2020-05-21,5228
2020-05-22,5562
2020-05-23,4829
2020-05-24,4845
2020-05-25,5322
2020-05-26,6067
2020-05-27,5572
2020-05-28,5632
2020-05-29,5942
2020-05-30,5299
2020-05-31,5230
2020-06-01,6288
2020-06-02,5849
2020-06-03,6035
2020-06-04,6240
2020-06-05,6321
2020-06-06,5536
2020-06-07,5457
2020-06-08,6820
2020-06-09,6469
2020-06-10,6492
2020-06-11,6408
2020-06-12,6490
2020-06-13,5898
2020-06-14,5522
2020-06-15,6949
2020-06-16,6586
2020-06-17,6498
2020-06-18,6560
2020-06-19,6563
2020-06-20,5986
2020-06-21,5586
2020-06-22,7495
2020-06-23,7282
2020-06-24,7023
2020-06-25,6966
2020-06-26,6967
2020-06-27,6413
2020-06-28,6171
2020-06-29,7547
2020-06-30,7125
2020-07-01,6894
2020-07-02,7200
2020-07-03,6916
2020-07-04,5832
2020-07-05,6550
2020-07-06,7998
2020-07-07,7619
2020-07-08,7327
2020-07-09,7176
2020-07-10,6847
2020-07-11,6543
2020-07-12,6463
2020-07-13,8122
2020-07-14,7382
2020-07-15,7208
2020-07-16,7319
2020-07-17,7332
2020-07-18,6448
2020-07-19,6392
2020-07-20,8179
2020-07-21,7482
2020-07-22,7501
2020-07-23,7398
2020-07-24,7164
2020-07-25,6634
2020-07-26,6500
2020-07-27,8352
2020-07-28,7802
2020-07-29,7663
2020-07-30,7443
2020-07-31,7383
2020-08-01,6677
2020-08-02,6634
2020-08-03,8332
2020-08-04,7176
2020-08-05,8071
2020-08-06,7657
2020-08-07,7620
2020-08-08,6893
2020-08-09,6644
2020-08-10,8386
2020-08-11,7967
2020-08-12,7875
2020-08-13,7809
2020-08-14,7913
2020-08-15,7015
2020-08-16,6572
2020-08-17,8367
2020-08-18,7968
2020-08-19,7565
2020-08-20,7723
2020-08-21,7641
2020-08-22,6878
2020-08-23,6898
2020-08-24,8937
2020-08-25,7978
2020-08-26,7763
2020-08-27,8034
2020-08-28,7802
2020-08-29,7291
2020-08-30,6690
2020-08-31,8437
2020-09-01,7845
2020-09-02,8040
2020-09-03,7923
2020-09-04,8109
2020-09-05,7069
2020-09-06,6931
2020-09-07,7741
2020-09-08,8680
2020-09-09,8047
2020-09-10,7943
2020-09-11,7774
2020-09-12,7069
2020-09-13,6846
2020-09-14,8500
2020-09-15,7929
2020-09-16,7754
2020-09-17,7821
2020-09-18,7823
2020-09-19,6821
2020-09-20,6587
2020-09-21,8408
2020-09-22,7932
2020-09-23,8182
2020-09-24,7816
2020-09-25,7868
2020-09-26,7265
2020-09-27,7180
2020-09-28,9016
2020-09-29,8291
2020-09-30,8089
2020-10-01,8123
2020-10-02,8055
2020-10-03,7217
2020-10-04,6907
2020-10-05,8851
2020-10-06,8369
2020-10-07,8149
2020-10-08,7890
2020-10-09,7903
2020-10-10,7169
2020-10-11,6932
2020-10-12,7653
2020-10-13,8185
2020-10-14,8270
2020-10-15,8287
2020-10-16,7492
2020-10-17,7005
2020-10-18,6735
2020-10-19,8888
2020-10-20,8279
2020-10-21,8147
2020-10-22,8224
2020-10-23,8176
2020-10-24,7185
2020-10-25,6526
2020-10-26,8476
2020-10-27,7998
2020-10-28,7810
2020-10-29,7174
2020-10-30,7106
2020-10-31,6398
2020-11-01,6936
2020-11-02,8345
2020-11-03,7550
2020-11-04,7993
2020-11-05,8172
2020-11-06,7997
2020-11-07,7294
2020-11-08,7252
2020-11-09,9357
2020-11-10,8682
2020-11-11,8270
2020-11-12,7979
2020-11-13,7857
2020-11-14,6970
2020-11-15,6858
2020-11-16,8759
2020-11-17,8069
2020-11-18,7713
2020-11-19,7744
2020-11-20,8005
2020-11-21,7073
2020-11-22,6923
2020-11-23,8813
2020-11-24,8158
2020-11-25,7881
2020-11-26,5854
2020-11-27,8370
2020-11-28,7100
2020-11-29,7155
2020-11-30,8446
2020-12-01,8646
2020-12-02,8279
2020-12-03,8102
2020-12-04,8153
2020-12-05,6991
2020-12-06,6660
2020-12-07,8714
2020-12-08,8011
2020-12-09,7767
2020-12-10,8010
2020-12-11,8023
2020-12-12,7119
2020-12-13,7044
2020-12-14,8363
2020-12-15,8230
2020-12-16,7097
2020-12-17,6510
2020-12-18,8148
2020-12-19,7124
2020-12-20,7016
2020-12-21,9015
2020-12-22,8285
2020-12-23,8155
2020-12-24,7028
2020-12-25,6223
2020-12-26,7363
2020-12-27,7120
2020-12-28,9225
2020-12-29,8423
2020-12-30,8116
2020-12-31,6976
2021-01-01,7096
2021-01-02,7944
2021-01-03,7296
2021-01-04,9492
2021-01-05,9048
2021-01-06,8796
2021-01-07,8426
2021-01-08,8528
2021-01-09,7461
2021-01-10,7209
2021-01-11,9040
2021-01-12,8549
2021-01-13,8570
2021-01-14,8615
2021-01-15,8493
2021-01-16,7647
2021-01-17,7377
2021-01-18,8770
2021-01-19,8897
2021-01-20,8375
2021-01-21,8552
2021-01-22,8709
2021-01-23,7534
2021-01-24,7239
2021-01-25,9269
2021-01-26,8082
2021-01-27,8528
2021-01-28,8276
2021-01-29,7732
2021-01-30,7005
2021-01-31,6882
2021-02-01,5407
2021-02-02,7393
2021-02-03,8783
2021-02-04,9179
2021-02-05,9076
2021-02-06,8285
2021-02-07,6587
2021-02-08,9493
2021-02-09,8894
2021-02-10,8879
2021-02-11,8532
2021-02-12,8351
2021-02-13,7275
2021-02-14,6810
2021-02-15,8682
2021-02-16,9212
2021-02-17,8853
2021-02-18,7496
2021-02-19,8427
2021-02-20,7875
2021-02-21,7617
2021-02-22,9108
2021-02-23,9217
2021-02-24,9224
2021-02-25,8782
2021-02-26,8881
2021-02-27,7849
2021-02-28,7320
2021-03-01,9647
2021-03-02,8565
2021-03-03,8991
2021-03-04,8816
2021-03-05,8530
2021-03-06,7467
2021-03-07,7529
2021-03-08,9395
2021-03-09,8866
2021-03-10,8966
2021-03-11,9025
2021-03-12,9004
2021-03-13,7862
2021-03-14,7478
2021-03-15,9447
2021-03-16,9118
2021-03-17,9000
2021-03-18,8849
2021-03-19,8916
2021-03-20,7966
2021-03-21,7845
2021-03-22,10062
2021-03-23,9397
2021-03-24,8945
2021-03-25,9442
2021-03-26,9098
2021-03-27,8139
2021-03-28,7787
2021-03-29,9807
2021-03-30,9154
2021-03-31,8936
2021-04-01,8642
2021-04-02,8405
2021-04-03,7815
2021-04-04,7505
2021-04-05,9917
2021-04-06,9515
2021-04-07,9136
2021-04-08,9214
2021-04-09,9044
2021-04-10,8106
2021-04-11,7480
2021-04-12,9562
2021-04-13,9569
2021-04-14,9469
2021-04-15,8958
2021-04-16,9073
2021-04-17,8007
2021-04-18,7907
2021-04-19,10012
2021-04-20,9220
2021-04-21,9168
2021-04-22,8763
2021-04-23,8575
2021-04-24,8099
2021-04-25,7851
2021-04-26,9987
2021-04-27,9290
2021-04-28,9342
2021-04-29,9598
2021-04-30,8835
2021-05-01,7973
2021-05-02,8113
2021-05-03,10125
2021-05-04,9416
2021-05-05,8746
2021-05-06,8891
2021-05-07,8910
2021-05-08,7783
2021-05-09,6898
2021-05-10,9737
2021-05-11,8980
2021-05-12,8868
2021-05-13,8857
2021-05-14,9107
2021-05-15,8080
2021-05-16,7957
2021-05-17,10298
2021-05-18,9687
2021-05-19,9501
2021-05-20,9271
2021-05-21,9213
2021-05-22,8416
2021-05-23,8000
2021-05-24,10239
2021-05-25,9666
2021-05-26,9335
2021-05-27,9309
2021-05-28,8807
2021-05-29,7581
2021-05-30,7173
2021-05-31,8620
2021-06-01,9788
2021-06-02,9193
2021-06-03,8856
2021-06-04,9239
2021-06-05,8376
2021-06-06,8209
2021-06-07,10476
2021-06-08,9510
2021-06-09,9809
2021-06-10,9549
2021-06-11,9376
2021-06-12,8251
2021-06-13,8111
2021-06-14,10205
2021-06-15,9748
2021-06-16,9489
2021-06-17,9314
2021-06-18,9349
2021-06-19,8390
2021-06-20,7897
2021-06-21,10620
2021-06-22,9328
2021-06-23,9356
2021-06-24,9156
2021-06-25,9178
2021-06-26,8469
2021-06-27,8258
2021-06-28,10387
2021-06-29,9736
2021-06-30,9326
2021-07-01,9167
2021-07-02,9478
2021-07-03,8361
2021-07-04,7629
2021-07-05,9755
2021-07-06,10263
2021-07-07,9697
2021-07-08,9449
2021-07-09,9423
2021-07-10,8827
2021-07-11,8557
2021-07-12,10700
2021-07-13,9928
2021-07-14,9925
2021-07-15,9750
2021-07-16,9577
2021-07-17,8581
2021-07-18,8639
2021-07-19,10907
2021-07-20,10010
2021-07-21,9852
2021-07-22,9693
2021-07-23,9585
2021-07-24,8631
2021-07-25,8561
2021-07-26,10797
2021-07-27,10091
2021-07-28,9933
2021-07-29,9633
2021-07-30,9461
2021-07-31,8561
2021-08-01,8491
2021-08-02,10622
2021-08-03,10081
2021-08-04,9975
2021-08-05,9878
2021-08-06,9885
2021-08-07,8625
2021-08-08,8380
2021-08-09,10898
2021-08-10,9987
2021-08-11,9769
2021-08-12,9645
2021-08-13,9779
2021-08-14,8804
2021-08-15,8397
2021-08-16,10821
2021-08-17,10168
2021-08-18,10089
2021-08-19,9948
2021-08-20,9828
2021-08-21,8433
2021-08-22,7635
2021-08-23,10622
2021-08-24,10136
2021-08-25,9920
2021-08-26,9886
2021-08-27,9572
2021-08-28,8435
2021-08-29,8591
2021-08-30,10777
2021-08-31,10031
2021-09-01,8070
2021-09-02,9247
2021-09-03,9396
2021-09-04,8789
2021-09-05,8596
2021-09-06,9534
2021-09-07,9554
2021-09-08,10270
2021-09-09,9566
2021-09-10,9663
2021-09-11,8827
2021-09-12,8803
2021-09-13,10702
2021-09-14,10192
2021-09-15,10496
2021-09-16,10021
2021-09-17,9947
2021-09-18,9117
2021-09-19,8967
2021-09-20,11022
2021-09-21,10551
2021-09-22,10523
2021-09-23,10250
2021-09-24,9616
2021-09-25,8770
2021-09-26,8223
2021-09-27,11116
2021-09-28,10334
2021-09-29,10210
2021-09-30,10121
2021-10-01,8779
2021-10-02,8556
2021-10-03,8740
2021-10-04,11341
2021-10-05,10705
2021-10-06,10201
2021-10-07,10390
2021-10-08,10120
2021-10-09,8802
2021-10-10,8398
2021-10-11,10368
2021-10-12,10969
2021-10-13,10371
2021-10-14,10357
2021-10-15,10333
2021-10-16,9038
2021-10-17,8393
2021-10-18,11072
2021-10-19,10264
2021-10-20,10416
2021-10-21,9981
2021-10-22,9854
2021-10-23,8220
2021-10-24,7917
2021-10-25,10856
2021-10-26,9224
2021-10-27,9611
2021-10-28,9281
2021-10-29,8641
2021-10-30,8252
2021-10-31,7705
2021-11-01,10755
2021-11-02,9711
2021-11-03,9857
2021-11-04,9461
2021-11-05,9333
2021-11-06,8190
2021-11-07,8289
2021-11-08,10470
2021-11-09,10251
2021-11-10,9759
2021-11-11,9204
2021-11-12,9476
2021-11-13,8015
2021-11-14,7765
2021-11-15,10536
2021-11-16,9784
2021-11-17,9922
2021-11-18,9698
2021-11-19,9259
2021-11-20,8304
2021-11-21,8009
2021-11-22,10226
2021-11-23,9062
2021-11-24,8748
2021-11-25,6451
2021-11-26,8790
2021-11-27,7986
2021-11-28,8001
2021-11-29,10451
2021-11-30,9740
2021-12-01,9946
2021-12-02,10094
2021-12-03,10054
2021-12-04,8703
2021-12-05,8286
2021-12-06,11032
2021-12-07,10425
2021-12-08,10321
2021-12-09,10005
2021-12-10,9635
2021-12-11,9127
2021-12-12,8643
2021-12-13,11514
2021-12-14,11142
2021-12-15,11306
2021-12-16,11320
2021-12-17,11309
2021-12-18,10142
2021-12-19,10311
2021-12-20,12803
2021-12-21,12525
2021-12-22,12699
2021-12-23,11162
2021-12-24,10730
2021-12-25,10206
2021-12-26,11557
2021-12-27,14098
2021-12-28,13194
2021-12-29,12472
2021-12-30,11997
2021-12-31,10303
2022-01-01,10619
2022-01-02,11621
2022-01-03,12043
