trait,age_band,n,cv_mean,cv_std
Extraversion,18-25,7797,0.5282794690876795,0.005068656979405379
Extraversion,25-35,4034,0.5282577078355949,0.008285327934311835
Extraversion,35-45,1878,0.5133120567375886,0.01726189035152648
Extraversion,45-55,1255,0.4860557768924303,0.015532739991727433
Extraversion,55-70,645,0.510077519379845,0.0434108527131783
Openness,18-25,7797,0.531358859229289,0.00235050923522907
Openness,25-35,4034,0.521568102920783,0.007667805550388779
Openness,35-45,1878,0.5372780141843971,0.013666024710086376
Openness,45-55,1255,0.50199203187251,0.029707333676983638
Openness,55-70,645,0.5054263565891473,0.03410852713178294
Conscientiousness,18-25,7797,0.5190440946694956,0.007486314211471317
Conscientiousness,25-35,4034,0.5505711500794843,0.004438597494684873
Conscientiousness,35-45,1878,0.5213007092198583,0.0049821361886204715
Conscientiousness,45-55,1255,0.5346613545816733,0.00988818617210426
Conscientiousness,55-70,645,0.4821705426356589,0.012403100775193797
Agreeableness,18-25,7797,0.5359748194931004,0.009647734832199509
Agreeableness,25-35,4034,0.5453654591800652,0.0034846303622653807
Agreeableness,35-45,1878,0.5063985815602837,0.01653505323589274
Agreeableness,45-55,1255,0.5314741035856574,0.013938530425925008
Agreeableness,55-70,645,0.49302325581395345,0.024316879288927305
Neuroticism,18-25,7797,0.5373862272002106,0.0001688025200615701
Neuroticism,25-35,4034,0.5257778556735266,0.010696055236220102
Neuroticism,35-45,1878,0.503195744680851,0.009082787530515096
Neuroticism,45-55,1255,0.5051792828685259,0.03090154490783315
Neuroticism,55-70,645,0.5550387596899224,0.03688489070812503
