Planet,Trait,r,p,significant
Jupiter,Extraversion,0.01987119618581118,0.005361412597893127,True
Jupiter,Neuroticism,-0.020419777986023586,0.004218230605320998,True
Jupiter,Agreeableness,0.016763746367413197,0.01882518591824131,True
Jupiter,Conscientiousness,0.040942426035858855,9.526532019866138e-09,True
Jupiter,Openness,0.01603943386030008,0.02461006883156486,True
Saturn,Extraversion,0.04861773679505073,9.362269866692344e-12,True
Saturn,Neuroticism,-0.046855995985411555,5.0750861972109285e-11,True
Saturn,Agreeableness,0.05875995160051611,1.7203657555218625e-16,True
Saturn,Conscientiousness,0.07367284592435408,4.816560061946182e-25,True
Saturn,Openness,0.058001932442165303,4.165859206830018e-16,True
Uranus,Extraversion,-0.1055289637987969,9.75244679632932e-50,True
Uranus,Neuroticism,0.15196217011260085,9.422920968043038e-102,True
Uranus,Agreeableness,-0.16405351983094407,1.7140662106594675e-118,True
Uranus,Conscientiousness,-0.21766411147146425,3.187109109463307e-209,True
Uranus,Openness,-0.08863290725779394,1.5253042107886661e-35,True
Neptune,Extraversion,-0.10111368291429644,8.690043644955585e-46,True
Neptune,Neuroticism,0.15048564033788436,8.447354632250139e-100,True
Neptune,Agreeableness,-0.1500201628854084,3.452557879119669e-99,True
Neptune,Conscientiousness,-0.2147776300704359,1.2343621965118268e-203,True
Neptune,Openness,-0.08311612988318881,1.9061754823963743e-31,True
Pluto,Extraversion,-0.10282426370198305,2.685404524132076e-47,True
Pluto,Neuroticism,0.1464267500212605,1.5555155108869678e-94,True
Pluto,Agreeableness,-0.15500951959725492,7.612400483258385e-106,True
Pluto,Conscientiousness,-0.2077733935039126,2.053880193626651e-190,True
Pluto,Openness,-0.0928080409879478,8.079271223452945e-39,True
