year,ayanamsa_lahiri,sun_tropical,sun_sidereal,sign_tropical,sign_sidereal
-2000,328.45680065098605,282.14392982979876,313.6871291788127,9,10
-1975,328.8003578102172,283.0742051900204,314.2738473798032,9,10
-1950,329.143907670559,282.99860831190205,313.8547006413431,9,10
-1925,329.4874879518943,282.9195842997501,313.4320963478558,9,10
-1900,329.8310987539723,282.8508603454864,313.0197615915141,9,10
-1875,330.17474017598806,282.7743229249259,312.59958274893785,9,10
-1850,330.51841231658005,282.6933442222867,312.17493190570667,9,10
-1825,330.86211527382693,282.6292256980966,311.7671104242697,9,10
-1800,331.20584914524477,282.5568864267373,311.35103728149255,9,10
-1775,331.5496140277843,282.47105709482463,310.92144306704034,9,10
-1750,331.89341001782793,282.398881806347,310.50547178851906,9,10
-1725,332.2372372111873,282.3242273699202,310.08699015873293,9,10
-1700,332.58109570310035,282.24753092741173,309.6664352243114,9,10
-1675,332.9249855882287,282.17940529997725,309.25441971174854,9,10
-1650,333.2689069606551,282.09779296721047,308.82888600655536,9,10
-1625,333.6128599138808,282.0214971216699,308.40863720778907,9,10
-1600,333.956844540823,281.9577484447695,308.0009039039465,9,10
-1575,334.300898611209,282.87924349932246,308.57834488811346,9,10
-1550,334.64494686548113,282.80207641557433,308.1571295500932,9,10
-1525,334.9890270687023,282.73219557388654,307.74316850518426,9,10
-1500,335.3331393114288,282.64518630634035,307.31204699491155,9,10
-1475,335.67728368362083,282.57337668035456,306.8960929967337,9,10
-1450,336.02146027464016,282.5109672064257,306.4895069317855,9,10
-1425,336.3656691732478,282.4254324001092,306.0597632268614,9,10
-1400,336.70991046760184,282.35007656342935,305.6401660958275,9,10
-1375,337.05418424525527,282.2841537542164,305.2299695089611,9,10
-1350,337.3984905931539,282.20320151427325,304.80471092111935,9,10
-1325,337.74282959763406,282.13285726864376,304.3900276710097,9,10
-1300,338.0872013444207,282.0539058713478,303.9667045269271,9,10
-1275,338.4316059186255,281.96553520188667,303.53392928326116,9,10
-1250,338.7760434047445,281.90083630531296,303.1247929005685,9,10
-1225,339.1205138866566,281.82814971786274,302.7076358312061,9,10
-1200,339.46501744762145,281.74467533485017,302.2796578872287,9,10
-1175,339.80959190473516,282.68523273111225,302.8756408263771,9,10
