date,year,month,sunspot_number,month_key,sentiment,sunspot_detrend,sentiment_detrend
2015-01-15,2015,1,58.1,2015-01,98.1,,
2015-06-15,2015,6,52.9,2015-06,96.1,,
2015-12-15,2015,12,57.6,2015-12,92.6,,
2016-01-15,2016,1,56.6,2016-01,92.0,,
2016-06-15,2016,6,24.9,2016-06,93.5,,
2016-12-15,2016,12,18.9,2016-12,98.2,,
2017-01-15,2017,1,26.1,2017-01,98.5,,
2017-06-15,2017,6,19.2,2017-06,95.1,,
2017-12-15,2017,12,8.2,2017-12,95.9,,
2018-01-15,2018,1,6.8,2018-01,95.7,,
2018-06-15,2018,6,15.9,2018-06,98.2,,
2018-12-15,2018,12,3.1,2018-12,98.3,-25.925,2.2833333333333314
2019-01-15,2019,1,7.7,2019-01,91.2,-17.125,-4.241666666666674
2019-06-15,2019,6,1.0,2019-06,98.2,-19.5,2.583333333333343
2019-12-15,2019,12,1.5,2019-12,99.3,-14.325000000000001,3.124999999999986
2020-01-15,2020,1,6.2,2020-01,99.8,-5.425,2.9749999999999943
2020-06-15,2020,6,5.8,2020-06,78.1,-4.233333333333333,-17.441666666666677
2020-12-15,2020,12,23.1,2020-12,80.7,12.716666666666669,-13.383333333333326
2021-01-15,2021,1,10.4,2021-01,79.0,1.3249999999999993,-13.458333333333329
2021-06-15,2021,6,26.9,2021-06,85.5,17.18333333333333,-6.158333333333317
2021-12-15,2021,12,67.2,2021-12,70.6,52.56666666666667,-18.950000000000003
2022-01-15,2022,1,58.8,2022-01,67.2,39.83333333333333,-19.974999999999994
2022-06-15,2022,6,70.3,2022-06,50.0,46.8,-33.15833333333333
2022-12-15,2022,12,113.3,2022-12,59.7,80.61666666666667,-20.24166666666666
2023-01-15,2023,1,143.6,2023-01,64.9,99.59166666666667,-12.849999999999994
2023-06-15,2023,6,163.4,2023-06,64.4,105.85833333333335,-10.533333333333317
2023-12-15,2023,12,114.2,2023-12,69.7,47.266666666666666,-2.7666666666666657
