name,birth_date,profession,sign,element
Marilyn Monroe,1926-06-01 00:00:00,performer,Gemini,Air
Elvis Presley,1935-01-08 00:00:00,performer,Capricorn,Earth
Michael Jackson,1958-08-29 00:00:00,performer,Virgo,Earth
Prince,1958-06-07 00:00:00,performer,Gemini,Air
David Bowie,1947-01-08 00:00:00,performer,Capricorn,Earth
Freddie Mercury,1946-09-05 00:00:00,performer,Virgo,Earth
Whitney Houston,1963-08-09 00:00:00,performer,Leo,Fire
Amy Winehouse,1983-09-14 00:00:00,performer,Virgo,Earth
Kurt Cobain,1967-02-20 00:00:00,performer,Pisces,Water
Jimi Hendrix,1942-11-27 00:00:00,performer,Sagittarius,Fire
Janis Joplin,1943-01-19 00:00:00,performer,Capricorn,Earth
Jim Morrison,1943-12-08 00:00:00,performer,Sagittarius,Fire
John Lennon,1940-10-09 00:00:00,performer,Libra,Air
George Harrison,1943-02-25 00:00:00,performer,Pisces,Water
Frank Sinatra,1915-12-12 00:00:00,performer,Sagittarius,Fire
Dean Martin,1917-06-07 00:00:00,performer,Gemini,Air
Sammy Davis Jr,1925-12-08 00:00:00,performer,Sagittarius,Fire
Lucille Ball,1911-08-06 00:00:00,performer,Leo,Fire
Robin Williams,1951-07-21 00:00:00,performer,Cancer,Water
John Belushi,1949-01-24 00:00:00,performer,Aquarius,Air
Chris Farley,1964-02-15 00:00:00,performer,Aquarius,Air
Richard Pryor,1940-12-01 00:00:00,performer,Sagittarius,Fire
George Carlin,1937-05-12 00:00:00,performer,Taurus,Earth
Bob Hope,1903-05-29 00:00:00,performer,Gemini,Air
Johnny Carson,1925-10-23 00:00:00,performer,Scorpio,Water
Joan Rivers,1933-06-08 00:00:00,performer,Gemini,Air
Betty White,1922-01-17 00:00:00,performer,Capricorn,Earth
Audrey Hepburn,1929-05-04 00:00:00,performer,Taurus,Earth
Elizabeth Taylor,1932-02-27 00:00:00,performer,Pisces,Water
Grace Kelly,1929-11-12 00:00:00,performer,Scorpio,Water
Marlon Brando,1924-04-03 00:00:00,performer,Aries,Fire
James Dean,1931-02-08 00:00:00,performer,Aquarius,Air
Humphrey Bogart,1899-12-25 00:00:00,performer,Capricorn,Earth
Clark Gable,1901-02-01 00:00:00,performer,Aquarius,Air
Cary Grant,1904-01-18 00:00:00,performer,Capricorn,Earth
James Stewart,1908-05-20 00:00:00,performer,Taurus,Earth
John Wayne,1907-05-26 00:00:00,performer,Gemini,Air
Bette Davis,1908-04-05 00:00:00,performer,Aries,Fire
Katharine Hepburn,1907-05-12 00:00:00,performer,Taurus,Earth
Judy Garland,1922-06-10 00:00:00,performer,Gemini,Air
Gene Kelly,1912-08-23 00:00:00,performer,Virgo,Earth
Fred Astaire,1899-05-10 00:00:00,performer,Taurus,Earth
Ginger Rogers,1911-07-16 00:00:00,performer,Cancer,Water
Bing Crosby,1903-05-03 00:00:00,performer,Taurus,Earth
Nat King Cole,1919-03-17 00:00:00,performer,Pisces,Water
Ella Fitzgerald,1917-04-25 00:00:00,performer,Taurus,Earth
Billie Holiday,1915-04-07 00:00:00,performer,Aries,Fire
Louis Armstrong,1901-08-04 00:00:00,performer,Leo,Fire
Duke Ellington,1899-04-29 00:00:00,performer,Taurus,Earth
Count Basie,1904-08-21 00:00:00,performer,Leo,Fire
Charlie Parker,1920-08-29 00:00:00,performer,Virgo,Earth
Miles Davis,1926-05-26 00:00:00,performer,Gemini,Air
John Coltrane,1926-09-23 00:00:00,performer,Libra,Air
Thelonious Monk,1917-10-10 00:00:00,performer,Libra,Air
Ray Charles,1930-09-23 00:00:00,performer,Libra,Air
James Brown,1933-05-03 00:00:00,performer,Taurus,Earth
Aretha Franklin,1942-03-25 00:00:00,performer,Aries,Fire
Otis Redding,1941-09-09 00:00:00,performer,Virgo,Earth
Marvin Gaye,1939-04-02 00:00:00,performer,Aries,Fire
Stevie Wonder,1950-05-13 00:00:00,performer,Taurus,Earth
Bob Marley,1945-02-06 00:00:00,performer,Aquarius,Air
Johnny Cash,1932-02-26 00:00:00,performer,Pisces,Water
Hank Williams,1923-09-17 00:00:00,performer,Virgo,Earth
Patsy Cline,1932-09-08 00:00:00,performer,Virgo,Earth
Buddy Holly,1936-09-07 00:00:00,performer,Virgo,Earth
Ritchie Valens,1941-05-13 00:00:00,performer,Taurus,Earth
Eddie Cochran,1938-10-03 00:00:00,performer,Libra,Air
Chuck Berry,1926-10-18 00:00:00,performer,Libra,Air
Little Richard,1932-12-05 00:00:00,performer,Sagittarius,Fire
Fats Domino,1928-02-26 00:00:00,performer,Pisces,Water
Jerry Lee Lewis,1935-09-29 00:00:00,performer,Libra,Air
Roy Orbison,1936-04-23 00:00:00,performer,Taurus,Earth
Sam Cooke,1931-01-22 00:00:00,performer,Aquarius,Air
Jackie Wilson,1934-06-09 00:00:00,performer,Gemini,Air
Etta James,1938-01-25 00:00:00,performer,Aquarius,Air
Tina Turner,1939-11-26 00:00:00,performer,Sagittarius,Fire
Donna Summer,1948-12-31 00:00:00,performer,Capricorn,Earth
Barry White,1944-09-12 00:00:00,performer,Virgo,Earth
Isaac Hayes,1942-08-20 00:00:00,performer,Leo,Fire
Curtis Mayfield,1942-06-03 00:00:00,performer,Gemini,Air
George Michael,1963-06-25 00:00:00,performer,Cancer,Water
Tom Petty,1950-10-20 00:00:00,performer,Libra,Air
Glenn Frey,1948-11-06 00:00:00,performer,Scorpio,Water
Don Henley,1947-07-22 00:00:00,performer,Cancer,Water
Gregg Allman,1947-12-08 00:00:00,performer,Sagittarius,Fire
Duane Allman,1946-11-20 00:00:00,performer,Scorpio,Water
Ronnie Van Zant,1948-01-15 00:00:00,performer,Capricorn,Earth
Stevie Ray Vaughan,1954-10-03 00:00:00,performer,Libra,Air
BB King,1925-09-16 00:00:00,performer,Virgo,Earth
Muddy Waters,1913-04-04 00:00:00,performer,Aries,Fire
Howlin Wolf,1910-06-10 00:00:00,performer,Gemini,Air
John Lee Hooker,1912-08-22 00:00:00,performer,Leo,Fire
