family_id,birth_year,birth_order,source
929156,1939,2,graduate
923265,1939,6,graduate
923265,1923,1,sibling_roster
923265,1925,2,sibling_roster
923265,1929,3,sibling_roster
923265,1933,4,sibling_roster
923265,1936,5,sibling_roster
923265,1940,6,sibling_roster
920475,1939,3,graduate
920475,1930,1,sibling_roster
920475,1933,2,sibling_roster
920475,1939,3,sibling_roster
920475,1941,4,sibling_roster
913811,1939,1,sibling_roster
913811,1943,2,sibling_roster
911419,1939,2,graduate
911419,1938,1,sibling_roster
911419,1940,2,sibling_roster
911419,1944,3,sibling_roster
928547,1940,10,graduate
928547,1922,1,sibling_roster
928547,1927,2,sibling_roster
928547,1928,3,sibling_roster
928547,1930,4,sibling_roster
928547,1930,5,sibling_roster
928547,1932,6,sibling_roster
928547,1936,7,sibling_roster
928547,1938,8,sibling_roster
928547,1940,9,sibling_roster
916748,1939,5,graduate
916748,1933,1,sibling_roster
916748,1935,2,sibling_roster
916748,1936,3,sibling_roster
916748,1940,4,sibling_roster
916748,1941,5,sibling_roster
915954,1939,3,graduate
915954,1937,1,sibling_roster
915954,1938,2,sibling_roster
915954,1940,3,sibling_roster
915954,1940,4,sibling_roster
915954,1945,5,sibling_roster
915954,1953,6,sibling_roster
915954,1955,7,sibling_roster
915954,1958,8,sibling_roster
932793,1939,2,graduate
932793,1932,1,sibling_roster
932793,1939,2,sibling_roster
932793,1944,3,sibling_roster
925106,1939,1,sibling_roster
925106,1943,2,sibling_roster
925106,1944,3,sibling_roster
925106,1947,4,sibling_roster
925106,1950,5,sibling_roster
925106,1962,6,sibling_roster
925106,1963,7,sibling_roster
925098,1939,2,graduate
930230,1939,3,graduate
930230,1916,1,sibling_roster
930230,1920,2,sibling_roster
930230,1940,3,sibling_roster
926010,1938,2,graduate
926010,1939,2,sibling_roster
926010,1941,3,sibling_roster
926010,1944,4,sibling_roster
912793,1938,1,sibling_roster
912793,1944,2,sibling_roster
933946,1938,10,graduate
933946,1923,1,sibling_roster
933946,1924,2,sibling_roster
933946,1926,3,sibling_roster
933946,1928,4,sibling_roster
933946,1929,5,sibling_roster
933946,1931,6,sibling_roster
933946,1933,7,sibling_roster
933946,1935,8,sibling_roster
933946,1937,9,sibling_roster
933946,1939,10,sibling_roster
933946,1943,11,sibling_roster
909324,1939,4,graduate
932060,1939,5,graduate
932060,1935,1,sibling_roster
932060,1937,2,sibling_roster
932060,1938,3,sibling_roster
932060,1939,4,sibling_roster
932060,1940,5,sibling_roster
932060,1946,6,sibling_roster
932060,1949,7,sibling_roster
932060,1954,8,sibling_roster
900481,1939,2,graduate
917919,1940,2,graduate
917919,1939,1,sibling_roster
917919,1940,2,sibling_roster
920559,1940,1,sibling_roster
920559,1941,2,sibling_roster
900384,1940,1,sibling_roster
900384,1942,2,sibling_roster
900384,1954,3,sibling_roster
920072,1940,1,sibling_roster
920072,1948,2,sibling_roster
928526,1939,5,graduate
928526,1933,1,sibling_roster
928526,1937,2,sibling_roster
928526,1940,3,sibling_roster
928526,1940,4,sibling_roster
928526,1942,5,sibling_roster
928526,1955,6,sibling_roster
928526,1959,7,sibling_roster
920362,1940,1,sibling_roster
920362,1943,2,sibling_roster
920362,1947,3,sibling_roster
911396,1939,1,sibling_roster
911396,1944,2,sibling_roster
902791,1939,1,sibling_roster
902791,1947,2,sibling_roster
923975,1939,5,graduate
923975,1927,1,sibling_roster
923975,1931,2,sibling_roster
923975,1934,3,sibling_roster
923975,1936,4,sibling_roster
923975,1940,5,sibling_roster
923975,1942,6,sibling_roster
904175,1939,3,graduate
921995,1939,6,graduate
906544,1939,1,sibling_roster
905864,1939,5,graduate
905864,1932,1,sibling_roster
905864,1933,2,sibling_roster
905864,1934,3,sibling_roster
905864,1937,4,sibling_roster
905864,1940,5,sibling_roster
905864,1945,6,sibling_roster
905864,1949,7,sibling_roster
930841,1940,1,sibling_roster
930841,1950,2,sibling_roster
924210,1939,2,graduate
911193,1939,3,graduate
914324,1939,2,graduate
914324,1937,1,sibling_roster
914324,1940,2,sibling_roster
914324,1942,3,sibling_roster
914324,1945,4,sibling_roster
914324,1947,5,sibling_roster
927678,1939,4,graduate
927678,1935,1,sibling_roster
927678,1938,2,sibling_roster
927678,1938,3,sibling_roster
927678,1940,4,sibling_roster
927678,1942,5,sibling_roster
927678,1944,6,sibling_roster
927678,1946,7,sibling_roster
923798,1939,1,sibling_roster
923798,1949,2,sibling_roster
917415,1940,3,graduate
917415,1935,1,sibling_roster
917415,1937,2,sibling_roster
917415,1940,3,sibling_roster
917415,1944,4,sibling_roster
917415,1950,5,sibling_roster
917415,1953,6,sibling_roster
917415,1955,7,sibling_roster
906698,1939,2,graduate
931269,1939,2,graduate
929122,1939,4,graduate
929122,1924,1,sibling_roster
929122,1926,2,sibling_roster
929122,1930,3,sibling_roster
929122,1940,4,sibling_roster
903554,1939,3,graduate
906421,1939,5,graduate
906421,1927,1,sibling_roster
906421,1928,2,sibling_roster
906421,1931,3,sibling_roster
906421,1937,4,sibling_roster
906421,1939,5,sibling_roster
907624,1939,2,graduate
902908,1940,1,sibling_roster
902908,1949,2,sibling_roster
921340,1939,4,graduate
921340,1922,1,sibling_roster
921340,1923,2,sibling_roster
921340,1928,3,sibling_roster
921340,1940,4,sibling_roster
921340,1943,5,sibling_roster
917609,1939,2,graduate
917609,1937,1,sibling_roster
917609,1940,2,sibling_roster
925500,1939,3,graduate
925500,1923,1,sibling_roster
925500,1931,2,sibling_roster
925500,1933,3,sibling_roster
925500,1940,4,sibling_roster
925500,1941,5,sibling_roster
925500,1943,6,sibling_roster
909181,1939,1,sibling_roster
909181,1942,2,sibling_roster
909181,1945,3,sibling_roster
909181,1951,4,sibling_roster
909181,1953,5,sibling_roster
909181,1955,6,sibling_roster
925958,1939,3,graduate
925958,1935,1,sibling_roster
925958,1937,2,sibling_roster
925958,1940,3,sibling_roster
925958,1946,4,sibling_roster
925958,1949,5,sibling_roster
929859,1939,4,graduate
927736,1938,3,graduate
927736,1936,1,sibling_roster
927736,1937,2,sibling_roster
927736,1939,3,sibling_roster
927736,1940,4,sibling_roster
927736,1942,5,sibling_roster
927736,1943,6,sibling_roster
927736,1945,7,sibling_roster
927736,1950,8,sibling_roster
927736,1951,9,sibling_roster
927736,1954,10,sibling_roster
927736,1957,11,sibling_roster
915238,1940,1,sibling_roster
915238,1947,2,sibling_roster
913056,1940,1,sibling_roster
913056,1941,2,sibling_roster
913056,1944,3,sibling_roster
913056,1946,4,sibling_roster
913056,1948,5,sibling_roster
913056,1950,6,sibling_roster
905731,1938,3,graduate
905731,1936,1,sibling_roster
905731,1937,2,sibling_roster
905731,1938,3,sibling_roster
905731,1939,4,sibling_roster
905731,1942,5,sibling_roster
923196,1938,4,graduate
923196,1923,1,sibling_roster
923196,1932,2,sibling_roster
923196,1935,3,sibling_roster
923196,1939,4,sibling_roster
925476,1938,6,graduate
913211,1938,2,graduate
913211,1928,1,sibling_roster
913211,1939,2,sibling_roster
918155,1939,9,graduate
918155,1923,1,sibling_roster
918155,1927,3,sibling_roster
918155,1930,5,sibling_roster
918155,1934,7,sibling_roster
918155,1940,9,sibling_roster
918155,1940,10,sibling_roster
918155,1942,11,sibling_roster
926890,1939,5,graduate
926890,1926,1,sibling_roster
926890,1928,2,sibling_roster
926890,1930,3,sibling_roster
926890,1932,4,sibling_roster
926890,1940,5,sibling_roster
909780,1938,2,graduate
909780,1935,1,sibling_roster
909780,1937,2,sibling_roster
909780,1939,3,sibling_roster
909780,1941,4,sibling_roster
927489,1938,2,graduate
917188,1939,5,graduate
917188,1926,1,sibling_roster
917188,1930,2,sibling_roster
917188,1934,3,sibling_roster
917188,1940,4,sibling_roster
908078,1938,2,graduate
908078,1938,1,sibling_roster
908078,1940,2,sibling_roster
908078,1940,3,sibling_roster
908078,1942,4,sibling_roster
900145,1939,2,graduate
900145,1935,1,sibling_roster
900145,1939,2,sibling_roster
904389,1940,1,sibling_roster
904389,1941,2,sibling_roster
904389,1944,3,sibling_roster
904389,1950,4,sibling_roster
904389,1953,5,sibling_roster
922248,1940,1,sibling_roster
922248,1941,2,sibling_roster
906495,1939,6,graduate
906495,1920,1,sibling_roster
906495,1925,2,sibling_roster
906495,1927,3,sibling_roster
906495,1935,4,sibling_roster
906495,1935,5,sibling_roster
906495,1940,6,sibling_roster
912063,1939,3,graduate
912063,1936,1,sibling_roster
912063,1937,2,sibling_roster
912063,1939,3,sibling_roster
912063,1944,4,sibling_roster
912063,1952,5,sibling_roster
916477,1939,3,graduate
916477,1935,1,sibling_roster
916477,1940,3,sibling_roster
911242,1939,3,graduate
911242,1935,1,sibling_roster
