id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi,birth_order,total_siblings,sibling_data_count
3395,Q9441,3395,Gautama_Buddha,Gautama Buddha,PHILOSOPHER,0.0,M,,False,209,35.49535758298928,Lumbini,27.48138889,83.27583333,204326.0,Nepal,0566-04-08 BC,-566.0,Kushinagar,26.741,83.888,33686220.0,India,,-452.0,lumbini,kushinagar,False,31.94063633782183,114.0,2038657,3.0887392871303607,99.481783,2,2,1
4848272,Q22686,4848272,Donald_Trump,Donald Trump,POLITICIAN,0.0,M,realDonaldTrump,True,253,35.418746957562824,Queens,40.75,-73.86666667,45579.0,United States,1946-06-14,1946.0,,,,,,,,queens,,False,21.201757256680867,79.0,17028468,4.1932983463634335,99.267069,4,5,4
17414699,Q720,17414699,Genghis_Khan,Genghis Khan,MILITARY PERSONNEL,0.0,M,,False,176,35.121570153342034,Khentii Mountains,48.7833,109.167,7300427.0,Mongolia,1162-05-31,1162.0,Yinchuan,38.485,106.225,465955.0,China,1227-08-18,1227.0,khentii-mountains,yinchuan,False,28.15747867995564,65.0,2506097,3.0408986594476803,98.434181,3,7,6
60827,Q635,60827,Cleopatra,Cleopatra,POLITICIAN,0.0,F,,False,151,35.08703265398587,Alexandria,31.1975,29.8925,3080.0,Egypt,0069-01-13 BC,-69.0,Alexandria,31.1975,29.8925,3080.0,Egypt,0030-08-12 BC,-30.0,alexandria,alexandria,False,15.743828158238792,39.0,11936188,3.450093613267366,98.337383,6,9,8
1687680,Q450675,1687680,Pope_Francis,Pope Francis,RELIGIOUS FIGURE,0.0,M,Pontifex,False,175,34.625187220255775,Buenos Aires,-34.60333333,-58.38166667,255919.0,Argentina,1936-12-17,1936.0,Domus Sanctae Marthae,41.9007,12.4533,1686483.0,Vatican City,2025-04-21,2025.0,buenos-aires,domus-sanctae-marthae,False,15.834975765215797,89.0,21779849,3.908639989109968,97.042983,1,2,1
17914,Q255,17914,Ludwig_van_Beethoven,Ludwig van Beethoven,COMPOSER,0.0,M,,False,210,34.570638350441875,Bonn,50.73333333,7.1,3295.0,Germany,1770-12-16,1770.0,Vienna,48.20833333,16.3725,55866.0,Austria,1827-03-26,1827.0,bonn,vienna,False,25.515675267219837,57.0,2365134,3.5811523234351204,96.8901,1,3,2
10128,Q7207,10128,Elizabeth_I_of_England,Elizabeth I of England,POLITICIAN,0.0,F,,False,149,34.2681834304416,Palace of Placentia,51.48222222,-0.00666667,340025.0,United Kingdom,1533-09-07,1533.0,Richmond Palace,51.46117,-0.30888,2496276.0,United Kingdom,1603-03-24,1603.0,palace-of-placentia,richmond-palace,False,22.282869325615877,70.0,2448515,3.094403302673519,96.042419,4,8,7
22954,Q859,22954,Plato,Plato,PHILOSOPHER,0.0,M,,False,217,34.23015762795778,Classical Athens,37.97,23.72,13517898.0,Greece,0427-05-07 BC,-427.0,Athens,37.98416667,23.72805556,1216.0,Greece,,-347.0,classical-athens,athens,False,21.164749679284444,80.0,1880518,4.779142532070533,95.935845,2,5,4
783,Q8409,783,Alexander_the_Great,Alexander the Great,MILITARY PERSONNEL,0.0,M,,False,213,34.12277753665583,Pella,40.754669,22.52105,5245701.0,Greece,0356-07-20 BC,-356.0,Babylon,32.5425,44.42111111,20609622.0,Iraq,0323-06-10 BC,-323.0,pella,babylon,False,16.428306836362633,33.0,3446525,5.660927336933529,95.634894,5,7,6
31665644,Q33923,31665644,Saint_Peter,Saint Peter,RELIGIOUS FIGURE,0.0,M,,False,128,34.05876700957963,Bethsaida,32.91,35.63055556,1213367.0,,0001-01-01 BC,-1.0,Vatican Hill,41.90361111,12.45027778,301088.0,Vatican City,,67.0,bethsaida,vatican-hill,False,21.69351451625157,68.0,2614821,2.883251221564501,95.455494,2,2,1
33163,Q254,33163,Wolfgang_Amadeus_Mozart,Wolfgang Amadeus Mozart,COMPOSER,0.0,M,,False,222,34.02713222454428,Mozart's birthplace,47.8,13.04333333,40656380.0,Austria,1756-01-27,1756.0,Vienna,48.20833333,16.3725,55866.0,Austria,1791-12-05,1791.0,mozarts-birthplace,vienna,False,18.92319277699137,35.0,2944272,4.904251431283524,95.366832,2,2,1
