Planet,Birth_Order,N,J2000_Mean_Deg,Concentration_R
Saturn,1,7137.0,342.2378674314085,0.6152325803138629
Saturn,2,9199.0,11.039647119465778,0.6880419355694971
Saturn,3,6476.0,28.53554872644319,0.5480236874422613
Saturn,4,4250.0,41.47231746836994,0.4264330234634852
Saturn,5+,7699.0,52.98795167169912,0.26879402204887765
Uranus,1,7137.0,13.956998616380174,0.9286932689214227
Uranus,2,9199.0,26.23407889104274,0.9445083127860702
Uranus,3,6476.0,33.83668813763425,0.9199954259424517
Uranus,4,4250.0,39.60257213540967,0.8971570131697688
Uranus,5+,7699.0,48.16113799924208,0.8669306045805639
Neptune,1,7137.0,139.96321041883,0.9779397369615055
Neptune,2,9199.0,146.77519627475192,0.9830607832548433
Neptune,3,6476.0,150.94032741739017,0.9759621945812487
Neptune,4,4250.0,154.05174792658156,0.9695237412556482
Neptune,5+,7699.0,158.6699098869659,0.9613590346682725
Pluto,1,7137.0,92.80306140945768,0.9926682242042643
Pluto,2,9199.0,96.9808058445216,0.9936802236150513
Pluto,3,6476.0,99.74941648691888,0.9899552794515478
Pluto,4,4250.0,101.88064163365408,0.9865291303722662
Pluto,5+,7699.0,105.11757524374727,0.9814807051619426
Rahu,1,7137.0,210.6780287429108,0.48763938791270517
Rahu,2,9199.0,180.44405328622813,0.568438235558738
Rahu,3,6476.0,164.97456558014844,0.3569391484106763
Rahu,4,4250.0,161.05820876511325,0.2214001143693903
Rahu,5+,7699.0,196.74006892098544,0.17578242153481496
Ketu,1,7137.0,30.678028742910833,0.4876393879127051
Ketu,2,9199.0,0.44405328622814333,0.5684382355587378
Ketu,3,6476.0,344.9745655801484,0.3569391484106762
Ketu,4,4250.0,341.05820876511325,0.22140011436939025
Ketu,5+,7699.0,16.740068920985482,0.1757824215348149
