event,date,year,category,cosine_metric
Abraham Lincoln Assassination,1865-04-14,1865,political,-2.89759449918642
James Garfield Shot,1881-07-02,1881,political,10.133232358303903
William McKinley Shot,1901-09-06,1901,political,-2.6990523971445017
Archduke Franz Ferdinand Assassination,1914-06-28,1914,political,2.0817476559140147
Rasputin Assassination,1916-12-30,1916,political,-1.760459967623616
Rosa Luxemburg Assassination,1919-01-15,1919,political,-1.6281005252634446
Michael Collins Assassination,1922-08-22,1922,political,3.666721173087148
Pancho Villa Assassination,1923-07-20,1923,political,4.51459145695633
Huey Long Assassination,1935-09-10,1935,political,-3.013487101215599
Leon Trotsky Assassination,1940-08-21,1940,political,5.366693411340836
Mahatma Gandhi Assassination,1948-01-30,1948,political,3.1196723792318224
King Abdullah I Assassination,1951-07-20,1951,political,1.7247731593164137
Patrice Lumumba Assassination,1961-01-17,1961,political,-1.0439389565527821
Dag Hammarskjold Death,1961-09-18,1961,political,6.320667853923415
JFK Assassination,1963-11-22,1963,political,1.6981507171860655
Malcolm X Assassination,1965-02-21,1965,political,-1.915665407226642
Che Guevara Death,1967-10-09,1967,political,4.584612544607139
Martin Luther King Jr Assassination,1968-04-04,1968,political,-1.755231982867628
Robert F Kennedy Assassination,1968-06-05,1968,political,3.2070302376857582
Aldo Moro Assassination,1978-05-09,1978,political,1.437231675091026
Park Chung-hee Assassination,1979-10-26,1979,political,12.121529752842303
John Lennon Assassination,1980-12-08,1980,political,17.48690001604953
Anwar Sadat Assassination,1981-10-06,1981,political,14.117296902205846
Indira Gandhi Assassination,1984-10-31,1984,political,18.775250332697727
Olof Palme Assassination,1986-02-28,1986,political,13.017796138339936
Rajiv Gandhi Assassination,1991-05-21,1991,political,-3.300858089330355
Yitzhak Rabin Assassination,1995-11-04,1995,political,10.558909864192643
Princess Diana Death,1997-08-31,1997,political,-0.5001306403118237
Benazir Bhutto Assassination,2007-12-27,2007,political,-2.203543946963193
Osama bin Laden Death,2011-05-02,2011,political,5.944031458666667
Muammar Gaddafi Death,2011-10-20,2011,political,-3.922489868704314
Boris Nemtsov Assassination,2015-02-27,2015,political,0.5073425737717654
Jamal Khashoggi Assassination,2018-10-02,2018,political,-0.4529519800192061
Qasem Soleimani Assassination,2020-01-03,2020,political,10.136664540847672
Shinzo Abe Assassination,2022-07-08,2022,political,2.7569167579422675
FDR First Inauguration,1933-03-04,1933,political,-1.6772758709133955
FDR Fourth Inauguration,1945-01-20,1945,political,-2.9967925247757723
Truman Inauguration,1949-01-20,1949,political,-1.3671895050791047
Eisenhower First Inauguration,1953-01-20,1953,political,-3.8640867178532816
JFK Inauguration,1961-01-20,1961,political,-2.6444134770391017
LBJ Inauguration,1965-01-20,1965,political,-0.9173915941335657
Nixon First Inauguration,1969-01-20,1969,political,1.2749415606524808
Nixon Second Inauguration,1973-01-20,1973,political,1.7029213482042813
Carter Inauguration,1977-01-20,1977,political,0.5530810132141468
Reagan First Inauguration,1981-01-20,1981,political,5.493455297176026
Reagan Second Inauguration,1985-01-20,1985,political,15.671631868297915
Bush Sr Inauguration,1989-01-20,1989,political,-0.6047590343461983
Clinton First Inauguration,1993-01-20,1993,political,6.195533093960045
Clinton Second Inauguration,1997-01-20,1997,political,3.136770301008154
Bush Jr First Inauguration,2001-01-20,2001,political,2.9042865649266467
Bush Jr Second Inauguration,2005-01-20,2005,political,-0.6399851779124107
Obama First Inauguration,2009-01-20,2009,political,10.445295545581006
Obama Second Inauguration,2013-01-21,2013,political,3.651002530834178
Trump Inauguration,2017-01-20,2017,political,5.223255480952645
Biden Inauguration,2021-01-20,2021,political,13.426496992030453
UK Churchill PM,1940-05-10,1940,political,12.967865771915656
UK Attlee PM,1945-07-26,1945,political,5.242182451420847
UK Thatcher PM,1979-05-04,1979,political,-0.9287966404257426
UK Blair PM,1997-05-02,1997,political,3.713732295046702
