date,event_type,description,hard_aspects,Jupiter_Saturn,Jupiter_Saturn_angle,Saturn_Uranus,Saturn_Uranus_angle,Uranus_Neptune,Uranus_Neptune_angle,Neptune_Pluto,Neptune_Pluto_angle,Saturn_Pluto,Saturn_Pluto_angle,Jupiter_Pluto,Jupiter_Pluto_angle,Jupiter_Uranus,Jupiter_Uranus_angle,Saturn_Neptune,Saturn_Neptune_angle,Jupiter_Neptune,Jupiter_Neptune_angle,Uranus_Pluto,Uranus_Pluto_angle
1756-05-17,war_start,Seven Years War begins,2,trine,121.29777422762211,none,38.27229076362107,none,139.68173052336107,none,129.33995084446263,none,52.706027868555225,none,68.59174635906689,none,159.57006499124319,opposition,177.95402128698214,sextile,60.748204485395746,square,90.9783186321763
1757-06-23,battle,Battle of Plassey,2,none,102.78168761234633,none,31.451977772913835,none,138.2015497933344,trine,127.71154436721687,sextile,62.63492806653488,none,40.14675954581145,none,134.23366538526017,none,169.65352756624824,square,87.56478482140542,square,94.08690583944872
1759-09-13,battle,Battle of Quebec,1,sextile,59.56798357069857,none,17.268164676772074,none,138.99319227927407,trine,124.09928103785455,none,79.6393620060993,none,20.07137843540073,none,76.83614824747065,none,156.26135695604614,none,144.17065947325528,square,96.90752668287138
1763-02-10,war_end,Treaty of Paris ends Seven Years War,2,none,14.174375726928066,conjunction,9.738543382737882,none,134.70339312673633,trine,127.9640397242533,none,107.07111053174825,trine,121.2454862586763,none,23.91291910966595,trine,124.96484974399846,none,110.7904740170704,square,97.33256714901034
1775-04-19,war_start,Battles of Lexington and Concord,1,none,132.0411720048746,trine,123.1848253786905,none,109.85489756017537,trine,126.29383061763892,trine,112.96390279912379,trine,114.99492519600162,conjunction,8.856346626184084,none,13.32992781851513,trine,118.71124418635947,trine,123.85127182218571
1776-07-04,political,US Declaration of Independence,0,none,98.95543541987215,trine,125.89304296821659,none,103.51248099707355,trine,125.1476749261293,none,102.76711295498626,none,158.2774516251416,none,26.937607548344445,none,22.380561971143038,none,76.57487344872911,none,131.33984407679714
1777-10-17,battle,Battle of Saratoga,1,none,72.47980674247026,none,139.76827551121104,none,102.8556448549829,trine,119.85848779147915,square,82.945857135251,none,155.42566387772126,none,67.28846876874078,none,36.912630656228146,none,35.567176086242114,none,137.28586735353795
1781-10-19,battle,Siege of Yorktown ends,1,none,17.082377937986394,none,163.44984875704506,square,93.52090346806811,trine,118.02315243413534,none,48.09420714515841,sextile,65.1765850831448,none,146.36747081905867,none,69.92894528897693,none,52.84656735099054,none,148.45594409779653
1783-09-03,war_end,Treaty of Paris recognizes USA,3,none,16.99511035952105,opposition,174.94257081177602,square,87.86318060794372,trine,119.21331517491012,none,32.13392497107782,none,15.138814611556768,none,168.06231882870293,square,87.0793902038323,none,104.07450056335335,none,152.92350421714616
1792-04-20,war_start,France declares war on Austria,4,opposition,177.09388255910912,none,111.7718327067416,none,73.55325192916789,trine,114.89696293798946,sextile,59.777952426101024,trine,117.31593013300807,none,71.13428473414928,opposition,174.6749153640905,conjunction,2.4189671950186096,opposition,171.54978513284266
1793-01-21,political,Louis XVI executed,4,none,148.40403917530867,trine,116.60539003587094,none,69.47687845986485,none,110.48997997889609,sextile,63.42775152536814,square,84.97628764994053,square,94.9905707888204,opposition,173.91773150426422,none,25.513692328955557,opposition,179.96685843876094
1794-07-27,political,Thermidorian Reaction,3,none,153.12955932296825,square,89.42841746661347,sextile,64.19167259916128,trine,114.18326257185575,square,92.1966473623695,sextile,60.932911960598744,trine,117.44202321041828,none,153.62009006577475,none,53.250350611257005,opposition,178.37493517101703
1796-03-02,military,Napoleon commands Army of Italy,3,none,102.14059349634113,square,88.33075213500271,sextile,62.73807556555468,none,109.29924588736881,none,99.63192641207377,conjunction,2.5086670842673016,none,169.5286543686562,none,151.0688277005574,none,106.79057880310151,opposition,172.0373214529235
1798-08-01,battle,Battle of the Nile,1,sextile,55.56948762068219,sextile,56.64573775911917,sextile,54.595429690328956,none,111.02191797484909,none,137.73691457570277,square,82.16742695502057,trine,112.21522537980135,none,111.24116744944813,none,166.8106550701303,none,165.61734766517804
1799-11-09,political,Napoleon coup of 18 Brumaire,2,none,39.418095213379814,none,45.74152962277162,none,49.0187573850873,none,106.05947118209855,none,159.18024181004253,trine,119.76214659666272,square,85.15962483615144,square,94.76028700785892,none,134.17838222123873,none,155.07822856718585
1802-03-25,war_end,Treaty of Amiens,4,conjunction,4.97667881038538,none,32.78105771670212,none,46.652406037413954,none,104.7519655952064,opposition,175.81457065067752,opposition,170.83789184029214,none,37.7577365270875,none,79.43346375411608,square,84.41014256450146,none,151.40437163262035
1803-05-18,war_start,Napoleonic Wars resume,1,none,12.11649660410481,none,23.79622391485404,none,44.623449903638544,none,106.00374006286961,opposition,174.4234138813622,none,162.30691727725738,none,11.679727310749229,none,68.41967381849258,sextile,56.30317721438777,none,150.62718996650815
1805-10-21,battle,Battle of Trafalgar,3,none,46.45198500247761,conjunction,1.5516437033263912,none,35.04871538406337,none,102.16405584105564,none,138.7644149284454,square,92.31242992596779,none,44.90034129915122,none,36.60035908738976,conjunction,9.851625915087851,none,137.212771225119
1805-12-02,battle,Battle of Austerlitz,2,none,50.7693107633888,conjunction,0.7612727012699168,none,34.17460295952992,none,100.43458102180196,none,133.84791128006196,square,83.07860051667316,none,51.53058346465872,none,33.413330258260004,none,17.355980505128798,none,134.60918398133188
1806-10-14,battle,Battles of Jena-Auerstedt,1,sextile,62.07157768758603,conjunction,4.287921840593356,none,32.9703001095026,none,101.66584179904763,none,130.34822006795687,none,68.27664238037084,none,66.35949952817938,none,28.682378268909247,none,33.38919941867678,none,134.63614190855023
