planet,sign,fitness,n
Pluto,Leo,0.26744186046511625,22
Mars,Lib,0.18604651162790697,16
Neptune,Lib,0.1744186046511628,15
Moon,Sag,0.16279069767441862,14
Neptune,Vir,0.16279069767441862,14
Neptune,Sco,0.16279069767441862,14
Pluto,Vir,0.16279069767441862,14
Uranus,Tau,0.1511627906976744,13
Pluto,Can,0.1511627906976744,13
Sun,Can,0.13953488372093023,12
Jupiter,Tau,0.13953488372093023,12
Saturn,Aqu,0.13953488372093023,12
Pluto,Tau,0.13953488372093023,12
Sun,Aqu,0.12790697674418605,11
Mercury,Sco,0.12790697674418605,11
Mercury,Aqu,0.12790697674418605,11
Saturn,Tau,0.12790697674418605,11
Saturn,Sag,0.12790697674418605,11
Uranus,Vir,0.12790697674418605,11
Moon,Aqu,0.11627906976744186,10
Mercury,Gem,0.11627906976744186,10
Venus,Ari,0.11627906976744186,10
Mars,Tau,0.11627906976744186,10
Jupiter,Lib,0.11627906976744186,10
Jupiter,Pis,0.11627906976744186,10
Saturn,Sco,0.11627906976744186,10
Uranus,Gem,0.11627906976744186,10
Uranus,Leo,0.11627906976744186,10
Neptune,Sag,0.11627906976744186,10
Rahu,Leo,0.11627906976744186,10
Rahu,Lib,0.11627906976744186,10
Rahu,Sag,0.11627906976744186,10
Ketu,Ari,0.11627906976744186,10
Ketu,Gem,0.11627906976744186,10
Ketu,Aqu,0.11627906976744186,10
Sun,Leo,0.10465116279069768,9
Sun,Lib,0.10465116279069768,9
Moon,Ari,0.10465116279069768,9
Venus,Vir,0.10465116279069768,9
Mars,Sco,0.10465116279069768,9
Jupiter,Can,0.10465116279069768,9
Saturn,Pis,0.10465116279069768,9
Rahu,Ari,0.10465116279069768,9
Ketu,Lib,0.10465116279069768,9
Sun,Sco,0.09302325581395349,8
Moon,Tau,0.09302325581395349,8
Moon,Leo,0.09302325581395349,8
Moon,Vir,0.09302325581395349,8
Moon,Pis,0.09302325581395349,8
Mercury,Leo,0.09302325581395349,8
Venus,Gem,0.09302325581395349,8
Venus,Aqu,0.09302325581395349,8
Mars,Cap,0.09302325581395349,8
Jupiter,Ari,0.09302325581395349,8
Jupiter,Gem,0.09302325581395349,8
Saturn,Leo,0.09302325581395349,8
Uranus,Ari,0.09302325581395349,8
Neptune,Leo,0.09302325581395349,8
Rahu,Tau,0.09302325581395349,8
Rahu,Can,0.09302325581395349,8
Rahu,Vir,0.09302325581395349,8
Rahu,Cap,0.09302325581395349,8
Ketu,Can,0.09302325581395349,8
Ketu,Sco,0.09302325581395349,8
Ketu,Cap,0.09302325581395349,8
Ketu,Pis,0.09302325581395349,8
Sun,Gem,0.08139534883720931,7
Sun,Sag,0.08139534883720931,7
Sun,Cap,0.08139534883720931,7
Moon,Sco,0.08139534883720931,7
Mercury,Can,0.08139534883720931,7
Mercury,Lib,0.08139534883720931,7
Mercury,Pis,0.08139534883720931,7
Venus,Can,0.08139534883720931,7
Venus,Lib,0.08139534883720931,7
Venus,Sco,0.08139534883720931,7
Venus,Sag,0.08139534883720931,7
Venus,Cap,0.08139534883720931,7
Mars,Gem,0.08139534883720931,7
Mars,Can,0.08139534883720931,7
Jupiter,Sco,0.08139534883720931,7
Jupiter,Aqu,0.08139534883720931,7
Saturn,Gem,0.08139534883720931,7
Saturn,Can,0.08139534883720931,7
Uranus,Can,0.08139534883720931,7
Uranus,Sco,0.08139534883720931,7
Rahu,Gem,0.08139534883720931,7
Ketu,Sag,0.08139534883720931,7
Mercury,Sag,0.06976744186046512,6
Mercury,Cap,0.06976744186046512,6
Venus,Pis,0.06976744186046512,6
Mars,Leo,0.06976744186046512,6
Mars,Vir,0.06976744186046512,6
Jupiter,Cap,0.06976744186046512,6
Uranus,Sag,0.06976744186046512,6
Pluto,Gem,0.06976744186046512,6
Pluto,Lib,0.06976744186046512,6
Sun,Tau,0.05813953488372093,5
Sun,Pis,0.05813953488372093,5
Moon,Can,0.05813953488372093,5
Mercury,Ari,0.05813953488372093,5
Mercury,Vir,0.05813953488372093,5
Venus,Tau,0.05813953488372093,5
Venus,Leo,0.05813953488372093,5
Mars,Ari,0.05813953488372093,5
Mars,Pis,0.05813953488372093,5
Jupiter,Leo,0.05813953488372093,5
Uranus,Aqu,0.05813953488372093,5
Neptune,Tau,0.05813953488372093,5
Moon,Cap,0.046511627906976744,4
Mars,Sag,0.046511627906976744,4
Saturn,Cap,0.046511627906976744,4
Uranus,Pis,0.046511627906976744,4
Neptune,Can,0.046511627906976744,4
Neptune,Aqu,0.046511627906976744,4
Neptune,Pis,0.046511627906976744,4
Pluto,Ari,0.046511627906976744,4
Rahu,Sco,0.046511627906976744,4
Ketu,Tau,0.046511627906976744,4
Sun,Ari,0.03488372093023256,3
Sun,Vir,0.03488372093023256,3
Moon,Lib,0.03488372093023256,3
Mercury,Tau,0.03488372093023256,3
Mars,Aqu,0.03488372093023256,3
Saturn,Lib,0.03488372093023256,3
Uranus,Lib,0.03488372093023256,3
Neptune,Ari,0.03488372093023256,3
Neptune,Cap,0.03488372093023256,3
Pluto,Sco,0.03488372093023256,3
Pluto,Pis,0.03488372093023256,3
Rahu,Aqu,0.03488372093023256,3
Ketu,Leo,0.03488372093023256,3
Moon,Gem,0.023255813953488372,2
Jupiter,Vir,0.023255813953488372,2
Jupiter,Sag,0.023255813953488372,2
Saturn,Ari,0.023255813953488372,2
Saturn,Vir,0.023255813953488372,2
Uranus,Cap,0.023255813953488372,2
Neptune,Gem,0.023255813953488372,2
Pluto,Sag,0.011627906976744186,1
Pluto,Cap,0.011627906976744186,1
Rahu,Pis,0.011627906976744186,1
Ketu,Vir,0.011627906976744186,1
Pluto,Aqu,0.0,0
