planet,sign,fitness,n
Pluto,Can,0.2441860465116279,21
Neptune,Vir,0.20930232558139536,18
Pluto,Leo,0.20930232558139536,18
Neptune,Lib,0.18604651162790697,16
Moon,Sco,0.1744186046511628,15
Mars,Vir,0.1744186046511628,15
Uranus,Tau,0.1744186046511628,15
Uranus,Leo,0.16279069767441862,14
Jupiter,Tau,0.1511627906976744,13
Moon,Aqu,0.13953488372093023,12
Mercury,Lib,0.13953488372093023,12
Mercury,Cap,0.13953488372093023,12
Saturn,Sco,0.13953488372093023,12
Neptune,Sco,0.13953488372093023,12
Pluto,Gem,0.13953488372093023,12
Saturn,Ari,0.12790697674418605,11
Saturn,Can,0.12790697674418605,11
Saturn,Cap,0.12790697674418605,11
Sun,Gem,0.11627906976744186,10
Sun,Can,0.11627906976744186,10
Sun,Lib,0.11627906976744186,10
Mercury,Gem,0.11627906976744186,10
Venus,Leo,0.11627906976744186,10
Venus,Sco,0.11627906976744186,10
Venus,Pis,0.11627906976744186,10
Jupiter,Pis,0.11627906976744186,10
Pluto,Ari,0.11627906976744186,10
Rahu,Leo,0.11627906976744186,10
Ketu,Aqu,0.11627906976744186,10
Sun,Sag,0.10465116279069768,9
Sun,Aqu,0.10465116279069768,9
Moon,Leo,0.10465116279069768,9
Mercury,Tau,0.10465116279069768,9
Venus,Cap,0.10465116279069768,9
Jupiter,Ari,0.10465116279069768,9
Jupiter,Lib,0.10465116279069768,9
Jupiter,Aqu,0.10465116279069768,9
Saturn,Aqu,0.10465116279069768,9
Uranus,Can,0.10465116279069768,9
Uranus,Pis,0.10465116279069768,9
Neptune,Leo,0.10465116279069768,9
Pluto,Tau,0.10465116279069768,9
Rahu,Tau,0.10465116279069768,9
Rahu,Can,0.10465116279069768,9
Rahu,Sco,0.10465116279069768,9
Rahu,Sag,0.10465116279069768,9
Ketu,Tau,0.10465116279069768,9
Ketu,Gem,0.10465116279069768,9
Ketu,Sco,0.10465116279069768,9
Ketu,Cap,0.10465116279069768,9
Sun,Cap,0.09302325581395349,8
Moon,Ari,0.09302325581395349,8
Moon,Cap,0.09302325581395349,8
Mars,Ari,0.09302325581395349,8
Mars,Tau,0.09302325581395349,8
Mars,Gem,0.09302325581395349,8
Mars,Lib,0.09302325581395349,8
Uranus,Ari,0.09302325581395349,8
Rahu,Vir,0.09302325581395349,8
Rahu,Pis,0.09302325581395349,8
Ketu,Vir,0.09302325581395349,8
Ketu,Pis,0.09302325581395349,8
Moon,Can,0.08139534883720931,7
Mercury,Leo,0.08139534883720931,7
Mercury,Sag,0.08139534883720931,7
Mercury,Aqu,0.08139534883720931,7
Venus,Tau,0.08139534883720931,7
Venus,Gem,0.08139534883720931,7
Venus,Lib,0.08139534883720931,7
Mars,Can,0.08139534883720931,7
Mars,Sag,0.08139534883720931,7
Jupiter,Can,0.08139534883720931,7
Saturn,Lib,0.08139534883720931,7
Uranus,Lib,0.08139534883720931,7
Neptune,Can,0.08139534883720931,7
Pluto,Vir,0.08139534883720931,7
Rahu,Gem,0.08139534883720931,7
Rahu,Lib,0.08139534883720931,7
Ketu,Ari,0.08139534883720931,7
Ketu,Sag,0.08139534883720931,7
Sun,Ari,0.06976744186046512,6
Sun,Tau,0.06976744186046512,6
Sun,Vir,0.06976744186046512,6
Moon,Pis,0.06976744186046512,6
Mercury,Can,0.06976744186046512,6
Mercury,Sco,0.06976744186046512,6
Venus,Ari,0.06976744186046512,6
Venus,Can,0.06976744186046512,6
Venus,Aqu,0.06976744186046512,6
Mars,Leo,0.06976744186046512,6
Mars,Sco,0.06976744186046512,6
Jupiter,Gem,0.06976744186046512,6
Jupiter,Vir,0.06976744186046512,6
Jupiter,Sag,0.06976744186046512,6
Saturn,Tau,0.06976744186046512,6
Saturn,Gem,0.06976744186046512,6
Uranus,Sco,0.06976744186046512,6
Neptune,Ari,0.06976744186046512,6
Neptune,Aqu,0.06976744186046512,6
Rahu,Ari,0.06976744186046512,6
Ketu,Lib,0.06976744186046512,6
Sun,Sco,0.05813953488372093,5
Moon,Tau,0.05813953488372093,5
Moon,Vir,0.05813953488372093,5
Mercury,Pis,0.05813953488372093,5
Mars,Cap,0.05813953488372093,5
Jupiter,Cap,0.05813953488372093,5
Uranus,Gem,0.05813953488372093,5
Uranus,Aqu,0.05813953488372093,5
Sun,Leo,0.046511627906976744,4
Moon,Lib,0.046511627906976744,4
Moon,Sag,0.046511627906976744,4
Venus,Vir,0.046511627906976744,4
Venus,Sag,0.046511627906976744,4
Mars,Aqu,0.046511627906976744,4
Mars,Pis,0.046511627906976744,4
Jupiter,Sco,0.046511627906976744,4
Saturn,Sag,0.046511627906976744,4
Saturn,Pis,0.046511627906976744,4
Uranus,Sag,0.046511627906976744,4
Neptune,Gem,0.046511627906976744,4
Rahu,Cap,0.046511627906976744,4
Ketu,Can,0.046511627906976744,4
Sun,Pis,0.03488372093023256,3
Moon,Gem,0.03488372093023256,3
Mercury,Vir,0.03488372093023256,3
Saturn,Vir,0.03488372093023256,3
Neptune,Sag,0.03488372093023256,3
Pluto,Lib,0.03488372093023256,3
Pluto,Aqu,0.03488372093023256,3
Mercury,Ari,0.023255813953488372,2
Jupiter,Leo,0.023255813953488372,2
Saturn,Leo,0.023255813953488372,2
Uranus,Vir,0.023255813953488372,2
Uranus,Cap,0.023255813953488372,2
Neptune,Cap,0.023255813953488372,2
Neptune,Pis,0.023255813953488372,2
Neptune,Tau,0.011627906976744186,1
Pluto,Sco,0.011627906976744186,1
Pluto,Sag,0.011627906976744186,1
Pluto,Pis,0.011627906976744186,1
Pluto,Cap,0.0,0
Rahu,Aqu,0.0,0
Ketu,Leo,0.0,0
