Name,Birthdate,Time,Category,Birthplace
Albert Einstein,1879-03-14,11:30,Science,
Marie Curie,1867-11-07,12:00,Science,
Isaac Newton,1643-01-04,01:38,Science,
Charles Darwin,1809-02-12,03:00,Science,
Nikola Tesla,1856-07-10,00:00,Science,
Sigmund Freud,1856-05-06,18:30,Science,
Carl Jung,1875-07-26,19:32,Science,
Steve Jobs,1955-02-24,19:15,Science,
Bill Gates,1955-10-28,22:00,Science,
Elon Musk,1971-06-28,06:30,Science,
Alan Turing,1912-06-23,02:15,Science,
Stephen Hawking,1942-01-08,02:29,Science,
Thomas Edison,1847-02-11,03:00,Science,
Alexander Graham Bell,1847-03-03,07:00,Science,
Galileo Galilei,1564-02-15,15:41,Science,
Leonardo da Vinci,1452-04-15,21:40,Arts,
Wolfgang Mozart,1756-01-27,20:00,Arts,
Ludwig Beethoven,1770-12-16,13:00,Arts,
Pablo Picasso,1881-10-25,23:15,Arts,
Salvador Dali,1904-05-11,08:45,Arts,
Vincent van Gogh,1853-03-30,11:00,Arts,
Frida Kahlo,1907-07-06,08:30,Arts,
Bob Dylan,1941-05-24,21:05,Arts,
John Lennon,1940-10-09,18:30,Arts,
David Bowie,1947-01-08,09:00,Arts,
Prince,1958-06-07,18:17,Arts,
Madonna,1958-08-16,07:05,Arts,
Michael Jackson,1958-08-29,19:33,Arts,
Kurt Cobain,1967-02-20,19:38,Arts,
Freddie Mercury,1946-09-05,05:50,Arts,
Elvis Presley,1935-01-08,04:35,Arts,
Jimi Hendrix,1942-11-27,10:15,Arts,
Mick Jagger,1943-07-26,02:30,Arts,
Bob Marley,1945-02-06,02:30,Arts,
Elton John,1947-03-25,02:00,Arts,
Whitney Houston,1963-08-09,20:55,Arts,
Abraham Lincoln,1809-02-12,06:54,Politics,
Winston Churchill,1874-11-30,01:30,Politics,
Mahatma Gandhi,1869-10-02,07:12,Politics,
Martin Luther King,1929-01-15,12:00,Politics,
Nelson Mandela,1918-07-18,14:54,Politics,
John F. Kennedy,1917-05-29,15:00,Politics,
Barack Obama,1961-08-04,19:24,Politics,
Angela Merkel,1954-07-17,18:00,Politics,
Margaret Thatcher,1925-10-13,09:00,Politics,
Queen Elizabeth II,1926-04-21,02:40,Politics,
Princess Diana,1961-07-01,19:45,Politics,
Indira Gandhi,1917-11-19,23:11,Politics,
Emmanuel Macron,1977-12-21,10:40,Politics,
Donald Trump,1946-06-14,10:54,Politics,
Joe Biden,1942-11-20,08:30,Politics,
Kamala Harris,1964-10-20,21:28,Politics,
Marilyn Monroe,1926-06-01,09:30,Entertainment,
Audrey Hepburn,1929-05-04,03:00,Entertainment,
Elizabeth Taylor,1932-02-27,02:15,Entertainment,
Grace Kelly,1929-11-12,05:31,Entertainment,
Meryl Streep,1949-06-22,08:05,Entertainment,
Robert De Niro,1943-08-17,03:00,Entertainment,
Al Pacino,1940-04-25,11:02,Entertainment,
Angelina Jolie,1975-06-04,09:09,Entertainment,
Brad Pitt,1963-12-18,06:31,Entertainment,
Leonardo DiCaprio,1974-11-11,02:47,Entertainment,
Tom Cruise,1962-07-03,12:00,Entertainment,
Will Smith,1968-09-25,22:00,Entertainment,
Oprah Winfrey,1954-01-29,04:30,Entertainment,
Muhammad Ali,1942-01-17,18:35,Sports,
Michael Jordan,1963-02-17,13:40,Sports,
Serena Williams,1981-09-26,20:28,Sports,
Tiger Woods,1975-12-30,22:50,Sports,
Usain Bolt,1986-08-21,09:30,Sports,
Pele,1940-10-23,03:00,Sports,
Diego Maradona,1960-10-30,07:05,Sports,
Cristiano Ronaldo,1985-02-05,05:25,Sports,
Lionel Messi,1987-06-24,20:30,Sports,
Roger Federer,1981-08-08,08:40,Sports,
Ernest Hemingway,1899-07-21,08:00,Literature,
Virginia Woolf,1882-01-25,12:15,Literature,
James Joyce,1882-02-02,06:00,Literature,
J.K. Rowling,1965-07-31,21:10,Literature,
Stephen King,1947-09-21,01:30,Literature,
Oscar Wilde,1854-10-16,03:00,Literature,
Mark Twain,1835-11-30,04:00,Literature,
Dalai Lama XIV,1935-07-06,04:38,Philosophy,
Pope Francis,1936-12-17,21:00,Philosophy,
Friedrich Nietzsche,1844-10-15,10:00,Philosophy,
Jean-Paul Sartre,1905-06-21,15:20,Philosophy,
