sign_id,sign_name,avg_prcp_tenths,avg_tmax_tenths,count_prcp,count_temp
0,Aries,60.11042840075098,315.9722098710538,17577.0,4498.0
1,Taurus,56.30681818181818,315.9496098104794,17600.0,4485.0
2,Gemini,56.11955175132335,316.5581240275617,17758.0,4499.0
3,Cancer,58.28932855762124,317.071837814015,17589.0,4538.0
4,Leo,56.16355404640634,315.71234705228034,17670.0,4495.0
5,Virgo,56.793325427748606,315.76743169398907,17709.0,4575.0
6,Libra,57.31752095330407,315.2322022621424,17539.0,4509.0
7,Scorpio,57.95586144132871,316.2023513452408,17581.0,4423.0
8,Sagittarius,56.676362193116745,316.17778268551234,17637.0,4528.0
9,Capricorn,54.487265112067014,315.4141616566466,17668.0,4491.0
10,Aquarius,55.67029646522235,315.4728236853734,17540.0,4526.0
11,Pisces,58.12209963603276,316.7503931700741,17584.0,4451.0
