Feature,Air,Earth,Fire,Water
Jupiter (Trop),23.296735487357648,23.262422832722088,23.2629699688627,23.385224180862657
Jupiter (Vedic),23.19598341171867,23.31092845740224,23.227915077895215,23.468403486772203
Mars (Trop),23.506353320537404,23.09526135613155,23.385764591695242,23.217113567782885
Mars (Vedic),23.40206762221668,23.300676466824253,23.28409910824951,23.21925330922376
Mercury (Trop),23.55589692433463,23.322590894332045,23.185259065516842,23.1423435698577
Mercury (Vedic),23.211710629422456,23.481802657381962,23.36571612137723,23.146589662411227
Moon (Trop),23.44749273346497,23.284300045801192,23.195409299361764,23.27880566136365
Moon (Vedic),23.33494399091134,23.36926110930442,23.215769163641877,23.285835789475726
Neptune (Trop),23.118718564481632,22.689504888011097,23.218305243344044,23.908534168430837
Neptune (Vedic),23.85879002596088,23.063566947346924,22.84412979028834,23.204261860396386
NorthNode (Trop),23.311364163882654,23.3318236250738,23.30472332308657,23.25662758359753
NorthNode (Vedic),23.189247765442285,23.330701963220918,23.370787292653567,23.314232412144396
Pluto (Trop),23.608493169915228,24.042935829992935,22.93723274463414,22.7813244380011
Pluto (Vedic),22.990593049996832,23.763645107469774,23.867229488426823,22.815843106834944
Saturn (Trop),23.132390495593775,23.28483107748166,23.22805782303702,23.566831920156318
Saturn (Vedic),23.47549272004993,23.357351227922962,23.08064960531763,23.292366717640615
SouthNode (Trop),23.30472332308657,23.25662758359753,23.311364163882654,23.3318236250738
SouthNode (Vedic),23.370787292653567,23.314232412144396,23.189247765442285,23.330701963220918
Sun (Trop),23.395075725635632,23.312540443328913,23.049836254786534,23.44848697391471
Sun (Vedic),23.49991456403824,23.43380752828188,23.10129519903176,23.17086641473344
Uranus (Trop),23.1849308161713,23.332009211923047,23.504272463798983,23.143750113026126
Uranus (Vedic),23.150547411854216,23.062716616811436,23.341453131594317,23.61121078280583
Venus (Trop),23.242426839745008,23.32873958225881,23.20175311893786,23.432778898909028
Venus (Vedic),23.517195015272407,23.191696336275047,23.336165000864536,23.153009809364626
