Feature,Air,Earth,Fire,Water
Jupiter (Trop),23.485160335093738,23.432019565814848,23.432586016997544,23.540959716972313
Jupiter (Vedic),23.333853667452324,23.501861391148417,23.381859426404148,23.668295563406122
Mars (Trop),23.671393166567718,23.2488986030375,23.524688515829116,23.443375746615366
Mars (Vedic),23.611003024989657,23.471948475801454,23.44401143757148,23.362852960684272
Mercury (Trop),23.676248524097154,23.463458110257054,23.460102865549313,23.290019558711137
Mercury (Vedic),23.351076159351866,23.564344139285822,23.56732592241827,23.406664868560135
Moon (Trop),23.66182855231569,23.454873328747038,23.345147965276887,23.42777128070417
Moon (Vedic),23.505084509254832,23.567697493643966,23.387061095429516,23.429503950845056
Neptune (Trop),23.15870076394201,22.841681575188325,23.455545783495698,24.14080260842979
Neptune (Vedic),24.032960009850406,23.13863897059504,23.046858902321784,23.428969325533863
NorthNode (Trop),23.47634654120322,23.443639753908094,23.449666804800668,23.52154490958513
NorthNode (Vedic),23.389215914548217,23.503006070756793,23.500477107145578,23.49561299489629
Pluto (Trop),23.938185542481953,24.015637199581107,23.004010531101613,23.088951358121097
Pluto (Vedic),23.327377770541,23.94775829398354,23.847374698871544,22.957793100426837
Saturn (Trop),23.25081109887596,23.481337096849007,23.39918927581537,23.76578929602151
Saturn (Vedic),23.669252636372754,23.495964533776576,23.272865223858755,23.451125518064547
SouthNode (Trop),23.449666804800668,23.52154490958513,23.47634654120322,23.443639753908094
SouthNode (Vedic),23.500477107145578,23.49561299489629,23.389215914548217,23.503006070756793
Sun (Trop),23.472847418974858,23.564748289325966,23.295170576280807,23.556796224349906
Sun (Vedic),23.581873196822116,23.547775749696925,23.376542924235,23.383316018122475
Uranus (Trop),23.36123103632871,23.52976274720231,23.712148872050133,23.233611785854155
Uranus (Vedic),23.304417078039283,23.23637798893752,23.5134590437519,23.793905505173573
Venus (Trop),23.34939778910933,23.523707394321505,23.357861673739524,23.65836134766322
Venus (Vedic),23.73483789367069,23.288241704485642,23.54325501043155,23.313150868870906
