Feature,Water_Prcp,NonWater_Prcp,Diff_Prcp,Effect_Type,Element,Avg_Prcp,Avg_Tmax
Sun (Trop),23.44848697391471,23.252483043877998,0.19600393003671357,Sign,,,
Sun (Trop),,,,Element_Avg,Fire,23.049836254786534,173.86432063884476
Sun (Trop),,,,Element_Avg,Earth,23.312540443328913,174.01782915066332
Sun (Trop),,,,Element_Avg,Air,23.395075725635632,173.27930693818698
Sun (Trop),,,,Element_Avg,Water,23.44848697391471,174.42604189666358
Sun (Vedic),23.170866414733442,23.345022592232134,-0.17415617749869128,Sign,,,
Sun (Vedic),,,,Element_Avg,Fire,23.10129519903176,174.03101315266252
Sun (Vedic),,,,Element_Avg,Earth,23.43380752828188,173.19509308588906
Sun (Vedic),,,,Element_Avg,Air,23.49991456403824,174.09641426467968
Sun (Vedic),,,,Element_Avg,Water,23.17086641473344,174.2648522507301
Moon (Trop),23.27880566136365,23.309031578312585,-0.03022591694893606,Sign,,,
Moon (Trop),,,,Element_Avg,Fire,23.195409299361764,173.88371465592712
Moon (Trop),,,,Element_Avg,Earth,23.284300045801192,174.0188994502372
Moon (Trop),,,,Element_Avg,Air,23.44749273346497,173.81820675304925
Moon (Trop),,,,Element_Avg,Water,23.27880566136365,173.86650654026272
Moon (Vedic),23.28583578947573,23.30668768275512,-0.020851893279388634,Sign,,,
Moon (Vedic),,,,Element_Avg,Fire,23.215769163641877,174.0295274608542
Moon (Vedic),,,,Element_Avg,Earth,23.36926110930442,174.0470613713017
Moon (Vedic),,,,Element_Avg,Air,23.33494399091134,173.6947086216643
Moon (Vedic),,,,Element_Avg,Water,23.285835789475726,173.8156436395773
Mercury (Trop),23.142343569857694,23.354605706624174,-0.21226213676647987,Sign,,,
Mercury (Trop),,,,Element_Avg,Fire,23.185259065516842,172.93559487840952
Mercury (Trop),,,,Element_Avg,Earth,23.322590894332045,173.02553781870108
Mercury (Trop),,,,Element_Avg,Air,23.55589692433463,174.7204107039469
Mercury (Trop),,,,Element_Avg,Water,23.1423435698577,174.90442514429046
Mercury (Vedic),23.146589662411227,23.353158017781787,-0.2065683553705604,Sign,,,
Mercury (Vedic),,,,Element_Avg,Fire,23.36571612137723,172.87329553827698
Mercury (Vedic),,,,Element_Avg,Earth,23.481802657381962,174.13126518172928
Mercury (Vedic),,,,Element_Avg,Air,23.211710629422456,175.45942476152166
Mercury (Vedic),,,,Element_Avg,Water,23.146589662411227,173.12488517201726
Venus (Trop),23.432778898909028,23.25766731932828,0.1751115795807472,Sign,,,
Venus (Trop),,,,Element_Avg,Fire,23.20175311893786,173.41030134426006
Venus (Trop),,,,Element_Avg,Earth,23.32873958225881,176.47121458623076
Venus (Trop),,,,Element_Avg,Air,23.242426839745008,169.5343226962243
Venus (Trop),,,,Element_Avg,Water,23.432778898909028,176.17561013945712
Venus (Vedic),23.153009809364626,23.349723087418297,-0.19671327805367156,Sign,,,
Venus (Vedic),,,,Element_Avg,Fire,23.336165000864536,179.42835625677708
Venus (Vedic),,,,Element_Avg,Earth,23.191696336275047,167.7156743520954
Venus (Vedic),,,,Element_Avg,Air,23.517195015272407,178.1941293816536
Venus (Vedic),,,,Element_Avg,Water,23.153009809364626,169.97009480310493
