Feature,Water_Prcp,NonWater_Prcp,Diff_Prcp,Effect_Type,Element,Avg_Prcp,Avg_Tmax
Sun (Trop),23.556796224349906,23.44424570689047,0.1125505174594359,Sign,,,
Sun (Trop),,,,Element_Avg,Fire,23.295170576280807,170.78726866513333
Sun (Trop),,,,Element_Avg,Earth,23.564748289325966,170.90738186765458
Sun (Trop),,,,Element_Avg,Air,23.472847418974858,170.21571732806387
Sun (Trop),,,,Element_Avg,Water,23.556796224349906,171.43903588616462
Sun (Vedic),23.383316018122475,23.502072623541597,-0.11875660541912225,Sign,,,
Sun (Vedic),,,,Element_Avg,Fire,23.376542924235,170.92178576469036
Sun (Vedic),,,,Element_Avg,Earth,23.547775749696925,170.1108309807279
Sun (Vedic),,,,Element_Avg,Air,23.581873196822116,171.09811830472665
Sun (Vedic),,,,Element_Avg,Water,23.383316018122475,171.21853544900034
Moon (Trop),23.42777128070417,23.487238577785142,-0.05946729708097109,Sign,,,
Moon (Trop),,,,Element_Avg,Fire,23.345147965276887,170.81967403256945
Moon (Trop),,,,Element_Avg,Earth,23.454873328747038,170.95557916750832
Moon (Trop),,,,Element_Avg,Air,23.66182855231569,170.7543744243014
Moon (Trop),,,,Element_Avg,Water,23.42777128070417,170.81961588146876
Moon (Vedic),23.429503950845056,23.486654818499684,-0.05715086765462729,Sign,,,
Moon (Vedic),,,,Element_Avg,Fire,23.387061095429516,170.96837320879968
Moon (Vedic),,,,Element_Avg,Earth,23.567697493643966,170.98969341485306
Moon (Vedic),,,,Element_Avg,Air,23.505084509254832,170.6328018296272
Moon (Vedic),,,,Element_Avg,Water,23.429503950845056,170.75797547493744
Mercury (Trop),23.29001955871114,23.533260321720284,-0.243240763009144,Sign,,,
Mercury (Trop),,,,Element_Avg,Fire,23.460102865549313,169.82380938433252
Mercury (Trop),,,,Element_Avg,Earth,23.463458110257054,169.92721204543278
Mercury (Trop),,,,Element_Avg,Air,23.676248524097154,171.70282241037415
Mercury (Trop),,,,Element_Avg,Water,23.290019558711137,171.8939571947999
Mercury (Vedic),23.406664868560135,23.494306681102472,-0.08764181254233705,Sign,,,
Mercury (Vedic),,,,Element_Avg,Fire,23.56732592241827,169.75391295353884
Mercury (Vedic),,,,Element_Avg,Earth,23.564344139285822,171.0839628520534
Mercury (Vedic),,,,Element_Avg,Air,23.351076159351866,172.48861051639395
Mercury (Vedic),,,,Element_Avg,Water,23.406664868560135,170.0243759077473
Venus (Trop),23.658361347663213,23.410322185470125,0.24803916219308775,Sign,,,
Venus (Trop),,,,Element_Avg,Fire,23.357861673739524,170.41712743918941
Venus (Trop),,,,Element_Avg,Earth,23.523707394321505,173.31079809356757
Venus (Trop),,,,Element_Avg,Air,23.34939778910933,166.46804122361462
Venus (Trop),,,,Element_Avg,Water,23.65836134766322,173.1574867082942
Venus (Vedic),23.313150868870906,23.524120571427154,-0.21096970255624825,Sign,,,
Venus (Vedic),,,,Element_Avg,Fire,23.54325501043155,176.6375343449901
Venus (Vedic),,,,Element_Avg,Earth,23.288241704485642,164.35621138140357
Venus (Vedic),,,,Element_Avg,Air,23.73483789367069,175.30693412791572
Venus (Vedic),,,,Element_Avg,Water,23.313150868870906,166.75722254515875
Mars (Trop),23.44337574661537,23.48200862957484,-0.03863288295946887,Sign,,,
Mars (Trop),,,,Element_Avg,Fire,23.524688515829116,171.996187835507
Mars (Trop),,,,Element_Avg,Earth,23.2488986030375,170.35810679143123
Mars (Trop),,,,Element_Avg,Air,23.671393166567718,169.19079724143347
Mars (Trop),,,,Element_Avg,Water,23.443375746615366,171.80520710233745
Mars (Vedic),23.36285296068428,23.50869000103408,-0.14583704034980016,Sign,,,
Mars (Vedic),,,,Element_Avg,Fire,23.44401143757148,170.2671472043266
Mars (Vedic),,,,Element_Avg,Earth,23.471948475801454,169.5544859543919
Mars (Vedic),,,,Element_Avg,Air,23.611003024989657,171.3360009648404
Mars (Vedic),,,,Element_Avg,Water,23.362852960684272,172.20412471729145
Jupiter (Trop),23.54095971697231,23.449901529142384,0.09105818782992614,Sign,,,
Jupiter (Trop),,,,Element_Avg,Fire,23.432586016997544,170.2676717139872
Jupiter (Trop),,,,Element_Avg,Earth,23.432019565814848,171.37921610198237
Jupiter (Trop),,,,Element_Avg,Air,23.485160335093738,172.24595730906353
Jupiter (Trop),,,,Element_Avg,Water,23.540959716972313,169.42879988006788
Jupiter (Vedic),23.668295563406122,23.40665572389654,0.2616398395095807,Sign,,,
Jupiter (Vedic),,,,Element_Avg,Fire,23.381859426404148,172.13963118939483
Jupiter (Vedic),,,,Element_Avg,Earth,23.501861391148417,170.87321687684357
Jupiter (Vedic),,,,Element_Avg,Air,23.333853667452324,170.2481985635716
Jupiter (Vedic),,,,Element_Avg,Water,23.668295563406122,170.04180993642947
Saturn (Trop),23.76578929602151,23.3763749050447,0.3894143909768104,Sign,,,
Saturn (Trop),,,,Element_Avg,Fire,23.39918927581537,170.04534420061253
Saturn (Trop),,,,Element_Avg,Earth,23.481337096849007,170.54869243803898
Saturn (Trop),,,,Element_Avg,Air,23.25081109887596,171.36851599055174
Saturn (Trop),,,,Element_Avg,Water,23.76578929602151,171.34069228902888
Saturn (Vedic),23.451125518064547,23.47886568891327,-0.027740170848723267,Sign,,,
Saturn (Vedic),,,,Element_Avg,Fire,23.272865223858755,171.06902590753825
Saturn (Vedic),,,,Element_Avg,Earth,23.495964533776576,170.47895009969756
Saturn (Vedic),,,,Element_Avg,Air,23.669252636372754,171.65810593110572
Saturn (Vedic),,,,Element_Avg,Water,23.451125518064547,170.0954581752867
Uranus (Trop),23.233611785854155,23.543156646421455,-0.3095448605672999,Sign,,,
Uranus (Trop),,,,Element_Avg,Fire,23.712148872050133,169.92829272732467
Uranus (Trop),,,,Element_Avg,Earth,23.52976274720231,171.2640909298309
Uranus (Trop),,,,Element_Avg,Air,23.36123103632871,170.1908204647933
Uranus (Trop),,,,Element_Avg,Water,23.233611785854155,172.02808735668634
Uranus (Vedic),23.793905505173573,23.36325661572455,0.43064888944902435,Sign,,,
Uranus (Vedic),,,,Element_Avg,Fire,23.5134590437519,168.9166239285062
Uranus (Vedic),,,,Element_Avg,Earth,23.23637798893752,170.1035845766456
Uranus (Vedic),,,,Element_Avg,Air,23.304417078039283,172.73225518376213
Uranus (Vedic),,,,Element_Avg,Water,23.793905505173573,171.93538928720417
Neptune (Trop),24.140802608429787,23.151613835264747,0.98918877316504,Sign,,,
Neptune (Trop),,,,Element_Avg,Fire,23.455545783495698,171.44688727522512
Neptune (Trop),,,,Element_Avg,Earth,22.841681575188325,171.02473259056634
Neptune (Trop),,,,Element_Avg,Air,23.15870076394201,171.8504494206452
Neptune (Trop),,,,Element_Avg,Water,24.14080260842979,169.56725033842602
Neptune (Vedic),23.428969325533863,23.486173133054695,-0.05720380752083187,Sign,,,
Neptune (Vedic),,,,Element_Avg,Fire,23.046858902321784,172.7316291716473
Neptune (Vedic),,,,Element_Avg,Earth,23.13863897059504,171.22319212069183
Neptune (Vedic),,,,Element_Avg,Air,24.032960009850406,168.17650095557914
Neptune (Vedic),,,,Element_Avg,Water,23.428969325533863,172.2507901972762
