Feature,Water_Prcp,NonWater_Prcp,Diff_Prcp,Effect_Type,Element,Avg_Prcp,Avg_Tmax
Sun (Trop),22.679386278156066,21.64629895970047,1.0330873184555962,Sign,,,
Sun (Trop),,,,Element_Avg,Fire,20.921638222459165,247.18713523069437
Sun (Trop),,,,Element_Avg,Earth,20.987891067034543,247.9197599180159
Sun (Trop),,,,Element_Avg,Air,23.02907341543917,245.99183755072195
Sun (Trop),,,,Element_Avg,Water,22.67938627815607,245.496903151939
Sun (Vedic),21.366819546444056,22.083811972400326,-0.7169924259562706,Sign,,,
Sun (Vedic),,,,Element_Avg,Fire,20.591881434817477,248.07264944697795
Sun (Vedic),,,,Element_Avg,Earth,22.63118736055691,246.45138943621896
Sun (Vedic),,,,Element_Avg,Air,23.028057744179538,245.33963457719776
Sun (Vedic),,,,Element_Avg,Water,21.366819546444052,246.73203215308004
Moon (Trop),22.102644064991324,21.83857017782307,0.2640738871682551,Sign,,,
Moon (Trop),,,,Element_Avg,Fire,22.021621670146814,246.6839974337081
Moon (Trop),,,,Element_Avg,Earth,21.911504207096876,246.62541132029344
Moon (Trop),,,,Element_Avg,Air,21.582414619216298,246.74370758314257
Moon (Trop),,,,Element_Avg,Water,22.102644064991324,246.54223780824225
Moon (Vedic),22.153168113887524,21.82178129994333,0.3313868139441958,Sign,,,
Moon (Vedic),,,,Element_Avg,Fire,21.84472221522346,246.65438351933136
Moon (Vedic),,,,Element_Avg,Earth,21.660446715660758,246.64098831264462
Moon (Vedic),,,,Element_Avg,Air,21.960478027688264,246.73669704076804
Moon (Vedic),,,,Element_Avg,Water,22.153168113887528,246.56334551861823
Mercury (Trop),21.994266082216686,21.87459675562033,0.11966932659635532,Sign,,,
Mercury (Trop),,,,Element_Avg,Fire,20.727700982478375,246.830385002252
Mercury (Trop),,,,Element_Avg,Earth,22.15398963388644,246.43369488490166
Mercury (Trop),,,,Element_Avg,Air,22.741102018575493,246.80707673294867
Mercury (Trop),,,,Element_Avg,Water,21.994266082216686,246.52483378219705
Mercury (Vedic),20.86537194408127,22.25126402185903,-1.3858920777777577,Sign,,,
Mercury (Vedic),,,,Element_Avg,Fire,21.561036753355175,246.44240220087772
Mercury (Vedic),,,,Element_Avg,Earth,23.007751419675717,246.82755365067902
Mercury (Vedic),,,,Element_Avg,Air,22.18403435698449,246.57019376414542
Mercury (Vedic),,,,Element_Avg,Water,20.86537194408127,246.7549081277
Venus (Trop),21.491966275487393,22.042220083098936,-0.5502538076115435,Sign,,,
Venus (Trop),,,,Element_Avg,Fire,22.03466170378768,247.43797170932942
Venus (Trop),,,,Element_Avg,Earth,21.670990172331088,245.72843513650406
Venus (Trop),,,,Element_Avg,Air,22.420364224647173,248.23627875650934
Venus (Trop),,,,Element_Avg,Water,21.49196627548739,245.1930421064686
Venus (Vedic),21.97466795372291,21.881763655120082,0.09290429860282856,Sign,,,
Venus (Vedic),,,,Element_Avg,Fire,21.475778468603487,244.2601571486913
Venus (Vedic),,,,Element_Avg,Earth,22.571621135218482,249.30612836699362
Venus (Vedic),,,,Element_Avg,Air,21.614522376058794,243.95829591208653
Venus (Vedic),,,,Element_Avg,Water,21.97466795372291,249.22130648786887
Mars (Trop),21.23430287254084,22.127024703478867,-0.8927218309380258,Sign,,,
Mars (Trop),,,,Element_Avg,Fire,22.294163995552832,246.30541189800653
Mars (Trop),,,,Element_Avg,Earth,21.877564007703203,247.07200477690736
Mars (Trop),,,,Element_Avg,Air,22.208035979456316,246.8378990935943
Mars (Trop),,,,Element_Avg,Water,21.23430287254084,246.38108891557064
Mars (Vedic),22.062669980332302,21.852129872646657,0.21054010768564524,Sign,,,
Mars (Vedic),,,,Element_Avg,Fire,22.01658122957165,246.85236691690972
Mars (Vedic),,,,Element_Avg,Earth,21.890962767603483,246.9580547908232
Mars (Vedic),,,,Element_Avg,Air,21.64682009294344,246.44346776534422
Mars (Vedic),,,,Element_Avg,Water,22.062669980332302,246.3377966856965
Jupiter (Trop),22.163744509343736,21.819586636754547,0.3441578725891894,Sign,,,
Jupiter (Trop),,,,Element_Avg,Fire,21.99421810845046,246.36013607653945
Jupiter (Trop),,,,Element_Avg,Earth,21.81014777075798,246.55663862321492
Jupiter (Trop),,,,Element_Avg,Air,21.6550684559321,246.97364281414036
Jupiter (Trop),,,,Element_Avg,Water,22.163744509343736,246.70552919073424
Jupiter (Vedic),21.985989967203675,21.877226195213368,0.10876377199030784,Sign,,,
Jupiter (Vedic),,,,Element_Avg,Fire,21.93704892485046,246.0231151431012
Jupiter (Vedic),,,,Element_Avg,Earth,21.653750780971624,247.21405291466522
Jupiter (Vedic),,,,Element_Avg,Air,22.04640012956392,246.58275717833666
Jupiter (Vedic),,,,Element_Avg,Water,21.985989967203672,246.7840596828644
Saturn (Trop),21.794181883880007,21.940661034437934,-0.14647915055792637,Sign,,,
Saturn (Trop),,,,Element_Avg,Fire,21.776154905906495,246.26856733182834
Saturn (Trop),,,,Element_Avg,Earth,21.687675752157396,247.4724234633365
Saturn (Trop),,,,Element_Avg,Air,22.343220127489058,246.95535030220782
Saturn (Trop),,,,Element_Avg,Water,21.79418188388001,245.8282910574667
Saturn (Vedic),21.909208665871486,21.903126283588374,0.006082382283111087,Sign,,,
Saturn (Vedic),,,,Element_Avg,Fire,21.530679073125704,246.9941832852627
Saturn (Vedic),,,,Element_Avg,Earth,22.332327954518437,247.25513282286803
Saturn (Vedic),,,,Element_Avg,Air,21.83868972311672,246.94256190138492
Saturn (Vedic),,,,Element_Avg,Water,21.909208665871486,245.283623750919
Uranus (Trop),22.683972556060834,21.673511694832023,1.010460861228811,Sign,,,
Uranus (Trop),,,,Element_Avg,Fire,21.6520388705343,247.1857488626145
Uranus (Trop),,,,Element_Avg,Earth,21.6703250109759,244.95546244699005
Uranus (Trop),,,,Element_Avg,Air,21.70255591288959,246.37840990363017
Uranus (Trop),,,,Element_Avg,Water,22.683972556060834,248.3373613012374
Uranus (Vedic),22.205389024414128,21.80244390078832,0.40294512362580903,Sign,,,
Uranus (Vedic),,,,Element_Avg,Fire,21.90143381867498,246.22838904564324
Uranus (Vedic),,,,Element_Avg,Earth,21.541515262486932,246.73108941624128
Uranus (Vedic),,,,Element_Avg,Air,21.940186970644486,247.1843988692804
Uranus (Vedic),,,,Element_Avg,Water,22.20538902441413,246.55842601543287
Neptune (Trop),21.894628164081798,21.90930864154768,-0.014680477465880415,Sign,,,
Neptune (Trop),,,,Element_Avg,Fire,21.47170260996141,245.0429742338224
Neptune (Trop),,,,Element_Avg,Earth,21.34490268646003,246.41691489845974
Neptune (Trop),,,,Element_Avg,Air,22.86592245762432,250.1347964187104
Neptune (Trop),,,,Element_Avg,Water,21.8946281640818,245.40599499026735
Neptune (Vedic),21.510289626205434,22.02980785801053,-0.5195182318050939,Sign,,,
Neptune (Vedic),,,,Element_Avg,Fire,21.16505712876729,245.8714851112614
Neptune (Vedic),,,,Element_Avg,Earth,22.222442102885186,249.39430410644516
Neptune (Vedic),,,,Element_Avg,Air,22.499499442690947,247.1320114028684
Neptune (Vedic),,,,Element_Avg,Water,21.510289626205434,244.22393602664903
Pluto (Trop),20.40088373620664,22.523616583347046,-2.122732847140405,Sign,,,
Pluto (Trop),,,,Element_Avg,Fire,22.265901341706616,248.14119952372232
