date,phase_angle,tithi,moon_sign,sun_sign
1900-01-01,358.9531200782242,30,9,9
1900-01-02,12.527975050591692,2,9,9
1900-01-03,26.26592357747387,3,10,9
1900-01-04,40.03937393424479,4,10,9
1900-01-05,53.72448014940693,5,11,9
1900-01-06,67.21852199183485,6,11,9
1900-01-07,80.45079051974682,7,0,9
1900-01-08,93.38502448302688,8,0,9
1900-01-09,106.01472494395111,9,1,9
1900-01-10,118.3545424208701,10,1,9
1900-01-11,130.43094019141589,11,2,9
1900-01-12,142.27428749060667,12,2,9
1900-01-13,153.91342577332028,13,2,9
1900-01-14,165.37299919576913,14,3,9
1900-01-15,176.6733562302465,15,3,9
1900-01-16,187.832463372897,16,4,9
1900-01-17,198.86903296185463,17,4,9
1900-01-18,209.8060186273882,18,4,9
1900-01-19,220.67377454153487,19,5,9
1900-01-20,231.5124262003887,20,5,10
1900-01-21,242.37321585924107,21,6,10
1900-01-22,253.31863207979336,22,6,10
1900-01-23,264.42103560139674,23,6,10
1900-01-24,275.75944204258144,23,7,10
1900-01-25,287.4142078964759,24,7,10
1900-01-26,299.45940059868735,25,8,10
1900-01-27,311.9525216734749,26,8,10
1900-01-28,324.9215644260441,28,9,10
1900-01-29,338.35104970297306,29,9,10
1900-01-30,352.17154404288686,30,10,10
1900-01-31,6.259062532207622,1,10,10
1900-02-01,20.448903451245485,2,11,10
1900-02-02,34.56244623068142,3,11,10
1900-02-03,48.438666718411014,5,0,10
1900-02-04,61.95942700258229,6,0,10
1900-02-05,75.06101145438794,7,1,10
1900-02-06,87.7312824910424,8,1,10
1900-02-07,99.99742500986366,9,1,10
1900-02-08,111.91070706518215,10,2,10
1900-02-09,123.53279418513065,11,2,10
1900-02-10,134.9255086803521,12,3,10
1900-02-11,146.1442625790612,13,3,10
1900-02-12,157.23479282038826,14,4,10
1900-02-13,168.2326756311835,15,4,10
1900-02-14,179.1650383703271,15,4,10
1900-02-15,190.05385893719193,16,5,10
1900-02-16,200.92020343257988,17,5,10
1900-02-17,211.78869504485635,18,6,10
1900-02-18,222.69152381905835,19,6,10
1900-02-19,233.6714235182787,20,6,11
1900-02-20,244.78313153178797,21,7,11
1900-02-21,256.09285310597477,22,7,11
1900-02-22,267.67529933519666,23,8,11
1900-02-23,279.607960125418,24,8,11
1900-02-24,291.96215955551475,25,8,11
1900-02-25,304.7902618090411,26,9,11
1900-02-26,318.1092396914132,27,9,11
1900-02-27,331.8837159833748,28,10,11
1900-02-28,346.0154322963781,29,10,11
1900-03-01,0.3472867958659549,1,11,11
1900-03-02,14.685562600213473,2,11,11
1900-03-03,28.83513187200407,3,0,11
1900-03-04,42.63514060671946,4,0,11
1900-03-05,55.98248102340875,5,1,11
1900-03-06,68.83731623630166,6,1,11
1900-03-07,81.2136636246438,7,2,11
1900-03-08,93.1627875228777,8,2,11
1900-03-09,104.75640690384299,9,3,11
1900-03-10,116.07323791152777,10,3,11
1900-03-11,127.18951309963819,11,3,11
1900-03-12,138.17299791823152,12,4,11
1900-03-13,149.0799253213335,13,4,11
1900-03-14,159.95433806970794,14,5,11
1900-03-15,170.82937785278344,15,5,11
1900-03-16,181.7301253275333,16,5,11
1900-03-17,192.67757009443432,17,6,11
1900-03-18,203.6931330578183,17,6,11
1900-03-19,214.80303333051285,18,7,11
1900-03-20,226.04178885158794,19,7,11
1900-03-21,237.45417157376457,20,7,0
1900-03-22,249.09494365333182,21,8,0
1900-03-23,261.0257698743156,22,8,0
1900-03-24,273.3088318545359,23,9,0
1900-03-25,285.99677051793896,24,9,0
1900-03-26,299.1189919105065,25,10,0
1900-03-27,312.6659440499761,27,10,0
1900-03-28,326.5758735063417,28,11,0
1900-03-29,340.73093338682685,29,11,0
1900-03-30,354.9682847905577,30,0,0
1900-03-31,9.105918968146234,1,0,0
1900-04-01,22.975392118337837,2,1,0
1900-04-02,36.44985342305577,4,1,0
1900-04-03,49.45857216153664,5,2,0
1900-04-04,61.986374698425756,6,2,0
1900-04-05,74.06273223659356,7,2,0
1900-04-06,85.74715145252162,8,3,0
1900-04-07,97.11557160950217,9,3,0
1900-04-08,108.24958974462753,10,4,0
