tithi,avg_prcp_tenths_mm,total_prcp,days_count
1,41.556909831919135,4353959.0,104771.0
2,43.50725859833338,4798111.0,110283.0
3,43.226209901811906,4582886.0,106021.0
4,45.187306171948045,4881178.0,108021.0
5,44.62078495398451,4892089.0,109637.0
6,43.563144294345385,4737187.0,108743.0
7,43.71543767345574,4835758.0,110619.0
8,45.89912638322656,5122572.0,111605.0
9,46.05168782020386,5159539.0,112038.0
10,45.885160853493396,5014881.0,109292.0
11,44.778270186476995,4910609.0,109665.0
12,43.69434928353041,4744682.0,108588.0
13,44.04178075724672,4664465.0,105910.0
14,44.58359189041502,4813735.0,107971.0
15,43.78417563069135,4774533.0,109047.0
16,40.90749765062634,4222431.0,103219.0
17,44.68807796015129,4938837.0,110518.0
18,41.67737155558088,4387752.0,105279.0
19,42.25463632535745,4616150.0,109246.0
20,42.26398305084746,4588178.0,108560.0
21,42.35571140447378,4620161.0,109080.0
22,43.65341556492015,4827282.0,110582.0
23,45.55216710746478,5063670.0,111162.0
24,45.008059842547766,5048149.0,112161.0
25,44.07557235951175,4849503.0,110027.0
26,43.47234673121704,4723227.0,108649.0
27,44.412753734551806,4855069.0,109317.0
28,44.39680545585068,4700201.0,105868.0
29,45.021805679405034,4897427.0,108779.0
30,43.90920076749936,4759933.0,108404.0
