name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday
Marilyn Monroe,1926-06-01 09:30:00,1962-08-05,36.17522245037645,overdose,Gemini,Air,False,True,Pisces,False,0.46241615438891304,62.456872241166096,-0.5962647575772474,233.39715359026266,0.2771797335577552,73.90804573587397,-0.8491120035069426,148.11521695661423,0.02904166447687333,88.33580120356606,0.9699985136957561,14.070218040454336,0.23765326093655142,76.2519247938279,-0.8723817042877126,150.73659964111474,0.19858455370243389,78.54580021683228,0.5660047346233222,55.527909000514526,0.9381077960581995,20.26382456268861,152,217,65
Elvis Presley,1935-01-08 04:35:00,1977-08-16,42.600958247775495,cardiac,Capricorn,Earth,False,True,Libra,False,-0.8036092773410033,216.52384153749003,-0.967950393846162,194.5450684325046,-0.5405861679779332,237.2764492411284,-0.9732378089447868,166.71468650015538,-0.3839357871349993,247.4223114940228,-0.7515995084701175,221.27087714724854,-0.9963347354102507,175.09292116309294,-0.982914239706951,190.6065729953771,0.018488887452933252,88.94060441809381,0.22330949880380507,77.09650949672083,-0.2424835310733156,255.96683313596014,8,228,145
John Lennon,1940-10-09 18:30:00,1980-12-08,40.16153319644079,homicide,Libra,Air,False,False,Libra,False,0.49611756241763666,60.25652930156963,0.7954180925701846,322.69476339053284,0.9028472156363572,25.4651178746372,0.265675521209933,74.59290376649702,-0.1712325960596819,99.85949252272133,-0.802700706412317,143.3887802797073,-0.8200417300438507,145.088971307886,-0.9996287405902127,181.56131237674825,0.06730125024780685,86.14100546502098,0.18299522780770033,79.45572780018085,0.5472343770764528,303.17748578684007,283,343,60
Michael Jackson,1958-08-29 07:33:00,2009-06-25,50.81998631074607,overdose,Virgo,Earth,False,False,Taurus,False,0.4787968710156434,298.6068532105663,-0.9110901879475839,155.65644483943717,0.32746131353241836,289.1147597913811,0.05602902355630521,273.2119085752839,0.998041022242609,356.4130666583766,-0.47612323304054566,118.43250884074598,-0.05067370467359104,267.09536658623324,-0.729623234825984,223.145182204379,-0.40230362911998285,113.72226866577628,-0.49674807975358715,119.7850868927406,-0.12205815203744037,97.0108993059446,241,176,65
Prince (musician),1958-06-07 18:17:00,2016-04-21,57.869952087611225,overdose,Gemini,Air,True,False,Aries,False,0.7111854284996761,315.3314470756933,-0.5805100200902016,234.51357726571965,0.9761007832289601,347.4484251336427,0.9505321703683189,341.90303192200724,-0.3673580038912695,248.44722946905378,0.7858797365545968,321.80211649768694,0.9924127296483103,352.9375500174863,-0.3030237215120424,252.36069430393255,-0.6285872661964054,128.94597033708902,-0.7375544891240314,137.52351013136916,0.7735455577295348,320.67335328201875,158,112,46
Whitney Houston,1963-08-09 20:55:00,2012-02-11,48.506502395619435,overdose,Leo,Fire,True,False,Libra,True,-0.9951927316187013,185.620318778304,-0.996114021380303,174.94724114080586,-0.9673536101942712,165.3193981870333,-0.6043054111265895,232.8211236643267,0.9536827096340542,342.4934769558769,0.9680081671214368,14.531882104900706,-0.35047552708200413,249.48359677311498,-0.8845116760523096,207.80851222974124,-0.29799557804556237,107.33725259934278,-0.46451762812531366,117.67900823814782,-0.785789169709614,141.79372583095875,221,42,179
David Bowie,1947-01-08 09:00:00,2016-01-10,69.00205338809035,cancer,Capricorn,Earth,False,True,Capricorn,True,0.9991070571449047,2.421485013271422,-0.9886657843028597,171.36535631346516,0.9368342248811726,20.473473689253865,0.9799891877202032,11.481453632729597,0.29305714597899407,287.04107184262625,0.5240606980884844,301.60503141126105,-0.5776426929814681,125.28491245274118,0.4692139618535545,297.9832851893648,-0.8385520092448722,146.98752976804136,-0.8880710000894255,152.63184163594005,-0.26471645252171155,105.35010504628869,8,10,2
Amy Winehouse,1983-09-14 22:25:00,2011-07-23,27.852156057494867,overdose,Virgo,Earth,False,False,Leo,True,0.6263610464700893,308.7821545166306,-0.5380530496271315,122.5511995974224,0.8974588386981827,333.8260275909606,0.8702398221847576,330.4865203502549,0.5309084514028831,302.06685579844157,-0.8969501409738759,153.76002840126515,0.9385638398988517,339.8117540570372,-0.48473230119452243,118.9949350022899,0.44100703591107865,63.831848346498646,0.38120534435629083,67.59163553838962,-0.9997501064890258,181.28092636299164,257,204,53
George Harrison,1943-02-25 00:05:00,2001-11-29,58.757015742642025,cancer,Pisces,Water,True,False,Capricorn,False,0.03177376170627674,271.82080890563384,-0.9410010283131,199.77964870737853,0.41268771916302666,294.3737853146585,-0.5462534696667994,236.88963695329878,0.850424063421982,31.74217714964516,0.9998360939972515,358.96261254477116,0.9947009424374134,5.901044840075585,-0.1637067257558989,260.5778862198382,-0.5754096848787499,125.12832772738062,-0.6338511154896085,129.3348258417925,0.5515979504732367,303.47670825863077,56,333,88
Freddie Mercury,1946-09-05 06:05:00,1991-11-24,45.215605749486656,disease,Virgo,Earth,False,False,Libra,False,0.18005875262654678,79.62681800259313,-0.993284866866932,186.6436733670952,-0.3404542715454342,109.90455315604461,0.9790993673187977,348.2651732814072,0.7699160859382465,39.65364595799949,0.7255368495162464,316.5135257191739,-0.9994795616371834,178.15140779104956,-0.9396157282340216,200.01287719165276,-0.13109621395289928,97.53294290861595,-0.14654980096618342,98.4270350444308,-0.9032547981542518,205.41075010126974,248,328,80
