planet,star,orb,cosine,name,category
Sun,Aldebaran,0.2950534106422822,0.9999867405637947,Marilyn Monroe,overdose
Pluto,Sirius,0.695715907403212,0.9999262803490074,Marilyn Monroe,overdose
Sun,Vega,1.5273731004239153,0.9996447048361289,Elvis Presley,cardiac
Uranus,Algol,1.3286745081098736,0.9997311299161913,Elvis Presley,cardiac
Rahu,Altair,0.09075658272223563,0.9999987454703831,Elvis Presley,cardiac
Rahu,Spica,0.8288989658565811,0.9998953545474463,Michael Jackson,overdose
Ketu,Algol,1.5111010341434366,0.999652234439404,Michael Jackson,overdose
Sun,Rigel,0.3520254428722751,0.999981125672764,Prince (musician),overdose
Jupiter,Spica,1.8814931412633484,0.9994608731128602,Prince (musician),overdose
Pluto,Regulus,0.12891539904947535,0.9999974687551855,Prince (musician),overdose
Sun,Vega,1.7955397133652014,0.9995090025607125,David Bowie,cancer
Mars,Vega,1.279317111322996,0.9997507339602921,David Bowie,cancer
Uranus,Rigel,1.8464674342896643,0.9994807572314043,David Bowie,cancer
Rahu,Aldebaran,0.07407824688711173,0.9999991641928715,David Bowie,cancer
Ketu,Antares,0.024078246887114574,0.9999999116972031,David Bowie,cancer
Sun,Fomalhaut,1.6420477669425395,0.9995893549549664,George Harrison,cancer
Jupiter,Sirius,1.4653606341223906,0.9996729681076179,George Harrison,cancer
Ketu,Deneb Algedi,1.070939618094883,0.9998253204495778,George Harrison,cancer
Rahu,Rigel,0.44872536370345983,0.9999693321199343,Freddie Mercury,disease
Saturn,Aldebaran,0.4331075470403647,0.9999714297411896,Jimi Hendrix,overdose
Rahu,Regulus,0.4858540279411159,0.9999640471144469,Jimi Hendrix,overdose
Mars,Aldebaran,1.8939714631606819,0.9994536989248892,Jim Morrison,overdose
Moon,Fomalhaut,1.5713577911051289,0.9996239481890005,Frank Sinatra,cardiac
Saturn,Sirius,0.7956648364613415,0.9999035775658854,Frank Sinatra,cardiac
Sun,Rigel,0.7297103402170109,0.9999189001837926,Dean Martin,disease
Venus,Betelgeuse,1.4200295413247943,0.9996928876598915,Dean Martin,disease
Uranus,Deneb Algedi,0.15420014479877864,0.9999963784537117,Dean Martin,disease
Venus,Altair,0.8521047370413157,0.9998894133520497,Sammy Davis Jr,cancer
Pluto,Sirius,0.13730342152882713,0.9999971286426107,Sammy Davis Jr,cancer
Mars,Sirius,1.5871907265955514,0.9996163323327352,Ray Charles,disease
Rahu,Algol,1.2902923979327596,0.9997464388794496,Ray Charles,disease
Ketu,Spica,1.0497076020672296,0.9998321778515554,Ray Charles,disease
Saturn,Altair,1.5509762754852545,0.9996336395961853,Johnny Cash,disease
Moon,Vega,1.4571257836191762,0.9996766332080458,June Carter Cash,cardiac
Neptune,Regulus,0.7143432606333135,0.9999222799596377,June Carter Cash,cardiac
Moon,Aldebaran,1.309853889353377,0.999738692706025,Buddy Holly,accident
Ketu,Betelgeuse,0.9013472148258757,0.9998762628738511,Buddy Holly,accident
Ketu,Spica,0.5920839979544041,0.9999466066067243,Big Bopper,accident
Moon,Algol,0.06274211865892809,0.9999994004256357,Otis Redding,accident
Venus,Spica,0.8465992849421582,0.9998908377112875,Otis Redding,accident
Sun,Altair,0.26559665925708487,0.9999892559213719,Sam Cooke,homicide
Jupiter,Sirius,0.6762102208702458,0.9999303560876801,Sam Cooke,homicide
Saturn,Vega,0.7892079627700355,0.9999051361404919,Sam Cooke,homicide
Venus,Fomalhaut,0.7767639630424128,0.9999081040809632,Marvin Gaye,homicide
Moon,Antares,1.8434768645772976,0.9994824376730075,Isaac Hayes,cardiac
Jupiter,Sirius,1.5001245101856568,0.9996572680877382,Isaac Hayes,cardiac
Saturn,Aldebaran,1.552785363031262,0.9996327844909174,Isaac Hayes,cardiac
Ketu,Fomalhaut,0.7224703284288125,0.9999205014850301,Isaac Hayes,cardiac
Uranus,Betelgeuse,0.6930569833277076,0.9999268427567292,Donna Summer,cancer
Venus,Altair,0.5625525770688,0.999951799950113,Etta James,disease
Jupiter,Antares,1.0127659303574603,0.9998437818112684,Dinah Washington,overdose
Pluto,Sirius,0.9295804616788814,0.9998683899097489,Dinah Washington,overdose
Ketu,Deneb Algedi,1.2875928060691422,0.9997474987425975,Dinah Washington,overdose
Saturn,Betelgeuse,1.9391415649459987,0.9994273327923971,Billie Holiday,disease
Pluto,Betelgeuse,1.4978535256064447,0.9996583049422626,Billie Holiday,disease
Rahu,Deneb Algedi,0.45873378107995677,0.9999679488316794,Billie Holiday,disease
Uranus,Deneb Algedi,0.2660510832583327,0.9999892191247104,Ella Fitzgerald,disease
Rahu,Vega,1.1518564965500104,0.9997979276627598,Ella Fitzgerald,disease
Ketu,Sirius,0.2181435034499799,0.9999927521569139,Ella Fitzgerald,disease
Rahu,Regulus,0.5918325826570197,0.9999466519413271,Sarah Vaughan,cancer
Sun,Fomalhaut,1.6975300039526928,0.9995611380894097,Nina Simone,disease
Sun,Spica,0.31487653481295297,0.9999848990509844,Chuck Berry,cardiac
Pluto,Sirius,1.8635803173325485,0.9994710888996549,Chuck Berry,cardiac
Mercury,Antares,1.4138031153376573,0.9996955748197457,Little Richard,cancer
Saturn,Altair,0.4845874736764699,0.9999642343174067,Little Richard,cancer
Mercury,Fomalhaut,1.1107774713083245,0.9998120833494678,Fats Domino,natural
Pluto,Sirius,1.0973259472757206,0.9998166069970552,Fats Domino,natural
Moon,Regulus,1.1083014031334812,0.9998129201711654,Bo Diddley,cardiac
Mercury,Vega,0.09658984640890367,0.9999985790212359,Bo Diddley,cardiac
Venus,Deneb Algedi,1.6636215601812978,0.9995784944399398,Bo Diddley,cardiac
Neptune,Regulus,1.3598390521109138,0.999718369703941,Bo Diddley,cardiac
Mars,Fomalhaut,0.20010524170112376,0.9999939012444253,Muddy Waters,cardiac
Jupiter,Vega,0.8906278550119282,0.9998791884260436,Muddy Waters,cardiac
Pluto,Betelgeuse,0.6471283709141034,0.999936217578496,Muddy Waters,cardiac
Sun,Rigel,1.8796890735241476,0.9994619064070138,Howlin Wolf,disease
Pluto,Sirius,0.4940806846023804,0.9999628192795841,BB King,disease
Ketu,Altair,0.16211103962723428,0.9999959973314239,BB King,disease
Neptune,Spica,1.3740471291057759,0.9997124540975406,Stevie Ray Vaughan,accident
Moon,Spica,0.9754624878339939,0.9998550776408255,Duane Allman,accident
Mars,Antares,0.23639958124465466,0.9999914882760701,Duane Allman,accident
Mercury,Altair,0.03878168251162606,0.9999997709248307,Ronnie Van Zant,accident
Moon,Aldebaran,1.1108829916695981,0.9998120476459106,Steve Gaines,accident
Moon,Altair,0.920645494057851,0.9998709077236142,Randy Rhoads,accident
Pluto,Regulus,0.6211390837381714,0.9999412377792589,Randy Rhoads,accident
Venus,Deneb Algedi,0.8749278859917808,0.9998834101300844,Cliff Burton,accident
Uranus,Regulus,1.0095068083290926,0.9998447856005304,Cliff Burton,accident
Moon,Spica,0.6161839829158282,0.9999421715750351,Dimebag Darrell,homicide
Sun,Regulus,0.08873249307927722,0.9999988008044163,Keith Moon,overdose
Moon,Sirius,1.3086304663729464,0.9997391805866391,Keith Moon,overdose
Jupiter,Spica,0.021390915719337045,0.9999999303079102,Keith Moon,overdose
Rahu,Rigel,0.22676261914864426,0.9999921681005762,Keith Moon,overdose
Sun,Aldebaran,0.08834732921661725,0.9999988111925894,John Bonham,overdose
Pluto,Regulus,1.9050153763847106,0.9994473098797522,Sid Vicious,overdose
Moon,Aldebaran,0.40698071316158746,0.9999747727116968,GG Allin,overdose
Pluto,Regulus,1.2729924532609687,0.999753192398116,GG Allin,overdose
Sun,Regulus,1.1227863000559068,0.9998079983100909,Layne Staley,overdose
Moon,Betelgeuse,0.690952219610125,0.9999272864230963,Shannon Hoon,overdose
Mercury,Spica,1.4775347256270095,0.9996675119315022,Shannon Hoon,overdose
Venus,Regulus,1.482821881450974,0.999665128281042,Shannon Hoon,overdose
Mars,Antares,1.2684048786753976,0.9997549679969238,Shannon Hoon,overdose
Sun,Fomalhaut,0.9370556049285028,0.999866264783649,Bradley Nowell,overdose
Venus,Altair,1.0435280873685997,0.9998341478826762,Bradley Nowell,overdose
Jupiter,Regulus,0.7784565557893757,0.9999077031626818,Bradley Nowell,overdose
Jupiter,Fomalhaut,0.021564840027394894,0.9999999291700042,Hillel Slovak,overdose
Mercury,Antares,1.0871977072922903,0.9998199766809974,Jonathan Melvoin,overdose
Uranus,Regulus,0.7186291260427424,0.9999213445759956,Jonathan Melvoin,overdose
Saturn,Fomalhaut,0.1907453684389111,0.9999944584361522,Chris Cornell,suicide
Rahu,Betelgeuse,1.9356329526488736,0.9994294030471595,Chris Cornell,suicide
Jupiter,Regulus,1.437836517326133,0.9996851374804097,Scott Weiland,overdose
Rahu,Algol,1.2908300021385024,0.9997462275503646,Scott Weiland,overdose
Moon,Deneb Algedi,1.6812731778889543,0.9995695029837659,Tom Petty,overdose
Mercury,Spica,1.580489343034344,0.9996195651057713,Glenn Frey,disease
Uranus,Betelgeuse,1.4183437363482057,0.9996936163739885,Glenn Frey,disease
Mercury,Vega,1.3398869954908719,0.9997265730668707,Maurice Gibb,disease
Mercury,Vega,1.3398869954908719,0.9997265730668707,Robin Gibb,cancer
Pluto,Regulus,0.916129065286782,0.9998721711710059,Andy Gibb,cardiac
Sun,Algol,0.5650903030495726,0.9999513641031358,Dusty Springfield,cancer
Mars,Vega,1.4950472846914522,0.9996595840073325,Dusty Springfield,cancer
Sun,Spica,0.4324261131680771,0.9999715195726147,Laura Nyro,cancer
Sun,Algol,0.3196835675005154,0.99998443445831,Selena,homicide
Moon,Regulus,0.579667823905254,0.9999488224579578,Aaliyah,accident
Venus,Antares,0.8601788147934428,0.9998873077456603,Aaliyah,accident
Moon,Sirius,0.3761636211315391,0.9999784485366294,Lisa Left Eye Lopes,accident
Saturn,Aldebaran,1.1497918781978171,0.9997986513889642,Notorious BIG,homicide
Mercury,Rigel,1.8430674013071666,0.999482667544029,Tupac Shakur,homicide
Rahu,Betelgeuse,0.6591814512494949,0.9999338195210866,Eazy-E,disease
Mars,Fomalhaut,1.7480414527372545,0.9995346341537419,Big Pun,cardiac
Jupiter,Antares,1.047583391958483,0.9998328563621856,Big Pun,cardiac
Sun,Aldebaran,1.128954032953132,0.9998058831626087,Big L,homicide
Uranus,Spica,0.2728307753030208,0.9999886626740411,Big L,homicide
Neptune,Antares,1.5447595200213868,0.9996365704866277,Big L,homicide
Sun,Altair,0.5288086754438268,0.9999574089056158,Jam Master Jay,homicide
Saturn,Fomalhaut,0.5100055432512249,0.9999603839049561,Jam Master Jay,homicide
Moon,Vega,1.5021488825380516,0.9996563425040598,Scott La Rock,homicide
Mars,Deneb Algedi,1.245760316941471,0.9997636385664066,Scott La Rock,homicide
Jupiter,Deneb Algedi,1.1524688645438914,0.9997977127551702,Scott La Rock,homicide
Uranus,Regulus,1.888704481818678,0.9994567328634477,Scott La Rock,homicide
Saturn,Betelgeuse,1.9954912411650838,0.9993935702598747,Pimp C,overdose
Neptune,Antares,1.5274810018983658,0.9996446546375816,Pimp C,overdose
Ketu,Betelgeuse,0.6926059958369137,0.9999269379346614,Pimp C,overdose
Mercury,Vega,1.680238946316308,0.9995700324215406,Mac Miller,overdose
Uranus,Vega,0.6705924175797691,0.9999315084398593,Mac Miller,overdose
Neptune,Vega,1.4652950596966434,0.9996729973745156,Mac Miller,overdose
Mars,Regulus,1.3870804073352758,0.9997069735639097,Lil Peep,overdose
Uranus,Altair,0.9230852100219522,0.9998702226412979,Lil Peep,overdose
Sun,Altair,1.4946921445727526,0.9996597457067821,XXXTentacion,homicide
Mercury,Vega,0.7446184662978226,0.9999155526099571,XXXTentacion,homicide
Neptune,Altair,1.9926121278356845,0.9993953187461617,XXXTentacion,homicide
Sun,Antares,0.31660690816366355,0.9999847326237764,Juice WRLD,overdose
Mercury,Antares,1.7337173334247495,0.9995422290968228,Juice WRLD,overdose
Saturn,Algol,1.2615196199850196,0.9997576208749357,Juice WRLD,overdose
Neptune,Altair,1.6646177890983154,0.9995779895027342,Juice WRLD,overdose
Pluto,Antares,1.7759266243637342,0.9995196696758982,Juice WRLD,overdose
Neptune,Altair,1.3552690892014425,0.9997202593649881,Pop Smoke,homicide
Pluto,Antares,1.811844432809238,0.9995000456400721,Pop Smoke,homicide
Venus,Sirius,1.0524875253809256,0.9998312878183282,Nipsey Hussle,homicide
Mars,Regulus,1.8403569568811236,0.9994841878892449,Princess Diana,accident
Rahu,Regulus,0.11571345720108184,0.9999979606473549,Princess Diana,accident
Sun,Fomalhaut,1.542754076779886,0.9996375134426647,Steve Jobs,cancer
Moon,Sirius,1.7797073045546483,0.9995176225618808,Heath Ledger,overdose
Moon,Deneb Algedi,0.2682906058218464,0.9999890368620661,Philip Seymour Hoffman,overdose
Mercury,Sirius,1.3788985328400543,0.9997104201112545,Philip Seymour Hoffman,overdose
Pluto,Regulus,0.195662406152195,0.9999941690529544,Carrie Fisher,cardiac
Mars,Sirius,0.03218437189767087,0.9999998422334953,Alan Rickman,cancer
Rahu,Betelgeuse,1.9763536355080902,0.9994051451707398,Alan Rickman,cancer
Venus,Deneb Algedi,0.09071677119010246,0.9999987465707723,Leonard Nimoy,disease
Uranus,Rigel,1.1337616888261977,0.9998042264015229,Farrah Fawcett,cancer
Rahu,Aldebaran,1.4114025903715088,0.999696607669244,Farrah Fawcett,cancer
Ketu,Antares,1.3614025903715117,0.9997177217270152,Farrah Fawcett,cancer
Mercury,Aldebaran,1.619561971318035,0.9996005237507355,Cory Monteith,overdose
Pluto,Spica,1.0260142664541263,0.9998396681022412,Cory Monteith,overdose
Ketu,Vega,0.8237004098571674,0.9998966630060759,Cory Monteith,overdose
Mercury,Algol,0.5913889453257113,0.9999467318899834,Marlon Brando,disease
Rahu,Regulus,0.20778846894154412,0.999993423919065,Marlon Brando,disease
Moon,Sirius,1.4615172685524698,0.9996746812514158,Clark Gable,cardiac
Neptune,Betelgeuse,1.9723632964496716,0.9994075445814241,Clark Gable,cardiac
Pluto,Rigel,1.007115407668266,0.9998455200792452,Clark Gable,cardiac
Mercury,Antares,1.6611089042330036,0.9995797666337409,Humphrey Bogart,cancer
Uranus,Antares,0.008196268846802468,0.9999999897680801,Humphrey Bogart,cancer
Pluto,Rigel,1.463002622770972,0.999674019702127,Humphrey Bogart,cancer
Jupiter,Antares,0.9793701668317851,0.9998539142325711,Spencer Tracy,cardiac
Pluto,Rigel,1.8921458799320732,0.9994547514717194,Spencer Tracy,cardiac
Mars,Regulus,1.1251683057434718,0.9998071828039883,Gary Cooper,cancer
Saturn,Vega,0.8437682853390811,0.9998915665475119,Gary Cooper,cancer
