question_type,year,month,day,hour,outcome
lost_item,2022,4,26,2.4,False
job,2002,12,17,9.85,True
job,2018,10,6,8.55,False
lawsuit,2011,12,17,18.933333333333334,False
journey,2024,9,8,9.85,True
health,2000,7,21,17.766666666666666,True
lost_item,2021,4,16,15.95,True
job,2012,7,11,7.7,False
relationship,2008,11,8,12.366666666666667,True
lost_item,2010,11,18,9.95,False
journey,2013,10,29,13.483333333333333,True
job,2021,11,22,5.083333333333333,False
lawsuit,2016,8,31,2.75,False
lawsuit,2021,8,2,17.0,True
lost_item,2011,3,12,9.016666666666667,True
lost_item,2005,8,4,0.23333333333333334,False
lost_item,2019,10,22,7.3,True
journey,2019,5,4,20.183333333333334,True
relationship,2008,12,1,17.566666666666666,True
relationship,2019,4,13,19.05,True
relationship,2023,4,5,2.1166666666666667,True
job,2019,8,11,15.283333333333333,True
journey,2013,1,5,22.266666666666666,False
relationship,2005,7,20,17.116666666666667,False
lost_item,2004,7,2,9.633333333333333,False
lost_item,2010,2,27,16.3,False
lost_item,2024,3,13,16.883333333333333,True
relationship,2007,5,4,4.166666666666667,True
lawsuit,2024,2,24,17.666666666666668,True
relationship,2020,5,18,17.283333333333335,True
lost_item,2014,7,12,4.483333333333333,False
health,2012,7,9,8.666666666666666,False
relationship,2015,1,15,9.5,True
lost_item,2015,10,28,18.516666666666666,True
lost_item,2005,6,24,11.766666666666667,True
health,2005,7,1,20.616666666666667,False
lost_item,2007,4,25,20.966666666666665,True
relationship,2013,5,3,8.716666666666667,False
journey,2016,12,28,7.683333333333334,False
lost_item,2021,9,2,11.866666666666667,False
lost_item,2023,2,8,6.066666666666666,False
lost_item,2014,8,9,19.616666666666667,True
job,2010,12,12,22.966666666666665,True
lawsuit,2006,4,6,13.55,False
lawsuit,2001,8,23,21.516666666666666,True
lost_item,2009,9,10,18.516666666666666,False
lawsuit,2006,2,7,2.216666666666667,True
relationship,2018,1,28,18.916666666666668,True
relationship,2010,11,11,22.05,False
lawsuit,2014,12,14,5.333333333333333,False
journey,2021,10,14,1.7166666666666668,False
journey,2011,10,28,0.5666666666666667,True
job,2022,11,26,12.983333333333333,False
job,2012,8,17,14.316666666666666,False
lawsuit,2024,11,27,0.4666666666666667,False
lost_item,2019,6,7,18.966666666666665,False
relationship,2015,6,11,8.05,False
lost_item,2007,5,13,10.866666666666667,False
lawsuit,2006,3,12,13.7,True
journey,2012,2,21,22.483333333333334,True
relationship,2009,11,30,1.3833333333333333,False
job,2008,10,20,20.216666666666665,True
relationship,2016,9,1,20.7,False
lawsuit,2004,5,25,10.05,False
lawsuit,2009,8,31,23.466666666666665,True
health,2005,9,14,3.9833333333333334,False
lost_item,2003,1,12,17.283333333333335,False
relationship,2006,7,4,6.566666666666666,False
lost_item,2010,12,30,8.116666666666667,False
lost_item,2002,4,19,15.066666666666666,False
relationship,2017,2,2,20.416666666666668,True
journey,2019,1,17,8.833333333333334,True
lost_item,2008,9,13,2.4166666666666665,True
lawsuit,2007,4,19,5.533333333333333,True
health,2012,5,6,8.65,True
job,2013,9,15,18.216666666666665,True
job,2020,4,13,1.0666666666666667,True
lawsuit,2022,8,1,14.216666666666667,False
lost_item,2000,1,3,14.583333333333334,True
job,2001,4,23,11.15,True
lost_item,2012,5,8,14.2,False
lawsuit,2019,8,27,13.383333333333333,True
journey,2004,7,28,14.216666666666667,True
job,2011,11,4,4.483333333333333,False
lost_item,2018,10,22,20.683333333333334,False
job,2014,11,13,20.416666666666668,False
relationship,2020,9,15,7.166666666666667,False
lawsuit,2013,7,15,2.966666666666667,False
lost_item,2006,9,7,4.683333333333334,False
journey,2001,10,29,1.8,True
job,2017,1,23,17.666666666666668,True
job,2024,3,14,8.383333333333333,False
relationship,2022,1,2,16.516666666666666,True
journey,2000,8,22,7.883333333333333,True
lawsuit,2012,9,13,17.783333333333335,False
health,2006,5,30,19.483333333333334,False
lawsuit,2020,9,20,15.133333333333333,True
health,2006,9,19,18.783333333333335,False
lawsuit,2006,8,3,21.283333333333335,True
journey,2022,11,17,20.633333333333333,True
job,2006,10,18,15.1,False
job,2018,10,11,2.5,True
journey,2016,8,1,22.816666666666666,True
journey,2009,2,3,17.566666666666666,True
