Category,Name,Planet,Sign,Solar_House,Element
Science,Albert Einstein,Moon,Sag,9,Fire
Science,Albert Einstein,Mercury,Ari,1,Fire
Science,Albert Einstein,Venus,Ari,1,Fire
Science,Albert Einstein,Mars,Cap,11,Earth
Science,Albert Einstein,Jupiter,Aqu,12,Air
Science,Albert Einstein,Saturn,Ari,1,Fire
Science,Albert Einstein,Uranus,Vir,6,Earth
Science,Albert Einstein,Neptune,Tau,2,Earth
Science,Albert Einstein,Pluto,Tau,3,Earth
Science,Marie Curie,Moon,Pis,5,Water
Science,Marie Curie,Mercury,Sag,1,Fire
Science,Marie Curie,Venus,Sco,1,Water
Science,Marie Curie,Mars,Sco,1,Water
Science,Marie Curie,Jupiter,Aqu,4,Air
Science,Marie Curie,Saturn,Sco,1,Water
Science,Marie Curie,Uranus,Can,8,Water
Science,Marie Curie,Neptune,Ari,5,Fire
Science,Marie Curie,Pluto,Tau,7,Earth
Science,Isaac Newton,Moon,Can,6,Water
Science,Isaac Newton,Mercury,Sag,12,Fire
Science,Isaac Newton,Venus,Aqu,2,Air
Science,Isaac Newton,Mars,Tau,4,Earth
Science,Isaac Newton,Jupiter,Pis,3,Water
Science,Isaac Newton,Saturn,Pis,3,Water
Science,Isaac Newton,Uranus,Sco,11,Water
Science,Isaac Newton,Neptune,Sag,11,Fire
Science,Isaac Newton,Pluto,Gem,5,Air
Science,Charles Darwin,Moon,Cap,11,Earth
Science,Charles Darwin,Mercury,Pis,1,Water
Science,Charles Darwin,Venus,Ari,2,Fire
Science,Charles Darwin,Mars,Lib,9,Air
Science,Charles Darwin,Jupiter,Pis,1,Water
Science,Charles Darwin,Saturn,Sag,10,Fire
Science,Charles Darwin,Uranus,Sco,9,Water
Science,Charles Darwin,Neptune,Sag,10,Fire
Science,Charles Darwin,Pluto,Pis,1,Water
Science,Nikola Tesla,Moon,Lib,3,Air
Science,Nikola Tesla,Mercury,Gem,12,Air
Science,Nikola Tesla,Venus,Can,12,Water
Science,Nikola Tesla,Mars,Lib,4,Air
Science,Nikola Tesla,Jupiter,Ari,9,Fire
Science,Nikola Tesla,Saturn,Can,12,Water
Science,Nikola Tesla,Uranus,Tau,11,Earth
Science,Nikola Tesla,Neptune,Pis,9,Water
Science,Nikola Tesla,Pluto,Tau,10,Earth
Science,Sigmund Freud,Moon,Gem,1,Air
Science,Sigmund Freud,Mercury,Tau,1,Earth
Science,Sigmund Freud,Venus,Ari,12,Fire
Science,Sigmund Freud,Mars,Lib,5,Air
Science,Sigmund Freud,Jupiter,Pis,11,Water
Science,Sigmund Freud,Saturn,Gem,2,Air
Science,Sigmund Freud,Uranus,Tau,1,Earth
Science,Sigmund Freud,Neptune,Pis,11,Water
Science,Sigmund Freud,Pluto,Tau,12,Earth
Science,Carl Jung,Moon,Tau,10,Earth
Science,Carl Jung,Mercury,Can,12,Water
Science,Carl Jung,Venus,Can,12,Water
Science,Carl Jung,Mars,Sag,5,Fire
Science,Carl Jung,Jupiter,Lib,3,Air
Science,Carl Jung,Saturn,Aqu,7,Air
Science,Carl Jung,Uranus,Leo,1,Fire
Science,Carl Jung,Neptune,Tau,9,Earth
Science,Carl Jung,Pluto,Tau,10,Earth
Science,Steve Jobs,Moon,Ari,1,Fire
Science,Steve Jobs,Mercury,Aqu,12,Air
Science,Steve Jobs,Venus,Cap,11,Earth
Science,Steve Jobs,Mars,Ari,2,Fire
Science,Steve Jobs,Jupiter,Can,5,Water
Science,Steve Jobs,Saturn,Sco,9,Water
Science,Steve Jobs,Uranus,Can,5,Water
Science,Steve Jobs,Neptune,Lib,8,Air
Science,Steve Jobs,Pluto,Leo,6,Fire
Science,Bill Gates,Moon,Ari,5,Fire
Science,Bill Gates,Mercury,Lib,12,Air
Science,Bill Gates,Venus,Sco,1,Water
Science,Bill Gates,Mars,Lib,12,Air
Science,Bill Gates,Jupiter,Leo,10,Fire
Science,Bill Gates,Saturn,Sco,1,Water
Science,Bill Gates,Uranus,Leo,9,Fire
Science,Bill Gates,Neptune,Lib,12,Air
Science,Bill Gates,Pluto,Leo,10,Fire
Science,Elon Musk,Moon,Vir,3,Earth
Science,Elon Musk,Mercury,Can,1,Water
Science,Elon Musk,Venus,Gem,12,Air
Science,Elon Musk,Mars,Aqu,8,Air
Science,Elon Musk,Jupiter,Sco,5,Water
Science,Elon Musk,Saturn,Gem,11,Air
Science,Elon Musk,Uranus,Lib,4,Air
Science,Elon Musk,Neptune,Sag,5,Fire
Science,Elon Musk,Pluto,Vir,3,Earth
Science,Stephen Hawking,Moon,Vir,9,Earth
Science,Stephen Hawking,Mercury,Cap,1,Earth
Science,Stephen Hawking,Venus,Aqu,2,Air
Science,Stephen Hawking,Mars,Ari,4,Fire
Science,Stephen Hawking,Jupiter,Gem,5,Air
Science,Stephen Hawking,Saturn,Tau,5,Earth
Science,Stephen Hawking,Uranus,Tau,5,Earth
Science,Stephen Hawking,Neptune,Vir,9,Earth
Science,Stephen Hawking,Pluto,Leo,7,Fire
Arts,Leonardo da Vinci,Moon,Sco,8,Water
Arts,Leonardo da Vinci,Mercury,Ari,12,Fire
Arts,Leonardo da Vinci,Venus,Tau,1,Earth
Arts,Leonardo da Vinci,Mars,Aqu,10,Air
Arts,Leonardo da Vinci,Jupiter,Pis,11,Water
Arts,Leonardo da Vinci,Saturn,Lib,6,Air
Arts,Leonardo da Vinci,Uranus,Can,3,Water
Arts,Leonardo da Vinci,Neptune,Lib,6,Air
Arts,Leonardo da Vinci,Pluto,Leo,4,Fire
Arts,Wolfgang Mozart,Moon,Sag,11,Fire
Arts,Wolfgang Mozart,Mercury,Aqu,1,Air
Arts,Wolfgang Mozart,Venus,Aqu,1,Air
Arts,Wolfgang Mozart,Mars,Can,5,Water
Arts,Wolfgang Mozart,Jupiter,Lib,9,Air
Arts,Wolfgang Mozart,Saturn,Aqu,12,Air
Arts,Wolfgang Mozart,Uranus,Pis,2,Water
Arts,Wolfgang Mozart,Neptune,Leo,7,Fire
Arts,Wolfgang Mozart,Pluto,Sag,11,Fire
Arts,Pablo Picasso,Moon,Sag,2,Fire
Arts,Pablo Picasso,Mercury,Sco,1,Water
Arts,Pablo Picasso,Venus,Lib,12,Air
Arts,Pablo Picasso,Mars,Can,9,Water
Arts,Pablo Picasso,Jupiter,Tau,7,Earth
Arts,Pablo Picasso,Saturn,Tau,7,Earth
Arts,Pablo Picasso,Uranus,Vir,11,Earth
Arts,Pablo Picasso,Neptune,Tau,7,Earth
Arts,Pablo Picasso,Pluto,Tau,7,Earth
Arts,David Bowie,Moon,Leo,7,Fire
Arts,David Bowie,Mercury,Cap,12,Earth
Arts,David Bowie,Venus,Sag,11,Fire
Arts,David Bowie,Mars,Cap,12,Earth
Arts,David Bowie,Jupiter,Sco,11,Water
Arts,David Bowie,Saturn,Leo,7,Fire
Arts,David Bowie,Uranus,Gem,6,Air
Arts,David Bowie,Neptune,Lib,9,Air
Arts,David Bowie,Pluto,Leo,7,Fire
Arts,Prince,Moon,Aqu,9,Air
Arts,Prince,Mercury,Gem,12,Air
Arts,Prince,Venus,Tau,11,Earth
Arts,Prince,Mars,Ari,10,Fire
Arts,Prince,Jupiter,Lib,5,Air
Arts,Prince,Saturn,Sag,7,Fire
Arts,Prince,Uranus,Leo,2,Fire
Arts,Prince,Neptune,Sco,5,Water
Arts,Prince,Pluto,Leo,3,Fire
Arts,Madonna,Moon,Vir,1,Earth
Arts,Madonna,Mercury,Vir,1,Earth
Arts,Madonna,Venus,Leo,12,Fire
Arts,Madonna,Mars,Tau,9,Earth
Arts,Madonna,Jupiter,Lib,3,Air
Arts,Madonna,Saturn,Sag,4,Fire
Arts,Madonna,Uranus,Leo,12,Fire
Arts,Madonna,Neptune,Sco,3,Water
Arts,Madonna,Pluto,Vir,1,Earth
Arts,Michael Jackson,Moon,Pis,7,Water
