name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday,Ceres_Sign,Ceres_Lon,Pallas_Sign,Pallas_Lon,Juno_Sign,Juno_Lon,Vesta_Sign,Vesta_Lon,Chiron_Sign,Chiron_Lon
Marilyn Monroe,1926-06-01 09:30:00,1962-08-05,36.17522245037645,overdose,Gemini,Air,False,True,Pisces,False,0.462416154388913,62.456872241166096,-0.5962647575772474,233.39715359026263,0.2771797335577552,73.90804573587397,-0.8491120035069426,148.11521695661423,0.0290416644768733,88.33580120356606,0.969998513695756,14.070218040454336,0.2376532609365514,76.2519247938279,-0.8723817042877126,150.73659964111474,0.1985845537024338,78.54580021683228,0.5660047346233222,55.527909000514526,0.9381077960581996,20.26382456268861,152,217,65,Aquarius,314.35078058501875,Gemini,66.05317199534602,Aries,28.373491502560313,Pisces,350.4967401740591,,
Elvis Presley,1935-01-08 04:35:00,1977-08-16,42.600958247775495,cardiac,Capricorn,Earth,False,True,Libra,False,-0.8036092773410033,216.52384153749003,-0.967950393846162,194.5450684325046,-0.5405861679779332,237.2764492411284,-0.9732378089447868,166.71468650015538,-0.3839357871349993,247.4223114940228,-0.7515995084701175,221.2708771472485,-0.9963347354102507,175.09292116309294,-0.982914239706951,190.6065729953771,0.0184888874529332,88.94060441809381,0.223309498803805,77.09650949672083,-0.2424835310733156,255.96683313596012,8,228,145,Aquarius,328.3330199847388,Capricorn,291.8935202466895,Capricorn,299.0511443868621,Libra,192.72958045427006,,
John Lennon,1940-10-09 18:30:00,1980-12-08,40.16153319644079,homicide,Libra,Air,False,False,Libra,False,0.4961175624176366,60.25652930156963,0.7954180925701846,322.69476339053284,0.9028472156363572,25.4651178746372,0.265675521209933,74.59290376649702,-0.1712325960596819,99.85949252272133,-0.802700706412317,143.3887802797073,-0.8200417300438507,145.088971307886,-0.9996287405902128,181.56131237674825,0.0673012502478068,86.14100546502098,0.1829952278077003,79.45572780018085,0.5472343770764528,303.17748578684007,283,343,60,Aquarius,304.06836853332015,Scorpio,218.61319317945112,Virgo,153.26265079447197,Libra,182.68938060580734,,
Michael Jackson,1958-08-29 07:33:00,2009-06-25,50.81998631074607,overdose,Virgo,Earth,False,False,Taurus,False,0.4787968710156434,298.6068532105663,-0.911090187947584,155.65644483943717,0.3274613135324183,289.1147597913811,0.0560290235563052,273.2119085752839,0.998041022242609,356.4130666583766,-0.4761232330405456,118.43250884074598,-0.050673704673591,267.09536658623324,-0.729623234825984,223.145182204379,-0.4023036291199828,113.72226866577628,-0.4967480797535871,119.7850868927406,-0.1220581520374403,97.0108993059446,241,176,65,Pisces,336.2432279829869,Leo,145.75036346828824,Leo,136.20135994929765,Taurus,51.71649987718451,,
Prince (musician),1958-06-07 18:17:00,2016-04-21,57.869952087611225,overdose,Gemini,Air,True,False,Aries,False,0.7111854284996761,315.3314470756933,-0.5805100200902016,234.51357726571965,0.97610078322896,347.4484251336427,0.9505321703683188,341.90303192200724,-0.3673580038912695,248.44722946905375,0.7858797365545968,321.80211649768694,0.9924127296483104,352.9375500174863,-0.3030237215120424,252.36069430393252,-0.6285872661964054,128.94597033708902,-0.7375544891240314,137.52351013136916,0.7735455577295348,320.67335328201875,158,112,46,Aquarius,329.4316837335315,Gemini,63.67894565940655,Taurus,37.592201323584426,Aries,0.3557388066681713,,
Whitney Houston,1963-08-09 20:55:00,2012-02-11,48.50650239561944,overdose,Leo,Fire,True,False,Libra,True,-0.9951927316187013,185.620318778304,-0.996114021380303,174.94724114080586,-0.9673536101942712,165.3193981870333,-0.6043054111265895,232.8211236643267,0.9536827096340542,342.4934769558769,0.9680081671214368,14.531882104900706,-0.3504755270820041,249.48359677311495,-0.8845116760523096,207.80851222974124,-0.2979955780455623,107.33725259934278,-0.4645176281253136,117.67900823814782,-0.785789169709614,141.79372583095875,221,42,179,Aries,14.711011500571109,Virgo,160.01177295039741,Leo,130.99761262823878,Libra,188.39495841970702,,
David Bowie,1947-01-08 09:00:00,2016-01-10,69.00205338809035,cancer,Capricorn,Earth,False,True,Capricorn,True,0.9991070571449048,2.421485013271422,-0.9886657843028596,171.36535631346516,0.9368342248811726,20.473473689253865,0.9799891877202032,11.481453632729597,0.293057145978994,287.04107184262625,0.5240606980884844,301.60503141126105,-0.5776426929814681,125.28491245274118,0.4692139618535545,297.9832851893648,-0.8385520092448722,146.98752976804136,-0.8880710000894255,152.63184163594005,-0.2647164525217115,105.35010504628868,8,10,2,Leo,123.8312835609698,Capricorn,278.19080504553864,Sagittarius,242.1483133063865,Capricorn,286.729317111323,,
Amy Winehouse,1983-09-14 22:25:00,2011-07-23,27.852156057494867,overdose,Virgo,Earth,False,False,Leo,True,0.6263610464700893,308.7821545166306,-0.5380530496271315,122.5511995974224,0.8974588386981827,333.8260275909606,0.8702398221847576,330.4865203502549,0.5309084514028831,302.0668557984416,-0.8969501409738759,153.76002840126517,0.9385638398988516,339.8117540570372,-0.4847323011945224,118.9949350022899,0.4410070359110786,63.831848346498646,0.3812053443562908,67.59163553838962,-0.9997501064890258,181.28092636299164,257,204,53,Capricorn,270.9411336994503,Virgo,172.9855482789088,Leo,143.20897052337645,Leo,140.56815553241276,,
George Harrison,1943-02-25 00:05:00,2001-11-29,58.757015742642025,cancer,Pisces,Water,True,False,Capricorn,False,0.0317737617062767,271.82080890563384,-0.9410010283131,199.77964870737853,0.4126877191630266,294.3737853146585,-0.5462534696667994,236.8896369532988,0.850424063421982,31.74217714964516,0.9998360939972516,358.9626125447712,0.9947009424374134,5.901044840075585,-0.1637067257558989,260.5778862198382,-0.5754096848787499,125.12832772738062,-0.6338511154896085,129.3348258417925,0.5515979504732367,303.4767082586308,56,333,88,Scorpio,210.91408857503603,Aquarius,309.94100939163,Pisces,359.38212896759194,Capricorn,291.4264676717687,,
Freddie Mercury,1946-09-05 06:05:00,1991-11-24,45.215605749486656,disease,Virgo,Earth,False,False,Libra,False,0.1800587526265467,79.62681800259313,-0.993284866866932,186.6436733670952,-0.3404542715454342,109.9045531560446,0.9790993673187977,348.2651732814072,0.7699160859382465,39.65364595799949,0.7255368495162464,316.5135257191739,-0.9994795616371834,178.15140779104956,-0.9396157282340216,200.0128771916528,-0.1310962139528992,97.53294290861596,-0.1465498009661834,98.4270350444308,-0.9032547981542518,205.4107501012697,248,328,80,Sagittarius,269.8453198141576,Virgo,152.9943751605429,Libra,208.2717979080629,Libra,197.0911598976731,,
