year,is_outbreak,outbreak_name,Sun-Moon_cos,Sun-Rahu_cos,Sun-Ketu_cos,Sun-Mercury_cos,Sun-Venus_cos,Sun-Mars_cos,Sun-Jupiter_cos,Sun-Saturn_cos,Sun-Uranus_cos,Sun-Neptune_cos,Sun-Pluto_cos,Moon-Rahu_cos,Moon-Ketu_cos,Moon-Mercury_cos,Moon-Venus_cos,Moon-Mars_cos,Moon-Jupiter_cos,Moon-Saturn_cos,Moon-Uranus_cos,Moon-Neptune_cos,Moon-Pluto_cos,Rahu-Ketu_cos,Rahu-Mercury_cos,Rahu-Venus_cos,Rahu-Mars_cos,Rahu-Jupiter_cos,Rahu-Saturn_cos,Rahu-Uranus_cos,Rahu-Neptune_cos,Rahu-Pluto_cos,Ketu-Mercury_cos,Ketu-Venus_cos,Ketu-Mars_cos,Ketu-Jupiter_cos,Ketu-Saturn_cos,Ketu-Uranus_cos,Ketu-Neptune_cos,Ketu-Pluto_cos,Mercury-Venus_cos,Mercury-Mars_cos,Mercury-Jupiter_cos,Mercury-Saturn_cos,Mercury-Uranus_cos,Mercury-Neptune_cos,Mercury-Pluto_cos,Venus-Mars_cos,Venus-Jupiter_cos,Venus-Saturn_cos,Venus-Uranus_cos,Venus-Neptune_cos,Venus-Pluto_cos,Mars-Jupiter_cos,Mars-Saturn_cos,Mars-Uranus_cos,Mars-Neptune_cos,Mars-Pluto_cos,Jupiter-Saturn_cos,Jupiter-Uranus_cos,Jupiter-Neptune_cos,Jupiter-Pluto_cos,Saturn-Uranus_cos,Saturn-Neptune_cos,Saturn-Pluto_cos,Uranus-Neptune_cos,Uranus-Pluto_cos,Neptune-Pluto_cos
1900,False,None,0.6225962614606413,-0.8694569309151952,0.869456930915195,0.9003344233016372,0.9823983946881033,0.806553986094961,-0.7985893590765122,-0.9903231963500962,-0.8674753836790339,0.9783190849513093,0.9243486831929264,-0.1547374353142522,0.1547374353142523,0.901106655121326,0.7578148699722517,0.039548899505192595,-0.026204559212801563,-0.5079699502987358,-0.15078724322832848,0.4470305377376474,0.2769175811785504,-1.0,-0.5678100285347507,-0.7618733771581967,-0.9933023842127523,0.9916711935082614,0.9296020407532961,0.9999920115698367,-0.9529171408986983,-0.992169831264156,0.5678100285347505,0.7618733771581968,0.9933023842127524,-0.9916711935082614,-0.929602040753296,-0.9999920115698367,0.9529171408986983,0.9921698312641561,0.965781227740097,0.4688960502834174,-0.45706171071796864,-0.8312250625729708,-0.5645152425041524,0.7906832673081118,0.666173374777045,0.6819299091923959,-0.6721037812496725,-0.9469680757935747,-0.759278266398277,0.9224126750158383,0.8368062044053278,-0.9999108679457914,-0.8807905345183836,-0.9937562893027395,0.9114984232582752,0.9710936914499123,0.8743901243292773,0.9921780793416625,-0.905925758353901,-0.9678202080413366,0.9281214246942802,-0.9975939347447416,-0.9683553972428198,-0.9516974851775668,-0.991662683527204,0.9833279721668405
1901,False,None,-0.9953642698432767,-0.660021400301298,0.6600214003012981,0.956273756256385,0.9586925222639054,0.27119751232813233,-0.9998901858234617,-0.9969246820107651,-0.9062729389338549,0.9860557292690292,0.93214433129293,0.7292142066726885,-0.7292142066726887,-0.9237116140944083,-0.9268913346752354,-0.17736789536089387,0.9966802521453949,0.9847662513917602,0.942724946518205,-0.9974899398517384,-0.9626475117475057,-1.0,-0.41144167816193883,-0.41906959534082455,0.5440966996925354,0.6710819899101201,0.5991196651916872,0.9157062861495732,-0.7758369498427895,-0.8872518542861486,0.4114416781619387,0.41906959534082466,-0.5440966996925355,-0.6710819899101202,-0.599119665191687,-0.9157062861495732,0.7758369498427895,0.8872518542861487,0.9999648453647981,0.5408513413591193,-0.9518344517110712,-0.9762527596232641,-0.7430187076746869,0.8942671795549718,0.7854844807529233,0.5337795613715939,-0.9543719319838576,-0.9780349184630698,-0.7486044139046949,0.8979883050271099,0.7906461804587831,-0.2569036525188573,-0.3457923108588671,0.16107305798511717,0.10723705231081242,-0.09572203563761388,0.9956538688868039,0.9124374976740443,-0.9884136327664613,-0.9374079001909724,0.8703612419931642,-0.9699820366944064,-0.9009025057352308,-0.9639782630504099,-0.997828788598958,0.9794031144408519
1902,False,None,0.5519395424868908,-0.3778564393285697,0.3778564393285698,0.9817868961774537,0.7958880785085297,0.9283356645781871,-0.792650988714471,-0.9563354370060816,-0.938442182921754,0.9920847030508247,0.9395211241297554,-0.9806173701905566,0.9806173701905566,0.7003129042050201,0.9441520584433043,0.8223757901147145,0.07090343274670952,-0.2841189177058673,-0.8060172359871255,0.6522819959784574,0.804156635003978,-1.0,-0.5468752738572724,-0.8612901513866358,-0.6949611875095307,-0.2649685849083339,0.09075394026603247,0.6744235670879487,-0.4911267922267172,-0.6721042237954403,0.5468752738572723,0.861290151386636,0.6949611875095308,0.2649685849083342,-0.09075394026603281,-0.6744235670879488,0.4911267922267173,0.6721042237954403,0.8964180253539907,0.9820535798954111,-0.6623848184511166,-0.8833902849029395,-0.9869781352320912,0.9978723292465864,0.9874778447875622,0.9639208032669597,-0.2617371384648265,-0.584182113930885,-0.9560372317689406,0.8656142452783009,0.9551126821121335,-0.5092034942290288,-0.7791504573532045,-0.9996029078602926,0.9676675599779411,0.9995096004000803,0.9362309472835542,0.5332529918409483,-0.7098196639584666,-0.5359039462909572,0.7965043738220338,-0.912065110543997,-0.7983970556563135,-0.9743907374032322,-0.9999950802912619,0.9750912848788643
1903,False,None,0.08173176391383988,-0.05406668172441014,0.0540666817244096,0.9300778989994394,0.7041107951938309,-0.046534278278681424,-0.2657906895409306,-0.8701394512820372,-0.9639013035672384,0.9964209052554098,0.946511958159726,0.9907776183034288,-0.9907776183034288,-0.29011638916118654,0.7652626400340949,0.991771352139454,-0.9825290062735639,-0.5622748590882817,0.18658762981179866,-0.0028083009699397285,-0.24422911134546038,-1.0,-0.4171112524526052,0.6709825630032136,0.999971559489718,-0.948250279487619,-0.4450392095289745,0.3179852863264538,-0.13827987874928335,-0.3733715378222869,0.4171112524526047,-0.6709825630032139,-0.999971559489718,0.9482502794876193,0.4450392095289748,-0.31798528632645306,0.1382798787492828,0.37337153782228655,0.3940175059785842,-0.41024489543059167,0.10694256730141775,-0.6282592545938623,-0.9943171242923307,0.9578023296561887,0.998866200934119,0.6765555939454209,-0.8716948194677175,-0.9626109545926641,-0.4896248637024385,0.6415665511072552,0.43732540402388115,-0.9506180431098917,-0.45178040482610055,0.31082580285520206,-0.13080650246583195,-0.3663644375762991,0.7063546991108032,-0.0004866382099116867,-0.18334954464776226,0.05948852110366863,0.7075142411910591,-0.8253681134199592,-0.664584443839072,-0.9829584421198677,-0.9982578208784315,0.9703996023990767
1904,False,None,-0.7498873377470223,0.29239412974443607,-0.2923941297444366,0.9846132711603204,0.9994572358160734,0.9887844408633257,0.29657806324798164,-0.7536541807246178,-0.979253094951966,0.998247585240389,0.9481160291473256,-0.8519164041812544,0.8519164041812546,-0.6227420650545912,-0.7276864467994575,-0.6426723226135224,0.40940066724838,0.9999836845359378,0.6002691892930628,-0.7094246468630983,-0.5006522994929953,-1.0,0.12078442545471008,0.2607322154573719,0.14629197249884052,-0.8265550468118175,-0.8489110867392681,-0.09254269110927935,0.23529217599858243,-0.026806981751206622,-0.12078442545471064,-0.26073221545737224,-0.14629197249884174,0.8265550468118168,0.8489110867392685,0.09254269110927991,-0.23529217599858276,0.026806981751206053,0.9898355470602334,0.9996687749899092,0.4589001125619963,-0.6272013835176156,-0.9995966119020966,0.9932286216821697,0.989084154461497,0.9931677739348883,0.32787783172503165,-0.7315927150127265,-0.9853971710135482,0.999655189210284,0.9580747768549741,0.4358820135891461,-0.6470382847875186,-0.9985345946403724,0.995889546592617,0.9849643046293028,0.4041823207390903,-0.48394888953651494,0.3525715990891457,0.5848110630667899,0.6048281022975487,-0.7134390123780786,-0.5055889969001147,-0.9895284521612386,-0.9928700978332424,0.9652679289772392
1905,False,None,0.965746045343174,0.5891597305961691,-0.589159730596169,0.9892473119064004,0.7004369033097109,-0.5101403165042597,0.7354688836403834,-0.5921321735990499,-0.9925833681879889,0.9998414511970372,0.9546849618920774,0.35930720847939374,-0.35930720847939385,0.9174107881610847,0.8616452349293697,-0.7158502540373692,0.8860951889191463,-0.36274241247176076,-0.9901284728977344,0.9702135270111018,0.9992119088676585,-1.0,0.7009990216843432,-0.16402380264040134,0.3944138212370263,-0.1141698604042412,-0.9999932153843286,-0.4865629217034695,0.5746783493152104,0.32198144998227446,-0.7009990216843429,0.16402380264040187,-0.3944138212370268,0.1141698604042413,0.9999932153843286,0.4865629217034692,-0.5746783493152106,-0.3219814499822744,0.5885229111521144,-0.37886456118575645,0.6284660793039382,-0.7036212968308804,-0.9641311342966117,0.9864862208801113,0.9008921574958281,-0.9711805117149594,0.9987327581721421,0.16038894207297041,-0.7820053136894076,0.7130346246506624,0.8811109891264661,-0.9579544267432847,-0.3910261294642742,0.610914514996506,-0.5253746729447256,-0.743002125000076,0.11050953470223072,-0.8123821603748034,0.7474172408824691,0.9037948591692071,0.48977781403007564,-0.5776890632925423,-0.32546673445782726,-0.9945906611892278,-0.9837846323382582,0.9598331457007336
1906,False,None,-0.4235168515943657,0.8211049550071536,-0.8211049550071537,0.925666451305963,0.8275816356417727,0.9971832841911876,0.9653877559824785,-0.4019527006620519,-0.9991891116296463,0.9997221148583244,0.9608385850890736,0.16930859167048423,-0.16930859167048412,-0.0493010329077789,0.15802140177034293,-0.3543793022491273,-0.645130722124943,-0.6592522611367669,0.4596473171663239,-0.40204453002916735,-0.657960811088695,-1.0,0.9760175202328395,0.999934546358323,0.8616023222916483,0.6438151988578437,-0.8526834843711012,-0.7974578555987565,0.8343317954469223,0.6307820041432641,-0.9760175202328395,-0.999934546358323,-0.8616023222916483,-0.6438151988578433,0.8526834843711011,0.7974578555987565,-0.8343317954469222,-0.6307820041432646,0.9784443123396901,0.9514359134819593,0.7949486882498245,-0.718505660888102,-0.9096826638329301,0.9343278997103195,0.784574579801424,0.8673533395262479,0.6525277127980806,-0.8466504270964418,-0.8043090403267197,0.840584337839884,0.6396186976057663,0.9431062526868437,-0.4694980847986825,-0.9933548119215416,0.9986742457043573,0.937348106340204,-0.14921870069126805,-0.9751063167519843,0.9589711686982717,0.9998569737033086,0.3647594118537748,-0.42342599812846426,-0.13247422235801984,-0.9979623234350792,-0.9712167130412459,0.9540392601309553
1907,False,None,-0.2360852078888327,0.9626641395420746,-0.9626641395420745,0.9061171250510668,0.9374035019490902,-0.9938051219761774,0.9822594282541033,-0.19233492296817906,-0.9991691355792203,0.9978918592189175,0.9665744230199799,-0.490317392462206,0.4903173924622059,-0.6249897738669629,0.117093966061782,0.34261787510624553,-0.4141230784429988,0.9989969052292615,0.27549282171478634,-0.2986516441592804,0.020944845257230008,-1.0,0.9867992688258026,0.8081352505117422,-0.9867851226927155,0.9963492602090953,-0.45079845273051306,-0.9728968467143551,0.9782026896750421,0.8610831385933786,-0.9867992688258026,-0.8081352505117422,0.9867851226927156,-0.9963492602090952,0.4507984527305127,0.9728968467143551,-0.9782026896750421,-0.8610831385933787,0.7020803070088114,-0.947517678935665,0.9693710990981645,-0.5894066740348347,-0.9226050811667025,0.9316607853789576,0.7673713776828722,-0.8928935653554626,0.8554680252803658,0.16144773951523783,-0.9224316236500616,0.9128266774273295,0.9953554968659725,-0.9970156060105718,0.30020519562826825,0.9975088767041451,-0.9989226687604208,-0.9320926804011831,-0.37294864331719924,-0.9890861286112336,0.99235894679387,0.9013474774897999,0.23217002051403196,-0.2556164225216293,0.0656932860627448,-0.9997077461775783,-0.9553220956430104,0.9478976246457168
1908,False,None,0.8563957178561478,0.9970549361946037,-0.9970549361946037,0.9956717334148494,0.9919715668544693,0.9586619002023627,0.8166048644275988,0.010505409214714682,-0.9946015054016042,0.9959246783529667,0.9679359138215,0.814276664380815,-0.814276664380815,0.9006756694585537,0.9148146026734457,0.9679115940339116,0.9973553350623804,-0.5072947512984735,-0.9053500856723147,0.8994719579504125,0.6992379912847315,-1.0,0.9856118068677951,0.9793517644229591,0.9340164389907178,0.7699342959858362,0.08716087771941064,-0.9837142886117768,0.9860749733200895,0.9843497598477763,-0.9856118068677951,-0.9793517644229591,-0.9340164389907178,-0.769934295985836,-0.08716087771941032,0.9837142886117768,-0.9860749733200895,-0.9843497598477763,0.9994313142203245,0.9809583460199396,0.8667149419794343,-0.08247469383018594,-0.9999407994470633,0.9999961843495748,0.9404002150893918,0.9869495559869996,0.8830417890812011,-0.11603305713771321,-0.9997390584594653,0.9993343495723195,0.9283982216661737,0.9470880461362684,-0.2744608050881363,-0.9830135742273299,0.9804180793644721,0.8564456923024855,-0.568586482796143,-0.8720911488982277,0.8653337002904326,0.6454308412017334,0.09331380739993729,-0.07972131217154006,0.26135196754023016,-0.999906925313461,-0.9366442214123079,0.9413360621540754
1909,False,None,-0.9059708795683006,0.9171048213099683,-0.9171048213099683,0.9453292829684256,0.9556582279619125,-0.30765434105230804,0.4909666396450251,0.22877974779345875,-0.9831144557851139,0.9913425935121423,0.9731656400622146,-0.9996331240802625,0.9996331240802625,-0.9944993381812081,-0.7411341631364203,-0.12408138096367448,-0.07599681559008101,-0.6193800663550822,0.8132053545617701,-0.8425427001344993,-0.9790726841101699,-1.0,0.9969714793415059,0.7590462098810562,0.097159803504214,0.10297597444527401,0.5978883430382405,-0.8286700670672815,0.8568225720564588,0.9842256533662376,-0.9969714793415059,-0.7590462098810565,-0.09715980350421391,-0.10297597444527433,-0.5978883430382405,0.8286700670672816,-0.856822572056459,-0.9842256533662376,0.8073772804381467,0.019465441101642954,0.18001873104679675,0.5337403603761093,-0.869690105392975,0.8943257568993686,0.9950034478824293,-0.5742077815900561,0.7257392609966086,-0.0680327654684607,-0.9934084704823145,0.9860498739405948,0.8622526593293957,-0.9799726641087018,0.8558776735137398,0.4765757133397704,-0.42992318903495075,-0.08045346864738558,-0.7357499405414217,-0.642094823193383,0.6011024339048684,0.2773287473706247,-0.04677823240789118,0.09898078075058145,0.44664348293820094,-0.9986301662206255,-0.9146257710076,0.9345275190643825
