year,is_outbreak,outbreak_name,hard_aspect_count,Jupiter-Saturn_angle,Jupiter-Saturn_aspect,Jupiter-Uranus_angle,Jupiter-Uranus_aspect,Jupiter-Neptune_angle,Jupiter-Neptune_aspect,Jupiter-Pluto_angle,Jupiter-Pluto_aspect,Saturn-Uranus_angle,Saturn-Uranus_aspect,Saturn-Neptune_angle,Saturn-Neptune_aspect,Saturn-Pluto_angle,Saturn-Pluto_aspect,Uranus-Neptune_angle,Uranus-Neptune_aspect,Uranus-Pluto_angle,Uranus-Pluto_aspect,Neptune-Pluto_angle,Neptune-Pluto_aspect
1900,False,None,3,29.027120980990844,None,7.1709686688549255,Conjunction,154.94825718352007,None,165.42526039788473,None,21.85615231213592,None,176.02462183548909,Opposition,165.54761862112443,None,162.119225852375,None,172.59622906673965,Opposition,10.477003214364657,None
1901,False,None,2,5.343754027521925,Conjunction,24.155600656872394,None,171.2696532519284,None,159.62070636122493,None,29.49935468439432,None,165.92589922440646,None,154.276952333703,None,164.57474609119922,None,176.22369298190267,Opposition,11.648946890703456,None
1902,False,None,1,20.572068311078738,None,57.77448897992997,None,135.22024458733097,None,122.40523561119778,None,37.20242066885123,None,155.7923128984097,None,142.97730392227652,None,167.00526643273906,None,179.82027540887225,Opposition,12.8150089761332,None
1903,False,None,3,45.06090769656976,None,90.02788231667824,Square,100.5649224449287,None,86.58954525663978,Square,44.96697462010849,None,145.62583014149845,None,131.65045295320954,None,169.40719523839306,None,176.61742757331803,Opposition,13.975377188288945,None
1904,False,None,1,66.16010270321686,None,118.94362944181955,None,69.3553134951981,None,54.21035639441638,None,52.78352673860269,None,135.51541619841495,None,120.37045909763322,None,171.70105706298236,None,173.1539858362359,Opposition,15.144957100781724,None
1905,False,None,2,83.6553111640855,Square,144.32933218065904,None,41.63285610913612,None,25.338543181271127,None,60.67402101657353,None,125.28816727322163,None,108.99385434535662,None,174.03781171020483,Opposition,169.66787536193016,None,16.294312927864993,None
1906,False,None,3,98.58165184602478,None,167.18887459437937,None,16.46942298035445,None,0.9690601920318471,Conjunction,68.60722274835456,None,115.05107482637925,None,97.61259165399298,Square,176.3417024252662,Opposition,166.21981440234754,None,17.4384831723863,None
1907,False,None,3,111.89758309151068,None,171.52728057466436,None,7.087468950000144,Conjunction,25.66424368368284,None,76.57513633382496,None,104.81011414151055,None,86.23333940782788,Square,178.6147495246645,Opposition,162.8084757416528,None,18.576774733682697,None
1908,False,None,3,124.65171560695018,None,150.7025613486989,None,30.079168671042197,None,49.80201384861465,None,84.64572304435092,Square,94.57254693590798,Square,74.84970175833553,None,179.2182699802589,Opposition,159.49542480268644,None,19.722845177572452,None
1909,False,None,3,137.37062313931293,None,129.9482031382979,None,53.051105472683034,None,73.89915950264653,None,92.68117372238919,Square,84.31951766662989,Square,63.4714636366664,None,177.00069138901904,Opposition,156.15263735905557,None,20.848054029963492,None
