name,field,achievement,sun_sign,sun_neptune_aspect,sun_uranus_aspect,venus_neptune_aspect,trop_sun_in_creative_sign,trop_venus_in_creative_sign,trop_creativity_score,sid_sun_in_creative_sign,sid_venus_in_creative_sign,sid_creativity_score,Sun-Moon,Sun-Mercury,Sun-Venus,Sun-Mars,Sun-Jupiter,Sun-Saturn,Sun-Uranus,Sun-Neptune,Sun-Pluto,Sun-Rahu,Sun-Ketu,Moon-Mercury,Moon-Venus,Moon-Mars,Moon-Jupiter,Moon-Saturn,Moon-Uranus,Moon-Neptune,Moon-Pluto,Moon-Rahu,Moon-Ketu,Mercury-Venus,Mercury-Mars,Mercury-Jupiter,Mercury-Saturn,Mercury-Uranus,Mercury-Neptune,Mercury-Pluto,Mercury-Rahu,Mercury-Ketu,Venus-Mars,Venus-Jupiter,Venus-Saturn,Venus-Uranus,Venus-Neptune,Venus-Pluto,Venus-Rahu,Venus-Ketu,Mars-Jupiter,Mars-Saturn,Mars-Uranus,Mars-Neptune,Mars-Pluto,Mars-Rahu,Mars-Ketu,Jupiter-Saturn,Jupiter-Uranus,Jupiter-Neptune,Jupiter-Pluto,Jupiter-Rahu,Jupiter-Ketu,Saturn-Uranus,Saturn-Neptune,Saturn-Pluto,Saturn-Rahu,Saturn-Ketu,Uranus-Neptune,Uranus-Pluto,Uranus-Rahu,Uranus-Ketu,Neptune-Pluto,Neptune-Rahu,Neptune-Ketu,Pluto-Rahu,Pluto-Ketu
Albert Einstein,scientist,Physics Nobel 1921,Pisces,False,False,False,True,False,1,True,True,2,-0.149932249857943,0.9858129692873602,0.9171725881113695,0.5504669133533708,0.8984489380986805,0.9827491396296429,-0.9255529706166925,0.7152342201899834,0.48190221107361475,0.6318929762158307,-0.6318929762158305,-0.3137553727635506,-0.5314995303649845,0.7428872420577537,0.29940832903313047,-0.3301988199002265,-0.2355681081550485,-0.7982215058591889,-0.9385730793233436,0.6715535008455263,-0.6715535008455263,0.9710462246598687,0.40252874963291757,0.8120044595662698,0.9998491687847564,-0.8488720062185362,0.8223932555805522,0.6221376426094322,0.49283712267927493,-0.49283712267927504,0.17219083428218188,0.6490644484816992,0.9750487778314006,-0.6980161918124737,0.9344919814649199,0.7911545800686274,0.27070282987239386,-0.27070282987239336,0.8611337616694414,0.3865694450489796,-0.825578286787118,-0.18975610791929812,-0.4662513387349157,0.9948967988315173,-0.9948967988315173,0.8017452595057235,-0.9978049875159734,0.3357364583975068,0.04823339165639169,0.9080334735870549,-0.9080334735870548,-0.8395633898522866,0.832150079072931,0.6356411744170751,0.4776507097647971,-0.4776507097647976,-0.3973766790693939,-0.11427133842187641,-0.8783005540241756,0.8783005540241756,0.9570533185612189,-0.08972316140095829,0.08972316140095905,-0.3746125216067949,0.3746125216067952
Marie Curie,scientist,Physics Nobel 1903,Scorpio,False,True,False,False,False,2,True,False,3,-0.5385472475287549,0.9269874886663871,0.981584330061791,0.9658169427718263,-0.23129547191043717,0.9827829078100115,-0.5285387765005194,-0.8499979421509524,-0.999963644120804,0.4652694785861688,-0.46526947858616907,-0.18317558874180928,-0.36766912527576656,-0.30171623332220765,0.944310660704363,-0.3735937028699659,-0.430643776332043,0.9016314737524872,0.5313428229699046,-0.9964089211973555,0.9964089211973555,0.9815700122970417,0.9925335342071334,0.15051307145380335,0.9803310247840854,-0.8083680797432493,-0.590344108824276,-0.9301522143993484,0.09927892127646559,-0.09927892127646613,0.997550365433064,-0.041186722788794816,0.9999796549037777,-0.6809719245690377,-0.7337130850969253,-0.9831775586806,0.28760797634241747,-0.287607976342418,0.02880671392145013,0.9970838572117976,-0.73053023532771,-0.6843862779472774,-0.9679922525124185,0.21990713346843732,-0.21990713346843785,-0.04755932618556259,-0.7036411325893508,0.7091021175734791,0.22299124454809266,-0.9687811684494644,0.9687811684494643,-0.6762867745879629,-0.7380323301067014,-0.984322668639169,0.29371146100401296,-0.29371146100401346,0.0020634047900667273,0.5357582446396681,0.5055151849093774,-0.5055151849093771,0.8454751135787939,-0.8617727891012973,0.8617727891012974,-0.45770468977243406,0.45770468977243395
Niels Bohr,scientist,Physics Nobel 1922,Libra,False,False,True,True,False,2,False,False,1,0.983497126958648,0.9932896316408854,0.7711453996705306,0.4687022137588163,0.9278264556193101,-0.10691563370902879,0.9837598764343201,-0.7569099155861947,-0.6622623123890665,0.9464819741302356,-0.9464819741302356,0.9978219441465818,0.6432325420703733,0.6207873979315194,0.980001409298005,0.07473548827064984,0.999998937052463,-0.6261815818533885,-0.5157719737368718,0.9892566488146922,-0.9892566488146922,0.6923389472485744,0.5677201962401835,0.9647405203426864,0.008792290019609867,0.9979170632751257,-0.6762490542538946,-0.5711624303818372,0.9774586367701957,-0.9774586367701957,-0.2009592027830668,0.4780075304989682,-0.7154573014930139,0.6443482406109354,-0.999756543069477,-0.9877313932673232,0.5243892540169641,-0.524389254016964,0.7643769264918131,0.8281813261582459,0.6196436618108526,0.22252492941543384,0.3514703384070301,0.7287273191426483,-0.7287273191426483,0.2716749323977007,0.9797102305231041,-0.45851042869398734,-0.33497690532246627,0.9985631792556955,-0.9985631792556955,0.07328144184677222,0.7306988207108731,0.8157835059291176,0.2197129468938895,-0.21971294689388984,-0.627317720441086,-0.5170205700406112,0.9890424469158369,-0.9890424469158369,0.9909366124442293,-0.505473897072679,0.5054738970726792,-0.38498677836567957,0.38498677836568007
Werner Heisenberg,scientist,Physics Nobel 1932,Sagittarius,False,True,False,False,False,2,False,False,2,0.48781848578187637,0.9663312884452826,0.6786988477507437,0.8991674961611108,0.8409743139640796,0.8478020901981262,0.9973556483315505,-0.9516884612877863,-0.9960356386871781,0.871753257688971,-0.8717532576889713,0.6960039714223824,-0.31002359684922853,0.05662571298597012,-0.06208598495295235,-0.04936038031109326,0.4230869069403671,-0.19620011578678123,-0.4082316959821061,0.8529525725963587,-0.8529525725963584,0.4668817314386479,0.7562975447760879,0.6734406042212332,0.6828076470606974,0.9450765158116283,-0.8406381173514634,-0.9396121644441287,0.968465862399017,-0.9684658623990172,0.9316480887116356,0.968142840560291,0.9648728381886541,0.7302781407291021,-0.8714237123632546,-0.7413383365337528,0.23183403056376342,-0.23183403056376398,0.9929537136800385,0.9943833996869363,0.9285928636522116,-0.9901005100398929,-0.9345300268729936,0.569449923538036,-0.5694499235380364,0.9999187772805269,0.8780733161304105,-0.9664908988092792,-0.8857717623850297,0.46802499997933256,-0.46802499997933267,0.8841008837331643,-0.9696840889613503,-0.8916151103649885,0.4792500685870446,-0.47925006858704494,-0.9714879463778899,-0.9998666144391594,0.8338410853753763,-0.8338410853753764,0.9752306393155185,-0.6791923801441568,0.6791923801441575,-0.8247142015163189,0.8247142015163192
Erwin Schrodinger,scientist,Physics Nobel 1933,Leo,False,False,False,True,True,2,False,False,0,0.10120804626036475,0.9535595302459253,0.7566627529793603,0.8758016313740363,0.3407207951512168,0.9385836622590416,0.6383785216487347,0.18307708958171934,0.26752870188099664,0.999971556858684,-0.999971556858684,0.39616591520012906,-0.5738679180498585,0.568831007657105,-0.9008533632652764,0.4382722238475788,-0.7011612378129332,0.9965795019909954,0.985678392887949,0.10870868621418672,-0.10870868621418663,0.5245937783832936,0.9805117916501164,0.04171566326770861,0.9989265763024675,0.37688792454046294,0.4706887304609552,0.5453302209228567,0.9558041673253506,-0.9558041673253506,0.34711343462012567,0.8724953637617262,0.48459460755001976,0.9862860210031038,-0.5042275156948179,-0.4275451014419063,0.751710070130304,-0.7517100701303039,-0.1553865274788891,0.9885596493799279,0.18757001318419242,0.6348525909949393,0.6993798711470646,0.8794171458351826,-0.8794171458351828,-0.004610442275074747,0.9411747115375318,-0.8618962224107037,-0.8147428370643818,0.3336201518995306,-0.3336201518995305,0.33357752599409973,0.5110530421073222,0.5835726433637831,0.9411594311337312,-0.9411594311337312,-0.6398406866967833,-0.5708815394391971,0.6325549271011142,-0.6325549271011143,0.9962428873666767,0.19048665340623894,-0.1904866534062393,0.2747884227697369,-0.2747884227697366
Paul Dirac,scientist,Physics Nobel 1933,Leo,False,True,False,True,False,3,False,False,2,0.507640458207798,0.9982158736429464,0.8780639038219156,0.8434692381588127,-0.9986068609209354,-0.9270525255369351,-0.5363476800145844,0.7406360782753737,0.5648392910337577,0.29034087986745555,-0.290340879867455,0.4552920251898603,0.033442601762172286,-0.03463636043410018,-0.4614709871548077,-0.14758002322570457,0.4548899981902389,-0.20291688920969475,-0.424232274990635,0.9718442280840481,-0.9718442280840479,0.9050702934428779,0.8740382848991801,-0.9999758321614721,-0.9477850319461504,-0.5857843210490875,0.7794330137478516,0.6131028117301587,0.2326867044763099,-0.23268670447630935,0.9976826266265827,-0.9020918519948516,-0.9934323430440453,-0.8748367926297222,0.9718621720672629,0.8908594475613336,-0.20299147107550702,0.20299147107550758,-0.8706393157062492,-0.9833450349325922,-0.9057690232933825,0.985636730662495,0.9197039221340544,-0.26914403741171433,0.2691440374117149,0.9455449544689191,0.5801355183048471,-0.7750586330356463,-0.6075956205195658,-0.23944259564478276,0.23944259564478199,0.8136635669913093,-0.9385274050077719,-0.8330294975764204,0.0896194178198631,-0.08961941781986323,-0.9643255130181397,-0.9994174653693734,0.651916854947957,-0.6519168549479575,0.9727981370612439,-0.4279259412149483,0.42792594121494887,-0.6256580482726996,0.6256580482727
Enrico Fermi,scientist,Physics Nobel 1938,Libra,False,False,False,True,False,1,False,True,1,-0.9529356386592137,0.9265702234008371,0.7806776762866784,0.7221323658183395,0.01838700670377803,-0.07557793495613559,0.37700084402785183,-0.07237142536606886,-0.2916765396200088,0.783671545082657,-0.7836715450826572,-0.9969916435152224,-0.9333984565325075,-0.8978668490784203,-0.32064305224763995,-0.2302846586720072,-0.6400599835846258,0.3713429872227912,0.5679387874730802,-0.9351119574004726,0.9351119574004728,0.9584039586980094,0.9292904585614956,0.39309508436869317,0.30501780592593175,0.6976866405854188,-0.44219273929250796,-0.6300257132644946,0.9597643482740563,-0.9597643482740564,0.9960536993419263,0.63918256638435,0.5641445076588687,0.8731379818760922,-0.679793912581764,-0.8254652601289157,0.9999884553510466,-0.9999884553510466,0.7049158111188327,0.6351991405914672,0.9129568367470967,-0.7422026978271196,-0.8723044034685425,0.9956157333749548,-0.9956157333749548,0.9955816740026594,0.9329882506788802,-0.9985398321894556,-0.9617183672611945,0.6354797866035683,-0.6354797866035676,0.8950709059515466,-0.9890554651032154,-0.931736966069545,0.5601705233728421,-0.5601705233728415,-0.9510682417394322,-0.995900712354565,0.8707855355475445,-0.8707855355475443,0.9751178335063865,-0.6762619753089988,0.6762619753089985,-0.8227434671822252,0.822743467182225
Richard Feynman,scientist,Physics Nobel 1965,Taurus,False,False,False,False,False,0,False,True,1,0.9687613114276357,0.9418991293797314,0.7066704637542897,-0.42644303991649507,0.9010637048318582,0.2001821253658716,0.12966127095079774,0.26855993152210283,0.720549640279026,-0.8441932979258318,0.8441932979258316,0.8291749405406524,0.5091279191207996,-0.18880646266825446,0.9804678039866964,0.4369039607938109,-0.1202906922010939,0.4990548763085405,0.8700011820907786,-0.95075676882849,0.95075676882849,0.903273003167567,-0.7054889783540129,0.7030375333410561,-0.14054552454499666,0.4551881837431356,-0.07059968231107076,0.44577376048098305,-0.615091692318093,0.615091692318093,-0.9413373919921404,0.3299031537194642,-0.5517584498452783,0.7931977887346898,-0.4917664411176162,0.01857857501650075,-0.21729600682449596,0.2172960068244963,0.00802357596927363,0.800839599938187,-0.9521719681115274,0.7567597382870701,0.31991995565477477,-0.12485453538806124,0.12485453538806136,0.6052852184000308,-0.3131926547157837,0.6597439998382454,0.9499809790107464,-0.9931448999612853,0.9931448999612853,-0.9455320511614755,0.9975261833223729,0.8236091326169809,-0.6941811618909884,0.6941811618909883,-0.9203096229833729,-0.5941225043705584,0.42205464490791766,-0.422054644907918,0.8614405443673908,-0.7430628970951074,0.7430628970951073,-0.9799743328526359,0.9799743328526358
Murray Gell-Mann,scientist,Physics Nobel 1969,Virgo,False,False,False,False,True,1,True,False,1,-0.7638446349013271,0.8952650670839285,0.8253309737851623,0.9149404716697009,-0.11141855623161598,-0.0347409834698089,-0.9513937353172495,0.9382378391291891,0.45752994213678494,-0.6237775842417392,0.6237775842417392,-0.396295762859801,-0.9948493604670074,-0.43839608114574885,-0.5562751592147119,0.6715472835008347,0.5279484596225847,-0.9399705745150727,-0.9233678852242485,-0.027976832649211393,0.02797683264921105,0.4873196016107926,0.9989267440681735,-0.5425089589085677,0.4141625685408624,-0.9889638639314298,0.6858208505563516,0.013444404256455674,-0.9066764253869669,0.906676425386967,0.5272425846206064,0.46917632177929786,-0.5929812163493288,-0.6113156165036389,0.9697202984537564,0.8796964857473661,-0.07349203042155235,0.07349203042155247,-0.5030172453582787,0.3715592588583025,-0.994764789847322,0.7187936813124143,0.05974381963034097,-0.8861651422096308,0.8861651422096309,-0.9893028866418068,0.4120625249880409,0.23929958394662232,0.8326803825228095,0.8462357041282091,-0.8462357041282093,-0.27473894307325164,-0.37837742628230603,-0.9045524929569755,-0.7594594361467717,0.7594594361467715,-0.7860762669628586,-0.16143956931192677,0.8341736555699985,-0.8341736555699985,0.7369250808124587,-0.3148245275691696,0.3148245275691695,0.4095989632489558,-0.40959896324895567
Steven Weinberg,scientist,Physics Nobel 1979,Taurus,True,False,False,False,False,2,False,False,2,-0.11177766402348692,0.9165721442873108,0.9985352881256951,-0.3553993780087149,-0.5116279687446987,0.05817987138073728,0.9503854727427461,-0.42057682396343005,0.3613466382070027,0.38437571103588164,-0.38437571103588175,-0.49981576726547955,-0.05784867220266905,0.9685826270584447,0.9110112241363439,-0.9985531827149802,-0.4153571126142175,0.9485824631573921,0.8861977490553956,-0.9603560432262943,0.9603560432262943,0.8935949670045655,-0.6995128763106078,-0.8125145323254076,0.4525180764832659,0.995486081418187,-0.7482732480651537,-0.0416505457470033,0.7214581652214581,-0.7214581652214579,-0.30430671743471155,-0.4643917585547627,0.004081972503915044,0.9321629454559126,-0.3708742731325637,0.4112659527630639,0.3338648531469226,-0.33386485314692294,0.9849456256945585,-0.9538083384968702,-0.6285324290898664,0.9974989899084077,0.7431349680987878,-0.9995136257027116,0.9995136257027116,-0.8875181417347965,-0.7535213545646461,0.9947004509516447,0.6162767565000024,-0.9898573726472,0.9898573726471999,0.36584105499371117,-0.9301892470886748,-0.9098290250205705,0.9439759262699818,-0.9439759262699818,-0.6819347576539228,0.05336275260179671,0.6524819991536313,-0.6524819991536307,0.6939809687245544,-0.9992180193515823,0.9992180193515823,-0.721906263205783,0.7219062632057827
