Feature,Coefficient,Abs_Coef
Trop_Cos_Sun_Sun,0.0,0.0
Trop_Cos_Sun_Moon,0.0,0.0
Trop_Cos_Sun_Mercury,0.0,0.0
Trop_Cos_Sun_Venus,0.0,0.0
Trop_Cos_Sun_Mars,0.0,0.0
Trop_Cos_Sun_Jupiter,0.0,0.0
Trop_Cos_Sun_Saturn,0.0,0.0
Trop_Cos_Sun_Uranus,0.0,0.0
Trop_Cos_Sun_Neptune,0.0,0.0
Trop_Cos_Sun_Pluto,0.0,0.0
Trop_Cos_Sun_Node,0.0,0.0
Trop_Cos_Sun_Lilith,0.0,0.0
Trop_Cos_Moon_Sun,0.0,0.0
Trop_Cos_Moon_Moon,0.0,0.0
Trop_Cos_Moon_Mercury,0.0,0.0
Trop_Cos_Moon_Venus,0.0,0.0
Trop_Cos_Moon_Mars,0.0,0.0
Trop_Cos_Moon_Jupiter,0.0,0.0
Trop_Cos_Moon_Saturn,0.0,0.0
Trop_Cos_Moon_Uranus,0.0,0.0
Trop_Cos_Moon_Neptune,0.0,0.0
Trop_Cos_Moon_Pluto,0.0,0.0
Trop_Cos_Moon_Node,0.0,0.0
Trop_Cos_Moon_Lilith,0.0,0.0
Trop_Cos_Mercury_Sun,0.0,0.0
Trop_Cos_Mercury_Moon,0.0,0.0
Trop_Cos_Mercury_Mercury,0.0,0.0
Trop_Cos_Mercury_Venus,0.0,0.0
Trop_Cos_Mercury_Mars,0.0,0.0
Trop_Cos_Mercury_Jupiter,0.0,0.0
Trop_Cos_Mercury_Saturn,0.0,0.0
Trop_Cos_Mercury_Uranus,0.0,0.0
Trop_Cos_Mercury_Neptune,0.0,0.0
Trop_Cos_Mercury_Pluto,0.0,0.0
Trop_Cos_Mercury_Node,0.0,0.0
Trop_Cos_Mercury_Lilith,0.0,0.0
Trop_Cos_Venus_Sun,0.0,0.0
Trop_Cos_Venus_Moon,0.0,0.0
Trop_Cos_Venus_Mercury,0.0,0.0
Trop_Cos_Venus_Venus,0.0,0.0
Trop_Cos_Venus_Mars,0.0,0.0
Trop_Cos_Venus_Jupiter,0.0,0.0
Trop_Cos_Venus_Saturn,0.0,0.0
Trop_Cos_Venus_Uranus,0.0,0.0
Trop_Cos_Venus_Neptune,0.0,0.0
Trop_Cos_Venus_Pluto,0.0,0.0
Trop_Cos_Venus_Node,0.0,0.0
Trop_Cos_Venus_Lilith,0.0,0.0
Trop_Cos_Mars_Sun,0.0,0.0
Trop_Cos_Mars_Moon,0.0,0.0
Trop_Cos_Mars_Mercury,0.0,0.0
Trop_Cos_Mars_Venus,0.0,0.0
Trop_Cos_Mars_Mars,0.0,0.0
Trop_Cos_Mars_Jupiter,0.0,0.0
Trop_Cos_Mars_Saturn,0.0,0.0
Trop_Cos_Mars_Uranus,0.0,0.0
Trop_Cos_Mars_Neptune,0.0,0.0
Trop_Cos_Mars_Pluto,0.0,0.0
Trop_Cos_Mars_Node,0.0,0.0
Trop_Cos_Mars_Lilith,0.0,0.0
Trop_Cos_Jupiter_Sun,0.0,0.0
Trop_Cos_Jupiter_Moon,0.0,0.0
Trop_Cos_Jupiter_Mercury,0.0,0.0
Trop_Cos_Jupiter_Venus,0.0,0.0
Trop_Cos_Jupiter_Mars,0.0,0.0
Trop_Cos_Jupiter_Jupiter,0.0,0.0
Trop_Cos_Jupiter_Saturn,0.0,0.0
Trop_Cos_Jupiter_Uranus,0.0,0.0
Trop_Cos_Jupiter_Neptune,0.0,0.0
Trop_Cos_Jupiter_Pluto,0.0,0.0
Trop_Cos_Jupiter_Node,0.0,0.0
Trop_Cos_Jupiter_Lilith,0.0,0.0
Trop_Cos_Saturn_Sun,0.0,0.0
Trop_Cos_Saturn_Moon,0.0,0.0
Trop_Cos_Saturn_Mercury,0.0,0.0
Trop_Cos_Saturn_Venus,0.0,0.0
Trop_Cos_Saturn_Mars,0.0,0.0
Trop_Cos_Saturn_Jupiter,0.0,0.0
Trop_Cos_Saturn_Saturn,0.0,0.0
Trop_Cos_Saturn_Uranus,0.0,0.0
Trop_Cos_Saturn_Neptune,0.0,0.0
Trop_Cos_Saturn_Pluto,0.0,0.0
Trop_Cos_Saturn_Node,0.0,0.0
Trop_Cos_Saturn_Lilith,0.0,0.0
Trop_Cos_Uranus_Sun,0.0,0.0
Trop_Cos_Uranus_Moon,0.0,0.0
Trop_Cos_Uranus_Mercury,0.0,0.0
Trop_Cos_Uranus_Venus,0.0,0.0
Trop_Cos_Uranus_Mars,0.0,0.0
Trop_Cos_Uranus_Jupiter,0.0,0.0
Trop_Cos_Uranus_Saturn,0.0,0.0
Trop_Cos_Uranus_Uranus,0.0,0.0
Trop_Cos_Uranus_Neptune,0.0,0.0
Trop_Cos_Uranus_Pluto,0.0,0.0
Trop_Cos_Uranus_Node,0.0,0.0
Trop_Cos_Uranus_Lilith,0.0,0.0
Trop_Cos_Neptune_Sun,0.0,0.0
Trop_Cos_Neptune_Moon,0.0,0.0
Trop_Cos_Neptune_Mercury,0.0,0.0
Trop_Cos_Neptune_Venus,0.0,0.0
Trop_Cos_Neptune_Mars,0.0,0.0
Trop_Cos_Neptune_Jupiter,0.0,0.0
Trop_Cos_Neptune_Saturn,0.0,0.0
Trop_Cos_Neptune_Uranus,0.0,0.0
Trop_Cos_Neptune_Neptune,0.0,0.0
Trop_Cos_Neptune_Pluto,0.0,0.0
Trop_Cos_Neptune_Node,0.0,0.0
Trop_Cos_Neptune_Lilith,0.0,0.0
Trop_Cos_Pluto_Sun,0.0,0.0
Trop_Cos_Pluto_Moon,0.0,0.0
Trop_Cos_Pluto_Mercury,0.0,0.0
Trop_Cos_Pluto_Venus,0.0,0.0
Trop_Cos_Pluto_Mars,0.0,0.0
Trop_Cos_Pluto_Jupiter,0.0,0.0
