band,lifespan,members,Cohesion_Sun,Cohesion_Moon,Cohesion_Mercury,Cohesion_Venus,Cohesion_Mars,Cohesion_Jupiter,Cohesion_Saturn,Cohesion_Uranus,Cohesion_Neptune,Cohesion_Pluto,Cohesion_Node,Cohesion_Lilith,Inner_Cohesion,Outer_Cohesion
Q1299,10,4,-0.19148952428412425,-0.09649740311784144,-0.297112554820931,0.1240461949626881,-0.04849344049699916,0.6926900312900856,0.9485720941966158,0.9961215393141188,0.9963925476979214,0.9993551265657081,0.8210722152942843,0.3326217105754281,-0.10190934555144157,0.92662626781289
Traveling Wilburys,36,5,-0.1366314254932927,-0.17656983019666603,-0.2250807601222536,-0.06256647062387603,-0.14095001629771653,-0.20156983729222877,-0.015415932377799767,0.8222616118698675,0.9458881502376805,0.9714765558761276,-0.24437654279372553,-0.1320654989303291,-0.14835970054676098,0.5045281096627294
D12,28,5,-0.14232502397562202,-0.2160586638952406,-0.01234525835804975,-0.22257528962833284,-0.04967646482541355,0.03350742035066614,0.7435343692799594,0.9652812178464145,0.9913860657681737,0.9895128053262893,0.5436330490514812,-0.0547535034615961,-0.12859614013653173,0.7446443757143005
N.W.A.,5,6,-0.09692186905814451,-0.18322755722239845,-0.09917000257327609,-0.08083948720706527,0.28953802470252904,-0.08710364790293228,0.6099925315217656,0.9588878806054327,0.9896137475883114,0.9923582641271901,0.2897715512668659,-0.1804762556596663,-0.03412417827167106,0.6927497551879536
G-Unit,25,6,-0.10673085449987024,0.003020738949086114,-0.12036485413749703,-0.14825891127944585,-0.020183364357184284,-0.0657636395926025,0.6029024960664268,0.935892840609248,0.9856204636467704,0.9784421473467925,0.27921870368723434,-0.1561054835812326,-0.07850344906498226,0.687418861615327
Tin Machine,4,4,-0.29957344265624264,-0.2323774388759748,-0.29746082371619176,-0.29875783318696253,-0.05833820944467511,-0.2550522429589972,0.4145061815682302,0.9100963778159142,0.981792222354164,0.9897166096952712,-0.062171324446064234,-0.1445291662927669,-0.2373015495760094,0.6082118296949164
Megadeth,41,21,-0.016432387107856057,0.056938565627263536,0.016141305271741378,-0.01469629626835054,0.009788961968844365,0.004904949672095655,0.2861949375111339,0.7540140076461673,0.938785963406999,0.9311342096337263,0.007390783055339725,-0.008353288371973203,0.010348029898328535,0.5830068135740245
The Who,60,5,-0.12239871028149016,0.1404637000259251,-0.20162770253740642,-0.2077426275992436,-0.1422989842482873,0.4715058906746843,0.7969219360925991,0.9714012650608936,0.9961597692482856,0.9963158236105304,0.6737628050528985,0.058697320980272825,-0.10672086492810048,0.8464609369373987
In Flames,34,13,-0.07191277697382518,-0.02827206859053077,-0.024196156555621816,-0.02974595386572755,-0.06537751708617864,0.01831779043540522,0.21573915274577773,0.7925438682347353,0.9455186530470662,0.9305888793737441,0.3276959222607827,0.05563618019771724,-0.04390089461437679,0.5805416687673457
Porcupine Tree,37,5,-0.18235782540606232,-0.1134897623345192,-0.20988175202403764,-0.11520334345328428,-0.20131434701459133,-0.19758912682327176,0.29415142343323003,0.8670619034642939,0.9723636858346241,0.9738609332689645,-0.145651462831673,-0.2365849929939568,-0.164449406046499,0.5819697638355682
Pixies,38,4,-0.10255682172509518,-0.3157107072476553,-0.14423866917425354,-0.1340931592867558,0.3799972792632991,0.017999892956995927,0.7905557968809975,0.974894063423152,0.9927301910345131,0.995225362183317,0.5479813924198179,-0.23996416885738947,-0.06332041563409216,0.7542810612957951
Stone Temple Pilots,35,6,-0.14445132715988082,-0.19985315323486275,-0.18130510236095992,-0.06559582172582513,-0.14248773227200812,0.09724224917337022,0.021779238880574328,0.7748786881444076,0.9419414096563853,0.9465111120759244,-0.13969469962949638,0.2688645113546734,-0.14673862735070733,0.5564705395861325
Therion,37,11,-0.06231452985958668,-0.03705589180234362,-0.045499212581168534,-0.097527257598417,0.0043265107199376915,-0.016175703184693937,0.254093239380793,0.8143093576344793,0.9520463001972876,0.9416426079182921,0.17443418727454846,0.049022671365463746,-0.047614076224315634,0.5891831603892317
Adagio,18,7,-0.060002652622162124,-0.11054092186856264,-0.08519949884548637,-0.07936609537499426,0.13955386080129292,-0.13162889716959775,0.18113935180330476,0.8220881526274756,0.9544293249428742,0.95192894148649,0.01799208037741781,-0.031120109100484614,-0.039111061581982506,0.5555913747381094
The Brian May Band,7,8,-0.024189441923173672,0.07294673207862164,-0.12947195357674066,0.006309993621838804,0.008981043407904458,-0.10742239951588804,0.004174893515658592,0.776034601488921,0.9414305416725037,0.963913060772294,-0.04957613943672272,-0.029762820973558403,-0.013084725278309886,0.5156261395866979
Disturbed,30,5,-0.061459571890810395,-0.10770866720564509,-0.023235508886822864,-0.1500980545426494,-0.23201069607975033,0.16312284218019454,0.8180122278358704,0.9582876408012353,0.989461101439761,0.9893431576664767,0.5684068672192885,-0.10941236991291961,-0.11490249972113561,0.7836453939847076
Velvet Revolver,22,5,0.11127328805814081,-0.1393932436845041,0.38298007885632035,-0.09561451017298403,-0.11096416979404403,-0.12495412901079864,0.7195617212316323,0.9531555433431823,0.991181426769826,0.9905609889454151,0.36839059184003464,-0.12905713788317574,0.0296562886525858,0.7059011102558514
Destiny's Child,16,6,-0.19010147467920627,-0.11241460953700225,-0.19740200770273075,-0.15884205629364748,0.046247295497559904,0.8381451796137617,0.9571147661842637,0.9922826679600136,0.998056663356504,0.9972590698113983,0.9269447958908248,0.7119130678504021,-0.12250257054300537,0.9565716693851882
The Supremes,19,10,-0.10961092004204252,-0.05215151278211191,-0.09280810621951541,-0.02449357741194111,0.021222691216911126,0.012520630062417167,0.5834814656675144,0.9489131364317251,0.9858951816480231,0.9929494668020643,0.3242914926164378,0.012565860045577788,-0.051568285047739956,0.7047519761223489
A Tribe Called Quest,39,4,-0.2021069200250508,-0.0030543468471081283,-0.21361458934922806,-0.20744652249845616,-0.3010600844983283,0.9465753700354845,0.9744526400426935,0.9975317528586297,0.9995326276276518,0.9991143112503424,0.9696787104441699,0.8710194100515815,-0.18545649264363426,0.9834413403629604
The Velvet Underground,59,5,-0.21856002525887694,-0.17694163876922767,-0.026767160723847196,-0.08573454255963084,0.15247125487503524,0.10297226081819896,0.7401643663403343,0.9711179465972404,0.9953769456417719,0.9974593013987884,0.5791715769678589,-0.025913589472859138,-0.0711064224873095,0.7614181641592668
The Yardbirds,61,7,-0.06737159384703979,-0.015131310670926894,-0.07271085415077687,-0.07193957286569923,0.038908641384814015,0.7091151152159528,0.9259606079958105,0.9923104739479982,0.99717288142476,0.9983875846990774,0.88983890212598,0.5749234868779765,-0.037648938029925756,0.9245893326567198
Cream,58,3,-0.014531786956399164,0.8348766947020528,0.3046614277279869,0.28847322519165103,0.7598756366971662,-0.222484126477975,0.7097923855852982,0.9746980634870773,0.9872669412055064,0.9970386084774402,0.26413387749023726,-0.43727032748083433,0.4346710394724916,0.6892623744554695
Limp Bizkit,30,12,-0.02918346263382914,-0.07252700080502972,0.029613904343529937,-0.021288455147466554,-0.07657539075979282,0.01197920380538339,0.2366778172043467,0.7583456057523804,0.6262206819140479,0.6990784197929769,0.3979664714484368,-0.06352940506355456,-0.03399208100051766,0.4664603456938271
Www,49,6,-0.0269479662615145,-0.1690025055931078,-0.15457489460150314,0.2163301387474581,-0.18562033126896096,0.42900627726656293,0.9664029125553608,0.4481963435989434,0.8194212094918532,0.8185694037073947,0.309337035092204,0.721583392638046,-0.06396311179552565,0.696319229324023
Take That,34,5,0.057881458186568945,-0.08818989340030134,-0.06787750456390235,-0.10973582414501389,0.02195246509712878,0.12575205759528135,0.8197942978525925,0.954413079675836,0.9911158131788309,0.9883571101142973,0.5688089601331356,-0.09529993846338924,-0.03719385976510396,0.7758864716833677
The Flowers of Romance,48,4,-0.3278885777951574,-0.08057424264088008,-0.30885039996310987,-0.27293673007809843,-0.26553378000638944,0.45158612033324985,0.9130796233947372,0.986502037901856,0.9984795985607317,0.9989594011394148,0.6761098298172765,-0.03253699875713254,-0.25115674609672706,0.869721356265998
Siouxsie and the Banshees,20,5,0.13298000187684983,-0.2424672271007135,-0.16445101675273044,0.1334969489017753,0.6549886607171939,0.6629296706372025,0.910422943621982,0.9940434954374547,0.9971356702746796,0.9990279257437669,0.8272819636802108,0.38923601678154884,0.10290947352847502,0.9127119411430172
NSYNC,29,5,-0.227988508988236,-0.20336132212339386,-0.16850739030743042,-0.1872111372965962,0.05894760510351561,-0.12323037284166345,0.4927448081088753,0.9139801376168443,0.9769701930290584,0.976128387925239,0.1324677971972957,-0.13136583647057426,-0.14562415072242818,0.6473186307676707
X Japan,15,7,0.051278580127239196,0.013508845786528995,0.001903006245075096,0.017908172728938267,0.05666850518863359,0.5196466079058835,0.8484101971048077,0.9881870410814487,0.9964681666218828,0.99764642648512,0.7436316360069186,0.2254925211962339,0.028253422015283032,0.8700716878398286
The Highwaymen,10,4,0.34557769430187396,0.313687798397337,0.5060509052393612,0.7405865178569013,-0.2990417606431997,-0.09472527729897505,0.742887435195628,0.9580756134158502,0.9929660392624545,0.996207288210644,0.4044515346316318,-0.3275264005773488,0.32137223103045476,0.7190822197571204
A.R. & Machines,5,16,-0.04958060471058764,-0.053564672420357194,-0.030272700767877348,0.0020130206726460746,0.09116447987366202,-0.06510631871136836,0.43153527382686013,0.9176263186835398,0.9815820725095133,0.989542262457372,0.11514171146443905,-0.03651731969368624,-0.008048095470502814,0.6510359217531834
Blue System,37,5,-0.07939675210823749,-0.01902878800082159,0.07538961205290234,-0.08111942408787012,-0.16531577117499285,0.06127392924223737,0.7585496785409443,0.9679941178666611,0.9918703406485637,0.9958589971245393,0.4922075160047338,-0.14289929126927423,-0.05389422466380393,0.7551094126845891
Arabesque,7,4,-0.08918789277068961,-0.2907561327954687,-0.16473983921188626,-0.3321150626912817,0.5100524808924122,-0.1980165136023807,0.6820881012634284,0.9529839262844311,0.9903479671489749,0.9935014132422494,0.24385435092697139,-0.3004538734174209,-0.0733492893153828,0.6841809788673406
Wir sind Helden,24,4,-0.20602866646564935,-0.2549795213806954,-0.29740010653946913,-0.07498175152840512,-0.06699643784841582,0.622644630058503,0.8762020602909081,0.9927910476908343,0.999202068546072,0.9970355243165626,0.8621194796077831,0.47536859422733463,-0.18007729675252698,0.897575066180576
Nogizaka46,13,94,-0.004056534242195846,-0.007302147802969349,-0.00013274528117182132,-0.004092673902518058,-0.010678551135497528,0.03514812550410634,0.24729762357650859,0.8878942258565246,0.9653132672857124,0.9583150703889284,0.013790233141988547,-0.0019880097622627275,-0.0052525304728705206,0.618793662522356
Vista Chino,14,3,-0.3788424435336341,0.8390947773019523,-0.2950241145402532,-0.1730650152420963,-0.3032697176776865,0.4436816291690415,0.9628735021613067,0.9840024233380743,0.9935064647295739,0.9966701477989691,0.8240565716637208,0.3341241684164313,-0.062221302738343566,0.8761468334393931
Gorillaz,26,7,0.24255057358077922,0.06059593396538743,0.13800310891031364,0.13021333780759148,0.6776465252081947,0.26282917727582183,0.10856795630218594,0.6218397014578326,0.9060855758098872,0.868931779801117,-0.011359116536992762,-0.005676092419709566,0.24980189589445329,0.553650838129369
Gamma Ray,36,9,-0.08465625219028873,-0.0044718497582109515,-0.007026767022656366,-0.04733183211579726,0.12666733672196903,-0.09487524224544033,0.542761302853774,0.9406761036172391,0.9855039676598741,0.987911906372064,0.2202544644029721,-0.10171384983144728,-0.0033638728729968536,0.6723956076515022
No Angels,23,5,0.039984819060210876,-0.18211085434549762,-0.026757413812527487,0.20866207603317707,-0.15337878221835405,-0.10841315849849023,0.6729718063646221,0.9599952448962401,0.990377891356238,0.9886126745071323,0.3760202395518112,-0.24368126263965167,-0.022720031056598245,0.7007088917251484
Helloween,40,12,-0.08853304984680549,0.1136277324950313,-0.09051119508212241,-0.07666880756623586,0.0008844425210048508,0.10377478778787111,0.3890462284163276,0.8544576043017453,0.9619088475227965,0.9658175317177846,0.17684795636600223,0.028606630452853117,-0.02824017549582552,0.6550009999493052
Primal Fear,27,5,0.2650988937283133,0.47192093100152865,0.41520291506056656,-0.024554923247725863,-0.031883437203929846,0.498135111202474,-0.009942457760689739,0.8360216663232272,0.9647959521180149,0.9603619988625924,-0.1979594605091487,0.7756317202913489,0.2191568758677506,0.6498744541491238
Rage,40,6,0.1255184861300606,-0.07590558645973224,0.22179229322389482,-0.014730607949409391,0.3570856260807298,-0.04093434440338748,0.2355323608339649,0.8448686669862251,0.9700987001532341,0.9656401201593409,-0.05842170249450933,-0.1480546584475976,0.12275204220510871,0.5950411007458755
Kreator,42,7,-0.0859342495979931,-0.01394071240361215,-0.13915597262820087,-0.156625780885014,-0.024807306184563765,0.027346332018749423,0.36474729153020186,0.4471018940876337,0.8156144123746749,0.7595456543660406,-0.014980956084042096,-0.13300324537349606,-0.08409280433987679,0.4828711168754601
Q158641,25,4,-0.15075216319578666,0.12473286462534648,-0.16908836254838425,-0.1292538405682153,0.3563535287091635,-0.2676567888507046,0.3650529529426796,0.9107106763843169,0.9826063090563215,0.9734299011244936,0.02764144052664259,-0.10330282936606479,0.006398405404424756,0.5928286101314214
Rhapsody of Fire,31,10,0.08509949725850256,-0.03246045204628578,0.251990487515902,0.007853445080848405,-0.08791930197975636,-0.008762696838294485,0.3186297480472259,0.8229324036156613,0.956463638956663,0.9452659328050932,0.28751558915100184,-0.0825399554336401,0.04491273516584216,0.6069058053172698
A Touch of Class,25,4,-0.16222483543741334,0.6051421392881771,-0.32321577694603826,0.5615503047902234,-0.25761533382713564,0.30746737068355084,0.19392682884825332,0.8488168115812171,0.9714110908163985,0.9600033030151094,-0.09198153952843106,0.30368036788994107,0.08472729957356265,0.6563250809889059
4Xang,14,3,-0.3227093779544376,-0.49342480586217347,-0.40676136872735563,-0.4760882422171068,0.1377252452987613,-0.12204156109381799,0.8146338076621413,0.9642486294279734,0.9936544444593362,0.9949519942322063,0.49760960628711687,-0.29801793639376034,-0.3122517098924624,0.7290894629375678
Killerpilze,22,4,0.005359370617914416,-0.32862974485392554,-0.032753576885439506,-0.1276745058558598,-0.08953091110385138,0.19874524900657117,0.8481010501589745,0.9742891356229127,0.9931315858800839,0.9859740752909668,0.5804910176247553,-0.03616207158374444,-0.11464587361623235,0.8000482191919017
Lokomotive Kreuzberg,5,3,-0.32768824641681954,0.3733749569608699,-0.3328906989413721,-0.3387232009021241,0.43882799325838545,0.5492105113395377,0.9704317086315538,0.9887812307440104,0.9989354337902477,0.9988445149480114,0.8841166566661308,0.5396670159695858,-0.03741983920821207,0.901240679890672
Scooter,31,8,-0.11247721332559779,-0.04433382524271501,-0.12560288106494286,-0.11318235639136061,0.007267484837115102,-0.13113172905739814,0.139945601172999,0.6796569780993277,0.9177123777356482,0.893650449358031,0.030299496877779435,-0.0782211680632865,-0.07766575823750024,0.49996673546172155
Edguy,32,5,0.032313613122403016,0.5509944999678149,-0.004472667908981609,-0.03934918992891149,0.0340965145383436,0.008936201454065684,0.7103302305789843,0.9749848937645929,0.995538679904279,0.9919730766686291,0.5466462270291685,-0.12316436688763441,0.1147165539581337,0.7363526164741102
Thin Lizzy,55,7,-0.1134782033973491,0.1324859594701017,-0.15321320799455976,-0.08108009921233092,0.20847279420009746,0.3462795280200181,-0.11123997316028499,0.6883626598821495,0.9274547165743421,0.9459783737708021,0.29100323366431374,-0.16181698924816873,-0.001362551386808125,0.5593670610174053
The Dave Clark Five,13,5,-0.13362998832416978,-0.209162850043258,-0.18091101890391303,-0.1673861442662514,0.20660306443259485,0.11488857808370805,0.7695201482886973,0.9756013573466488,0.9944626803297375,0.9977143828586401,0.5778917568700479,-0.13045509674569528,-0.09689738742099949,0.7704374293814864
Il Divo,20,4,-0.2668970386779806,0.19031007346934103,-0.32391614758836723,-0.2556966755193739,0.06120064062481434,0.13781126768398247,0.8176205810099838,0.9692971436979004,0.9892313721610737,0.9935977446749401,0.5695818715191638,-0.1100308050274492,-0.11899982953831327,0.7815116218455761
Hawkwind,55,26,-0.027114909608862214,-0.02018159021133383,0.006727322207254672,-0.038370631465650874,-0.03595574243502254,0.06695603197055361,0.10014650959767701,0.6844427768231668,0.9137235124619738,0.9437952819234052,0.0980302351795297,-0.02598130852093678,-0.022979110302722955,0.5418128225553553
Rednex,30,3,0.12180214664131195,0.14843644519469404,-0.11019347096889916,0.026857718015427117,-0.4126905965072929,0.1092982021754957,0.1627250733220552,0.8784215715186473,0.9786286520735707,0.9679990564270126,-0.2573931243142461,0.7307743918736657,-0.045157551524951794,0.6194145111033563
Whitesnake,46,5,0.042650125522583314,-0.21688149987250954,-0.11533865812745518,0.12813892823575207,-0.14203115169150035,0.6492328493212312,0.21447595312749462,0.3505743059475153,0.78771918372249,0.841186339824243,0.03087049886253712,0.224330861547839,-0.06069245118662594,0.5686377263885948
Corona,31,3,0.27438182621525764,-0.2830674703276628,-0.10060306844789997,0.700173735100028,0.34236856676525745,-0.18979378376437803,0.6290501659065818,0.9540968648441072,0.9921468368252656,0.9892347598215444,0.3056493960189666,-0.3850286912453289,0.18665071786099605,0.6749469687266242
Carcass,39,4,-0.23911136947899725,-0.08802176927179317,-0.297538347973974,-0.3027911373243921,-0.32426406690695897,0.9404008546708463,0.9630723199938599,0.9980220076250341,0.9997532996955423,0.999301864651632,0.9616908360604371,0.8368408560649946,-0.2503453381912231,0.980110069327383
