Pair,Correlation,P_Value,Abs_Corr
Uranus-Pluto,0.49043543171916903,4.039549460204225e-62,0.49043543171916903
Uranus-Rahu,-0.4608862756712691,3.738050699929035e-54,0.4608862756712691
Uranus-Ketu,0.46088627567126894,3.7380506999295254e-54,0.46088627567126894
Uranus-Neptune,0.4606198275623014,4.375084385680192e-54,0.4606198275623014
Neptune-Pluto,0.438278901614965,1.448783713615688e-48,0.438278901614965
Mercury-Neptune,0.41922956514096327,3.5713281957088147e-44,0.41922956514096327
Sun-Neptune,0.3760003044154763,3.3545100313784835e-35,0.3760003044154763
Neptune-Rahu,-0.37557649276059324,4.0470304490818264e-35,0.37557649276059324
Neptune-Ketu,0.37557649276059313,4.0470304490822236e-35,0.37557649276059313
Mercury-Saturn,0.3700049245330853,4.6501807904746785e-34,0.3700049245330853
Mercury-Pluto,0.35391389527075146,4.121396526948573e-31,0.35391389527075146
Pluto-Rahu,-0.3243751468817328,3.975256933205319e-26,0.3243751468817328
Pluto-Ketu,0.32437514688173275,3.975256933205319e-26,0.32437514688173275
Venus-Mars,-0.3218901065668721,9.871371050308027e-26,0.3218901065668721
Saturn-Ketu,0.31973934262950593,2.154180120513227e-25,0.31973934262950593
Saturn-Rahu,-0.3197393426295059,2.154180120513227e-25,0.3197393426295059
Jupiter-Ketu,0.31938332584924345,2.449716695951625e-25,0.31938332584924345
Jupiter-Rahu,-0.31938332584924345,2.449716695951625e-25,0.31938332584924345
Mercury-Venus,-0.3162839169338233,7.447734402626284e-25,0.3162839169338233
Mercury-Jupiter,0.3047055759302183,4.2287950346556054e-23,0.3047055759302183
Sun-Saturn,0.29214838050674874,2.763768585177569e-21,0.29214838050674874
Saturn-Pluto,0.2903903221166677,4.881210344660396e-21,0.2903903221166677
Mars-Pluto,0.28562773619947146,2.2337729672677896e-20,0.28562773619947146
Jupiter-Pluto,0.2850452079937359,2.6851080920082927e-20,0.2850452079937359
Mars-Rahu,-0.2839177315057288,3.8292770596101076e-20,0.2839177315057288
Mars-Ketu,0.28391773150572874,3.829277059610374e-20,0.28391773150572874
Sun-Pluto,0.2825842943690998,5.814653888499258e-20,0.2825842943690998
Mars-Saturn,0.27176270045683204,1.58721952904885e-18,0.27176270045683204
Jupiter-Neptune,-0.26137417552932296,3.308245271894309e-17,0.26137417552932296
Jupiter-Uranus,-0.25761852450967393,9.599467135241705e-17,0.25761852450967393
Jupiter-Saturn,0.25679516231929456,1.2096987429443311e-16,0.25679516231929456
Mars-Jupiter,0.24060426089302328,9.671568202143568e-15,0.24060426089302328
Sun-Jupiter,0.21462555822677615,5.734470271716698e-12,0.21462555822677615
Saturn-Neptune,-0.20979393986930453,1.7261328949796624e-11,0.20979393986930453
Sun-Uranus,0.19109051070201533,9.604362356639677e-10,0.19109051070201533
Venus-Neptune,0.1859663355923651,2.6996954655959605e-09,0.1859663355923651
Sun-Mercury,-0.18141964260584342,6.594005200713705e-09,0.18141964260584342
Mercury-Uranus,0.17262951058247017,3.478401325862932e-08,0.17262951058247017
Venus-Uranus,0.15582571763762693,6.641178711674458e-07,0.15582571763762693
Mercury-Rahu,-0.1539778149305998,9.019855435773165e-07,0.1539778149305998
Mercury-Ketu,0.15397781493059978,9.019855435773165e-07,0.15397781493059978
Mars-Neptune,0.13815134695389883,1.07331721669048e-05,0.13815134695389883
Mercury-Mars,0.09733674001598194,0.0019757046686480232,0.09733674001598194
Sun-Rahu,-0.09283968721798769,0.0031748066725903763,0.09283968721798769
Sun-Ketu,0.09283968721798763,0.003174806672590449,0.09283968721798763
Mars-Uranus,-0.08235403565778958,0.008900308821960117,0.08235403565778958
Saturn-Uranus,-0.08113031739747911,0.009970217284117282,0.08113031739747911
Sun-Venus,-0.0767553677917302,0.014790023501003662,0.0767553677917302
Venus-Rahu,0.05639949288516919,0.07348102635637432,0.05639949288516919
Venus-Ketu,-0.0563994928851692,0.07348102635637432,0.0563994928851692
Venus-Saturn,0.04879433356329963,0.1215808683232392,0.04879433356329963
Venus-Pluto,0.037569143806534054,0.23336945794646494,0.037569143806534054
Moon-Venus,0.022683346533091075,0.47191118963065903,0.022683346533091075
Moon-Pluto,0.01322244534277402,0.6749990359658601,0.01322244534277402
Sun-Moon,0.012004984016646878,0.7034353511690931,0.012004984016646878
Moon-Saturn,0.010353579660379232,0.7426720700502231,0.010353579660379232
Venus-Jupiter,0.009704897897086066,0.7582756976494157,0.009704897897086066
Moon-Mars,-0.00957253359761416,0.7614719866157872,0.00957253359761416
Moon-Rahu,-0.009304923499015034,0.767946522335742,0.009304923499015034
Moon-Ketu,0.009304923499015016,0.767946522335742,0.009304923499015016
Sun-Mars,0.008134998072730795,0.7964362485658114,0.008134998072730795
Moon-Uranus,-0.0071181497414628606,0.8214217710762206,0.0071181497414628606
Moon-Mercury,0.005132611279451509,0.870711942664379,0.005132611279451509
Moon-Neptune,0.0045232246492576365,0.8859502143839453,0.0045232246492576365
Moon-Jupiter,0.0016841344509049964,0.9574105722627256,0.0016841344509049964
Rahu-Ketu,,,

