name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
Albert Einstein,scientist,302.72532672763566,122.72532672763566,353.5354053462501,254.91240498561532,Aquarius,10,11,2,5,8,12,3,6,9
Isaac Newton,scientist,189.42925899160667,9.429258991606673,283.6939029592138,92.6265090859163,Libra,6,9,4,3,10,10,4,4,10
Stephen Hawking,scientist,164.9714086175285,344.9714086175285,287.43119128251595,173.62782881555123,Virgo,5,8,12,2,6,9,1,3,7
Nikola Tesla,scientist,20.10807521191861,200.10807521191862,107.85480752603476,194.51466176352474,Aries,0,10,7,4,1,10,7,4,1
Galileo Galilei,scientist,276.591474759698,96.59147475969797,326.02947160042606,237.19955564756958,Capricorn,9,11,2,5,8,12,3,6,9
Richard Feynman,scientist,262.49443233083076,82.49443233083076,49.85069368630514,61.142741183313085,Sagittarius,8,8,7,2,1,8,7,2,1
Niels Bohr,scientist,175.54921769770795,355.54921769770795,194.2958150410887,182.79564874329986,Virgo,5,12,12,6,6,12,12,6,6
Max Planck,scientist,346.99196738115427,166.99196738115427,33.0184427229955,159.20231134022575,Pisces,11,11,7,5,1,11,7,5,1
Werner Heisenberg,scientist,223.33049897338665,43.330498973386625,252.38098990666356,188.37411096962106,Scorpio,7,12,2,6,8,12,2,6,8
Erwin Schrodinger,scientist,138.97909399106334,318.97909399106334,139.4112369478919,55.21997633643678,Leo,4,12,3,6,9,1,4,7,10
Paul Dirac,scientist,208.10795409567828,28.10795409567828,134.94521998707043,193.94642123012144,Libra,6,3,1,9,7,3,1,9,7
Enrico Fermi,scientist,224.04786469993127,44.04786469993127,185.38818456555506,19.545006959941162,Scorpio,7,2,7,8,1,2,8,8,2
Marie Curie,scientist,162.36210787137824,342.36210787137827,224.63444423840772,347.2192425869598,Virgo,5,10,6,4,12,11,7,5,1
Pierre Curie,scientist,325.12931102226366,145.12931102226366,53.68887356358097,211.99659787223703,Aquarius,10,10,4,4,10,10,4,4,10
Ernest Rutherford,scientist,88.42560727379133,268.42560727379134,156.63584965610056,339.6828275827363,Gemini,2,10,4,4,10,10,4,4,10
James Clerk Maxwell,scientist,143.66934539450395,323.6693453945039,81.6657862213137,126.24149821364725,Leo,4,3,1,9,7,3,1,9,7
Michael Faraday,scientist,192.91583322771586,12.915833227715893,179.38189064140923,112.08231499893716,Libra,6,1,3,7,9,2,4,8,10
Robert Oppenheimer,scientist,176.9478354368561,356.9478354368561,31.76950943582849,110.5739284803244,Virgo,5,5,3,11,9,5,3,11,9
Carl Sagan,scientist,304.29008349040754,124.29008349040754,226.61798614900556,258.92955744406345,Aquarius,10,3,2,9,8,4,3,10,9
Neil deGrasse Tyson,scientist,202.34209025434347,22.342090254343475,191.7385763356809,95.22627193430898,Libra,6,1,4,7,10,1,4,7,10
Brian Greene,scientist,119.63223971782804,299.63223971782804,320.01691681464297,150.2091841882342,Cancer,3,6,11,12,5,6,11,12,5
Michio Kaku,scientist,70.30211131266708,250.30211131266708,303.6669283044769,327.72892913550476,Gemini,2,5,4,11,10,5,5,11,11
Murray Gell-Mann,scientist,43.55737285295868,223.55737285295868,172.1498943804348,311.9542092380785,Taurus,1,8,4,2,10,9,4,3,10
Hans Bethe,scientist,132.13186660979264,312.1318666097926,99.66865424644364,228.35633811321517,Leo,4,2,9,8,3,2,10,8,4
Edward Teller,scientist,104.31654401044392,284.3165440104439,293.95808168332366,80.65888681347332,Cancer,3,6,1,12,7,7,2,1,8
John Wheeler,scientist,37.73483691976578,217.73483691976577,106.14845146070441,263.8100033563588,Taurus,1,10,5,4,11,11,6,5,12
Freeman Dyson,scientist,155.33212005983694,335.33212005983694,262.4973162198642,356.8897544128727,Virgo,5,9,6,3,12,10,7,4,1
Roger Penrose,scientist,6.8004381014799105,186.8004381014799,134.9701055269529,65.79698408049113,Aries,0,8,11,2,5,9,11,3,5
Peter Higgs,scientist,51.15787887043665,231.15787887043666,67.60816047795898,312.8632960623343,Taurus,1,12,4,6,10,12,4,6,10
