name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Albert Einstein,scientist,353.5354053462501,11,254.91240498561532,8,3.198098116278419,0,17.019233133420663,0,296.93445642001365,9,327.4903355162387,10,4.193248475792066,0,0,0,7,-0.46592931086647343,2.505905058890946
Isaac Newton,scientist,283.6939029592138,9,92.6265090859163,3,260.95482735744747,8,327.2091811217445,10,37.52271515167829,1,344.1312533463126,11,349.89207178285915,11,1,0,1,1.6085236208174603,-0.3954469009433455
Stephen Hawking,scientist,287.43119128251595,9,173.62782881555123,5,297.86192694947397,9,320.7519546832121,10,28.25793861048961,0,72.69507019918655,2,51.84291430051253,1,1,0,3,1.345723324260743,-1.424313273913591
Nikola Tesla,scientist,107.85480752603476,3,194.51466176352474,6,88.14370766932142,2,104.88829038461373,3,198.96782100015002,6,8.59376282702368,0,95.56639677437855,3,0,1,6,-1.495311709620474,-0.545898192118946
Galileo Galilei,scientist,326.02947160042606,10,237.19955564756958,7,324.0703082756822,10,338.12078170385826,11,53.68354557691717,1,120.38160215445161,4,118.04609007417051,3,1,0,3,1.9917464562742047,-1.3125844833479072
Richard Feynman,scientist,49.85069368630514,1,61.142741183313085,2,30.425795345040385,1,4.790971880617009,0,165.27371178194886,5,75.72356396210898,2,128.51184061443539,4,0,1,4,-2.714749445235045,-0.08279916882687034
Niels Bohr,scientist,194.2958150410887,6,182.79564874329986,6,187.58919060521947,6,233.82263956492258,7,132.27971355729352,4,172.45931342914545,5,98.2386195847759,3,1,0,6,0.18261253569328129,-0.016851104869834734
Max Planck,scientist,33.0184427229955,1,159.20231134022575,5,52.60929908735992,1,46.64467381922381,1,241.16674597116028,8,52.471214459056064,1,112.2772932863844,3,0,1,7,-2.2618333969129947,0.1136190569656496
Werner Heisenberg,scientist,252.38098990666356,8,188.37411096962106,6,237.33061982381565,7,299.63884212353287,9,278.4043056554845,9,285.3714914390112,9,284.6728039078348,9,1,0,5,1.718102849117113,0.7045312391955131
Erwin Schrodinger,scientist,139.4112369478919,4,55.21997633643678,1,121.88126727162947,4,180.24036663233073,6,110.55122780692089,3,209.49044206696763,6,119.2262822470735,3,0,0,6,-0.8380248612306187,0.3174313669491946
