Date(YYYY-MM),Sunspots,Sentiment
1960-01,207.2,
1960-02,149.9,100.0
1960-03,144.6,
1960-04,172.7,
1960-05,169.3,93.3
1960-06,156.0,
1960-07,172.4,
1960-08,190.0,97.2
1960-09,180.1,
1960-10,117.3,
1960-11,126.9,90.1
1960-12,121.2,
1961-01,82.1,
1961-02,65.4,91.6
1961-03,75.2,
1961-04,86.9,
1961-05,72.3,92.5
1961-06,109.5,
1961-07,99.3,
1961-08,79.2,99.2
1961-09,90.1,
1961-10,53.7,
1961-11,46.5,93.0
1961-12,56.9,
1962-01,55.1,
1962-02,71.7,99.9
1962-03,64.9,
1962-04,65.9,
1962-05,61.9,95.4
1962-06,59.6,
1962-07,31.4,
1962-08,31.5,91.6
1962-09,72.7,
1962-10,56.1,
1962-11,38.8,95.0
1962-12,33.2,
1963-01,28.7,
1963-02,35.2,98.4
1963-03,24.8,
1963-04,41.7,
1963-05,61.1,91.7
1963-06,51.2,
1963-07,28.7,
1963-08,47.5,96.4
1963-09,55.2,
1963-10,50.1,
1963-11,33.7,94.4
1963-12,21.6,
1964-01,22.6,
1964-02,25.3,99.5
1964-03,24.1,
1964-04,12.9,
1964-05,14.3,98.5
1964-06,13.5,
1964-07,4.8,
1964-08,13.8,100.6
1964-09,7.0,
1964-10,9.2,
1964-11,11.1,99.9
1964-12,22.1,
1965-01,25.4,
1965-02,20.8,102.0
1965-03,17.5,
1965-04,10.2,
1965-05,34.5,105.4
1965-06,23.3,
1965-07,17.3,
1965-08,13.3,103.4
1965-09,24.5,
1965-10,29.1,
1965-11,22.8,102.9
1965-12,24.7,
1966-01,40.3,
1966-02,35.3,100.0
1966-03,36.4,
1966-04,69.0,
1966-05,64.2,95.7
1966-06,67.7,
1966-07,80.2,
1966-08,72.6,91.2
1966-09,71.1,
1966-10,81.2,
1966-11,81.0,88.3
1966-12,99.8,
1967-01,157.0,
1967-02,132.6,94.1
1967-03,158.3,
1967-04,98.4,
1967-05,122.5,95.9
1967-06,95.4,
1967-07,129.5,
1967-08,151.8,97.0
1967-09,108.7,
1967-10,125.0,
1967-11,133.6,92.9
1967-12,179.0,
1968-01,172.5,
1968-02,158.5,97.2
1968-03,130.5,
1968-04,115.0,
1968-05,180.0,92.4
1968-06,156.2,
1968-07,136.2,
1968-08,154.8,92.4
1968-09,166.0,
1968-10,152.5,
1968-11,121.7,91.7
1968-12,155.5,
1969-01,147.8,
1969-02,170.5,98.2
1969-03,192.3,
1969-04,151.1,
1969-05,169.9,91.5
1969-06,150.1,
1969-07,137.1,
1969-08,138.8,86.4
1969-09,129.3,
1969-10,135.4,
