sign1,sign2,similarity
Aries,Taurus,0.056338028169014086
Aries,Gemini,0.10294117647058823
Aries,Cancer,0.11764705882352941
Aries,Leo,0.16923076923076924
Aries,Virgo,0.08695652173913043
Aries,Libra,0.12121212121212122
Aries,Scorpio,0.12121212121212122
Aries,Sagittarius,0.12121212121212122
Aries,Capricorn,0.11940298507462686
Aries,Aquarius,0.1044776119402985
Aries,Pisces,0.10144927536231885
Taurus,Gemini,0.058823529411764705
Taurus,Cancer,0.10606060606060606
Taurus,Leo,0.07352941176470588
Taurus,Virgo,0.09090909090909091
Taurus,Libra,0.14516129032258066
Taurus,Scorpio,0.07575757575757576
Taurus,Sagittarius,0.05970149253731343
Taurus,Capricorn,0.16129032258064516
Taurus,Aquarius,0.05970149253731343
Taurus,Pisces,0.057971014492753624
Gemini,Cancer,0.10606060606060606
Gemini,Leo,0.12307692307692308
Gemini,Virgo,0.16129032258064516
Gemini,Libra,0.14516129032258066
Gemini,Scorpio,0.109375
Gemini,Sagittarius,0.12698412698412698
Gemini,Capricorn,0.1076923076923077
Gemini,Aquarius,0.12698412698412698
Gemini,Pisces,0.10606060606060606
Cancer,Leo,0.1044776119402985
Cancer,Virgo,0.10606060606060606
Cancer,Libra,0.1076923076923077
Cancer,Scorpio,0.18032786885245902
Cancer,Sagittarius,0.125
Cancer,Capricorn,0.12307692307692308
Cancer,Aquarius,0.1076923076923077
Cancer,Pisces,0.15625
Leo,Virgo,0.12307692307692308
Leo,Libra,0.1076923076923077
Leo,Scorpio,0.1076923076923077
Leo,Sagittarius,0.125
Leo,Capricorn,0.12307692307692308
Leo,Aquarius,0.1076923076923077
Leo,Pisces,0.12121212121212122
Virgo,Libra,0.09230769230769231
Virgo,Scorpio,0.109375
Virgo,Sagittarius,0.109375
Virgo,Capricorn,0.14285714285714285
Virgo,Aquarius,0.09230769230769231
Virgo,Pisces,0.10606060606060606
Libra,Scorpio,0.09375
Libra,Sagittarius,0.16666666666666666
Libra,Capricorn,0.12698412698412698
Libra,Aquarius,0.16666666666666666
Libra,Pisces,0.1076923076923077
Scorpio,Sagittarius,0.09375
Scorpio,Capricorn,0.109375
Scorpio,Aquarius,0.09375
Scorpio,Pisces,0.18032786885245902
Sagittarius,Capricorn,0.109375
Sagittarius,Aquarius,0.16666666666666666
Sagittarius,Pisces,0.14285714285714285
Capricorn,Aquarius,0.12698412698412698
Capricorn,Pisces,0.12307692307692308
Aquarius,Pisces,0.125

