date,deep_sleep_min,total_sleep_hrs,moon_phase,tithi,sample_size
2023-01-01,88,7.4,119.18067612425995,10,1150
2023-01-04,86,7.3,153.0002927674596,13,1180
2023-01-07,84,7.2,185.83236900691688,16,1210
2023-01-10,87,7.3,218.4206728027711,19,1190
2023-01-14,89,7.5,263.086216220031,22,1205
2023-01-18,90,7.6,312.8043511410757,27,1160
2023-01-21,91,7.6,354.6827887440325,30,1185
2023-01-25,88,7.4,50.73400781257186,5,1220
2023-01-28,85,7.2,88.36560364978448,8,1200
2023-02-01,79,6.9,133.57691046948722,12,1195
2023-02-05,76,6.8,177.05931812766562,15,1180
2023-02-09,82,7.1,221.18745958168174,19,1210
2023-02-13,85,7.2,267.9397857316774,23,1200
2023-02-17,89,7.5,320.4467392625131,27,1175
2023-02-20,91,7.7,2.886461683812854,1,1190
2023-02-24,87,7.3,56.37299847521092,5,1205
2023-02-28,84,7.1,103.02326744304492,9,1188
2023-03-04,78,6.9,146.6160892062464,13,1198
2023-03-07,75,6.8,179.6859438059227,15,1215
2023-03-11,81,7.0,225.71878982264874,19,1170
2023-03-15,86,7.3,275.31292223026986,23,1220
2023-03-19,89,7.5,329.4050199148439,28,1185
2023-03-21,90,7.6,356.9524142080195,30,1200
2023-03-25,87,7.4,48.55988328739511,5,1195
2023-03-29,83,7.1,94.33971808189168,8,1210
2023-04-02,77,6.9,138.03741005389713,12,1180
2023-04-06,74,6.7,183.6455555023242,16,1205
2023-04-10,80,7.0,232.67248975571584,20,1190
2023-04-14,85,7.2,284.8145573083868,24,1215
2023-04-18,89,7.5,338.22022600288494,29,1175
2023-04-20,91,7.7,4.135216802266299,1,1195
2023-04-24,86,7.3,52.34575098683304,5,1200
2023-04-28,82,7.1,96.6675223743315,9,1185
2023-05-02,76,6.8,141.20186753666758,12,1210
2023-05-05,73,6.6,177.11018286456604,15,1200
2023-05-09,79,6.9,228.74717340242282,20,1190
2023-05-13,84,7.2,281.8524422635463,24,1220
2023-05-17,88,7.4,333.4011207153568,28,1180
2023-05-19,90,7.6,358.0443000064919,30,1205
2023-05-23,87,7.3,44.52469508661645,4,1195
2023-05-27,83,7.1,88.45972821026362,8,1210
2023-05-31,78,6.9,133.84629806472867,12,1185
2023-06-03,75,6.7,171.3726312471141,15,1200
2023-06-07,80,7.0,225.51714207310349,19,1190
2023-06-11,85,7.2,278.9000019743309,24,1215
2023-06-15,88,7.4,328.4754899327619,28,1180
2023-06-18,91,7.7,3.518192881373224,1,1205
2023-06-22,86,7.3,48.012322666327535,5,1195
2023-06-26,82,7.1,91.95359641643151,8,1210
2023-06-30,77,6.8,139.8126409038661,12,1185
2023-07-03,74,6.7,180.20688458702458,16,1200
2023-07-07,79,6.9,236.15795361194594,20,1190
2023-07-11,84,7.2,287.70123035078706,24,1215
2023-07-15,88,7.4,334.5591831656884,28,1180
2023-07-17,90,7.6,356.98436304153347,30,1205
2023-07-21,87,7.3,40.76569682251774,4,1195
2023-07-25,83,7.1,85.12373085568841,8,1210
2023-07-29,78,6.9,134.42810870715888,12,1185
2023-08-01,73,6.6,176.10272227958154,15,1200
2023-08-05,78,6.8,232.40862735658015,20,1190
2023-08-09,83,7.1,282.7612708148848,24,1215
2023-08-13,87,7.3,328.225691588365,28,1180
2023-08-16,90,7.6,1.071647681830683,1,1205
2023-08-20,86,7.3,44.81646014867559,4,1195
2023-08-24,82,7.1,91.03900708531276,8,1210
2023-08-28,77,6.8,143.4834575223315,12,1185
2023-08-30,72,6.5,171.8897893897253,15,1200
2023-09-03,77,6.8,227.49955700341175,19,1190
2023-09-07,82,7.0,276.60259392135447,24,1215
2023-09-11,86,7.3,321.1053515624071,27,1180
2023-09-14,89,7.5,353.76532796886534,30,1205
2023-09-18,86,7.3,38.299555495029324,4,1195
2023-09-22,81,7.1,86.03908728674588,8,1210
2023-09-26,76,6.8,139.19963020700112,12,1185
2023-09-29,73,6.6,181.18004018868368,16,1200
2023-10-03,78,6.8,233.8539340350555,20,1190
2023-10-07,83,7.1,280.3267616636066,24,1215
2023-10-11,87,7.3,323.94071037021337,27,1180
2023-10-14,90,7.6,357.203708360277,30,1205
2023-10-18,86,7.3,44.079233501446055,4,1195
2023-10-22,82,7.0,94.63640429022735,8,1210
2023-10-26,77,6.8,148.3920669987089,13,1185
2023-10-28,74,6.7,175.35501505027483,15,1200
2023-11-01,78,6.9,226.0947874354302,19,1190
2023-11-05,83,7.1,271.5423669022165,23,1215
2023-11-09,87,7.3,315.1279112123784,27,1180
2023-11-13,90,7.6,1.2774050257464182,1,1205
2023-11-17,86,7.3,51.459190888556435,5,1195
2023-11-21,81,7.1,103.79420310182977,9,1210
2023-11-25,76,6.8,156.0651247682808,14,1185
2023-11-27,73,6.6,181.41690054524628,16,1200
2023-12-01,78,6.9,228.92794156042788,20,1190
2023-12-05,83,7.1,272.7841658926261,23,1215
2023-12-09,88,7.4,317.2836872592301,27,1180
2023-12-12,91,7.7,353.84395744682655,30,1205
2023-12-16,87,7.3,46.59605428700968,4,1195
2023-12-20,82,7.1,99.3659476816336,9,1210
2023-12-24,77,6.8,149.67937722843124,13,1185
2023-12-26,74,6.7,173.81870103974757,15,1200

